stage_num,stage_id,candidate_id,attempt_name,split,tester_status,runtime_status,report_status,expected_rows,feature_ready_count,feature_ready_diff,expected_signal_count,mt5_signal_count,signal_count_diff,order_attempt_count,order_fill_count,net_profit,profit_factor,trade_count,max_drawdown_percent,blocker
11,stage_frontier_11__subperiod_stability_first_onnx_scout,f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_c3__f10c_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_c3_lr_c0p50_sw1p60,f66_f11_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_e6749184,validation_is,completed,completed,completed,9844,9844,0,614,614,0,184,184,-203.19,0.72,92,59.46,
11,stage_frontier_11__subperiod_stability_first_onnx_scout,f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_c3__f10c_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_c3_lr_c0p50_sw1p60,f66_f11_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_9f762d86,oos,completed,completed,completed,7584,7584,0,254,254,0,122,122,282.71,2.18,61,10.87,
15,stage_frontier_15__score_threshold_density_controlled_onnx_scout,f14b_day_q6_h8__lr_plain__utility_tilt__target5,f66_f15_f14b_day_q6_h8__lr_plain__utility_tilt__tar_fd4dcbed,validation_is,completed,completed,completed,9844,9844,0,1094,1094,0,400,400,-87.01,0.91,200,34.81,
15,stage_frontier_15__score_threshold_density_controlled_onnx_scout,f14b_day_q6_h8__lr_plain__utility_tilt__target5,f66_f15_f14b_day_q6_h8__lr_plain__utility_tilt__target5_oos,oos,completed,completed,completed,7584,7584,0,732,732,0,250,250,97.98,1.16,125,25.75,
18,stage_frontier_18__asymmetric_exit_lifecycle_profit_lock_onnx_scout,f18b_hold6_reverse_atr1p5_tp3p0__lr_plain__lifecycle,f66_f18_f18b_hold6_reverse_atr1p5_tp3p0__lr_plain___e7ca8060,validation_is,completed,completed,completed,9844,9844,0,1678,1678,0,1527,1527,51.86,1.02,1067,26.9,
18,stage_frontier_18__asymmetric_exit_lifecycle_profit_lock_onnx_scout,f18b_hold6_reverse_atr1p5_tp3p0__lr_plain__lifecycle,f66_f18_f18b_hold6_reverse_atr1p5_tp3p0__lr_plain___6429794d,oos,completed,completed,completed,7584,7584,0,1334,1334,0,1202,1202,227.71,1.1,818,25.53,
19,stage_frontier_19__boosted_backbone_no_repair_stack_onnx_scout,f19b_cat_ordered_depth3_backbone__argmax_nonflat_backbone_only,f66_f19_f19b_cat_ordered_depth3_backbone__argmax_no_3a543ee3,validation_is,completed,completed,completed,9844,9844,0,5849,5849,0,1144,1144,286.87,1.12,572,37.75,
19,stage_frontier_19__boosted_backbone_no_repair_stack_onnx_scout,f19b_cat_ordered_depth3_backbone__argmax_nonflat_backbone_only,f66_f19_f19b_cat_ordered_depth3_backbone__argmax_no_bc4c970f,oos,completed,completed,completed,7584,7584,0,4803,4803,0,890,890,290.25,1.15,445,35.86,
20,stage_frontier_20__train_only_feature_state_rule_atlas_onnx_scout,f20b_pair_0359,f66_f20_f20b_pair_0359_validation_is,validation_is,completed,completed,completed,9844,9844,0,1570,1570,0,522,522,331.79,1.32,261,24.46,
20,stage_frontier_20__train_only_feature_state_rule_atlas_onnx_scout,f20b_pair_0359,f66_f20_f20b_pair_0359_oos,oos,completed,completed,completed,7584,7584,0,1298,1298,0,415,415,-49.81,0.95,208,46.38,
21,stage_frontier_21__f20_seed_lifecycle_dd_containment_onnx_scout,f21c_hold2_atr0p8_tp1p6_cd0,f66_f21_f21c_hold2_atr0p8_tp1p6_cd0_validation_is,validation_is,completed,completed,completed,9844,9844,0,737,737,0,1087,1087,93.98,1.1,712,12.23,
21,stage_frontier_21__f20_seed_lifecycle_dd_containment_onnx_scout,f21c_hold2_atr0p8_tp1p6_cd0,f66_f21_f21c_hold2_atr0p8_tp1p6_cd0_oos,oos,completed,completed,completed,7584,7584,0,586,586,0,893,893,8.75,1.01,570,17.18,
22,stage_frontier_22__session_return_shock_pf_source_onnx_scout,f22b_0263__hold2_atr0p8_tp1p6_cd0,f66_f22_f22b_0263__hold2_atr0p8_tp1p6_cd0_validation_is,validation_is,completed,completed,completed,9844,9844,0,724,724,0,1066,1066,1.32,1.0,715,13.41,
22,stage_frontier_22__session_return_shock_pf_source_onnx_scout,f22b_0263__hold2_atr0p8_tp1p6_cd0,f66_f22_f22b_0263__hold2_atr0p8_tp1p6_cd0_oos,oos,completed,completed,completed,7584,7584,0,595,595,0,942,942,54.01,1.08,590,13.38,
23,stage_frontier_23__payoff_asymmetry_pf_source_onnx_scout,f23c_0123,f66_f23_f23c_0123_validation_is,validation_is,completed,completed,completed,9844,9844,0,1386,1386,0,625,625,311.77,1.27,313,34.44,
23,stage_frontier_23__payoff_asymmetry_pf_source_onnx_scout,f23c_0123,f66_f23_f23c_0123_oos,oos,completed,completed,completed,7584,7584,0,1071,1071,0,477,477,-203.14,0.81,239,60.81,
24,stage_frontier_24__density_bridge_payoff_pockets_onnx_scout,f24c_0105,f66_f24_f24c_0105_validation_is,validation_is,completed,completed,completed,9844,9844,0,1233,1233,0,456,456,105.99,1.12,228,33.95,
24,stage_frontier_24__density_bridge_payoff_pockets_onnx_scout,f24c_0105,f66_f24_f24c_0105_oos,oos,completed,completed,completed,7584,7584,0,955,955,0,338,338,93.28,1.15,169,15.86,
25,stage_frontier_25__bridge_archetype_preselection_onnx_scout,f25b_0022,f66_f25_f25b_0022_validation_is,validation_is,completed,completed,completed,9844,9844,0,1026,1026,0,517,517,29.51,1.02,259,58.53,
25,stage_frontier_25__bridge_archetype_preselection_onnx_scout,f25b_0022,f66_f25_f25b_0022_oos,oos,completed,completed,completed,7584,7584,0,807,807,0,379,379,-88.32,0.9,190,49.49,
27,stage_frontier_27__soft_joint_satisfaction_penalty_bridge_union_onnx_scout,f27b_0181,f66_f27_f27b_0181_validation_is,validation_is,completed,completed,completed,9844,9844,0,1091,1091,0,549,549,131.85,1.11,275,46.58,
27,stage_frontier_27__soft_joint_satisfaction_penalty_bridge_union_onnx_scout,f27b_0181,f66_f27_f27b_0181_oos,oos,completed,completed,completed,7584,7584,0,876,876,0,415,415,-99.72,0.89,208,51.63,
28,stage_frontier_28__train_only_stability_gap_penalty_for_pf_dd_balance_onnx_scout,f28b_0001,f66_f28_f28b_0001_validation_is,validation_is,completed,completed,completed,9844,9844,0,1052,1052,0,509,509,40.93,1.04,255,38.93,
28,stage_frontier_28__train_only_stability_gap_penalty_for_pf_dd_balance_onnx_scout,f28b_0001,f66_f28_f28b_0001_oos,oos,completed,completed,completed,7584,7584,0,875,875,0,389,389,0.41,1.0,195,40.4,
29,stage_frontier_29__train_only_loss_concentration_veto_for_pf_dd_balance_onnx_scout,f29b_0274,f66_f29_f29b_0274_validation_is,validation_is,completed,completed,completed,9844,9844,0,673,673,0,216,216,266.16,1.47,108,38.83,
