feature_set,target,model,status,positive_train,train_rows,train_positive_rate
full58,long_fwd12_q60,logistic_l2_balanced,fit_completed,11689,29222,0.40000684415851073
full58,long_fwd12_q60,extra_trees_d7_l60,fit_completed,11689,29222,0.40000684415851073
full58,long_fwd12_q60,hist_gbm_d4_l2,fit_completed,11689,29222,0.40000684415851073
full58,long_fwd12_q70,logistic_l2_balanced,fit_completed,8767,29222,0.3000136883170214
full58,long_fwd12_q70,extra_trees_d7_l60,fit_completed,8767,29222,0.3000136883170214
full58,long_fwd12_q70,hist_gbm_d4_l2,fit_completed,8767,29222,0.3000136883170214
full58,short_fwd12_q40,logistic_l2_balanced,fit_completed,11689,29222,0.40000684415851073
full58,short_fwd12_q40,extra_trees_d7_l60,fit_completed,11689,29222,0.40000684415851073
full58,short_fwd12_q40,hist_gbm_d4_l2,fit_completed,11689,29222,0.40000684415851073
full58,short_fwd12_q30,logistic_l2_balanced,fit_completed,8767,29222,0.3000136883170214
full58,short_fwd12_q30,extra_trees_d7_l60,fit_completed,8767,29222,0.3000136883170214
full58,short_fwd12_q30,hist_gbm_d4_l2,fit_completed,8767,29222,0.3000136883170214
price_action_core,long_fwd12_q60,logistic_l2_balanced,fit_completed,11689,29222,0.40000684415851073
price_action_core,long_fwd12_q60,extra_trees_d7_l60,fit_completed,11689,29222,0.40000684415851073
price_action_core,long_fwd12_q60,hist_gbm_d4_l2,fit_completed,11689,29222,0.40000684415851073
price_action_core,long_fwd12_q60,small_mlp_16,fit_completed,11689,29222,0.40000684415851073
price_action_core,long_fwd12_q70,logistic_l2_balanced,fit_completed,8767,29222,0.3000136883170214
price_action_core,long_fwd12_q70,extra_trees_d7_l60,fit_completed,8767,29222,0.3000136883170214
price_action_core,long_fwd12_q70,hist_gbm_d4_l2,fit_completed,8767,29222,0.3000136883170214
price_action_core,long_fwd12_q70,small_mlp_16,fit_completed,8767,29222,0.3000136883170214
price_action_core,short_fwd12_q40,logistic_l2_balanced,fit_completed,11689,29222,0.40000684415851073
price_action_core,short_fwd12_q40,extra_trees_d7_l60,fit_completed,11689,29222,0.40000684415851073
price_action_core,short_fwd12_q40,hist_gbm_d4_l2,fit_completed,11689,29222,0.40000684415851073
price_action_core,short_fwd12_q40,small_mlp_16,fit_completed,11689,29222,0.40000684415851073
price_action_core,short_fwd12_q30,logistic_l2_balanced,fit_completed,8767,29222,0.3000136883170214
price_action_core,short_fwd12_q30,extra_trees_d7_l60,fit_completed,8767,29222,0.3000136883170214
price_action_core,short_fwd12_q30,hist_gbm_d4_l2,fit_completed,8767,29222,0.3000136883170214
