axis,value,candidate_rows,repair_meaningful_signal_count,density_scout_clue_count,completion_axis_nearness_count,best_candidate,best_rank_score,best_val_pf_dd_tpd,best_oos_pf_dd_tpd
feature_set,full58,768,0,0,0,f76f_00001,196002.2534289643,1.0105585579200171/8.632578125/3.1311475409836067,0.9350864407779521/10.66212890625/3.404580152671756
feature_set,mega_cap_removed,768,0,0,0,f76f_04353,192321.7940542595,0.9959933003808682/9.054775390625/3.07103825136612,0.873704550599212/12.59767578125/3.3435114503816794
feature_set,price_action_core,1024,0,0,0,f76f_00961,225441.85729651313,0.9532186103099611/15.9917578125/3.7540983606557377,0.8767163964311262/15.959394531250002/3.9236641221374047
feature_set,session_macro_removed,768,0,0,0,f76f_03649,192338.2516304011,0.9580964827789774/15.321494140625/3.081967213114754,0.9123138964583546/9.791162109375/3.4580152671755724
feature_set,trend_momentum,768,0,0,0,f76f_01857,196412.05039048044,1.0980981625767718/10.3139453125/3.1420765027322406,0.9096051029411242/10.752910156250001/3.3053435114503817
feature_set,volatility_compression,1024,0,0,0,f76f_03201,209345.620938268,1.0438515086999276/7.97625/3.180327868852459,1.00285626251806/6.395742187500001/3.450381679389313
target,long_fwd12_q60,1280,0,0,0,f76f_00961,225441.85729651313,0.9532186103099611/15.9917578125/3.7540983606557377,0.8767163964311262/15.959394531250002/3.9236641221374047
target,long_fwd12_q70,1280,0,0,0,f76f_01089,206613.865512724,0.9601662944068281/17.610009765625/3.3825136612021858,0.8756101260621708/13.041601562499999/3.8244274809160306
target,short_fwd12_q30,1280,0,0,0,f76f_01601,209977.6874230161,0.9048402287919425/19.565419921874998/3.459016393442623,0.9603209354746851/9.086962890625/3.7709923664122136
target,short_fwd12_q40,1280,0,0,0,f76f_01281,212265.64063998617,0.8917696366032106/22.262148437500002/3.519125683060109,0.9419627959028258/12.373125/3.885496183206107
model,extra_trees_d7_l60,1536,0,0,0,f76f_00833,214801.69806456615,0.8764807860041015/19.7606396484375/3.5628415300546448,0.813551505193974/17.3663671875/3.8702290076335877
model,hist_gbm_d4_l2,1536,0,0,0,f76f_03201,209345.620938268,1.0438515086999276/7.97625/3.180327868852459,1.00285626251806/6.395742187500001/3.450381679389313
model,logistic_l2_balanced,1536,0,0,0,f76f_01281,212265.64063998617,0.8917696366032106/22.262148437500002/3.519125683060109,0.9419627959028258/12.373125/3.885496183206107
model,small_mlp_16,512,0,0,0,f76f_00961,225441.85729651313,0.9532186103099611/15.9917578125/3.7540983606557377,0.8767163964311262/15.959394531250002/3.9236641221374047
session,all,1280,0,0,0,f76f_00961,225441.85729651313,0.9532186103099611/15.9917578125/3.7540983606557377,0.8767163964311262/15.959394531250002/3.9236641221374047
session,cash_late,1280,0,0,0,f76f_00013,40000.0,0.0/0.0/0.0,0.0/0.0/0.0
session,cash_mid,1280,0,0,0,f76f_00969,216966.65473477787,0.866750566606442/19.77646484375/3.6065573770491803,0.8225808497863523/17.783154296875/3.7786259541984735
session,cash_open,1280,0,0,0,f76f_00085,91562.4250310913,1.1660227844484083/5.152021484375/0.8469945355191257,1.008281828127104/5.39595703125/0.8015267175572519
risk_filter,compression,1280,0,0,0,f76f_03274,118829.15310966376,1.0083859694717723/5.802578125/1.349726775956284,1.0556609485020678/3.0563476562500003/1.6870229007633588
risk_filter,mean_revert,1280,0,0,0,f76f_00964,152910.9998853612,1.0056806069253668/10.705166015625/2.3114754098360657,0.9056331764900994/11.931572265625/2.2748091603053435
risk_filter,none,1280,0,0,0,f76f_00961,225441.85729651313,0.9532186103099611/15.9917578125/3.7540983606557377,0.8767163964311262/15.959394531250002/3.9236641221374047
risk_filter,trend_aligned,1280,0,0,0,f76f_01283,123089.46401434633,0.83310793271403/13.268076171875002/1.715846994535519,1.5069577987767593/2.922099609375/1.6870229007633588
