axis,value,candidate_rows,scout_clue_count,meaningful_signal_count,dual_positive_count,best_candidate,best_rank_score,best_val_pf_dd_tpd,best_oos_pf_dd_tpd
feature_set,full58,1152,317,3,178,f76b_00429,1111214.4745650475,1.5616402144550254/6.4446777343749995/1.0601092896174864,1.6184422464012251/7.8916796875/1.2290076335877862
feature_set,mega_cap_removed,1152,331,3,191,f76b_06637,1111234.4151948919,1.594854315978897/6.4446875/1.0601092896174864,1.6893374882536825/7.8916796875/1.1755725190839694
feature_set,price_action_core,1536,404,0,167,f76b_02161,111140.67835877702,1.0173262881710083/34.5966015625/7.644808743169399,1.1008292572270455/22.05650390625/12.129770992366412
feature_set,session_macro_removed,1152,324,0,184,f76b_05379,111254.0853409087,1.386049403969026/5.9012695312500005/0.9508196721311475,1.6331558789445233/5.417109375/1.6412213740458015
feature_set,trend_momentum,1152,341,4,167,f76b_02701,1111101.2441999866,1.4620327630473946/6.4446777343749995/1.1147540983606556,1.3853427305800647/7.41447265625/1.282442748091603
feature_set,volatility_compression,1536,374,0,218,f76b_04237,111233.36717941848,1.8316093291100914/6.4446875/0.6721311475409836,1.7228170798010993/7.891689453125/0.8396946564885496
target,long_fwd12_q60,1920,597,5,479,f76b_06637,1111234.4151948919,1.594854315978897/6.4446875/1.0601092896174864,1.6893374882536825/7.8916796875/1.1755725190839694
target,long_fwd12_q70,1920,584,5,540,f76b_00429,1111214.4745650475,1.5616402144550254/6.4446777343749995/1.0601092896174864,1.6184422464012251/7.8916796875/1.2290076335877862
target,short_fwd12_q30,1920,440,0,50,f76b_02582,111094.48918251197,1.2101766342908595/3.6571191406250003/0.5300546448087432,1.2192707890033194/3.107705078125/0.816793893129771
target,short_fwd12_q40,1920,470,0,36,f76b_02161,111140.67835877702,1.0173262881710083/34.5966015625/7.644808743169399,1.1008292572270455/22.05650390625/12.129770992366412
model,extra_trees_d7_l60,2304,694,7,396,f76b_06637,1111234.4151948919,1.594854315978897/6.4446875/1.0601092896174864,1.6893374882536825/7.8916796875/1.1755725190839694
model,hist_gbm_d4_l2,2304,517,0,255,f76b_02884,111284.49557204357,1.405048227341699/3.3083984375/0.5027322404371585,1.3775051647723175/2.6795117187499997/0.7557251908396947
model,logistic_l2_balanced,2304,694,3,350,f76b_02701,1111101.2441999866,1.4620327630473946/6.4446777343749995/1.1147540983606556,1.3853427305800647/7.41447265625/1.282442748091603
model,small_mlp_16,768,186,0,104,f76b_01444,111054.88066872631,1.0475571438234772/4.869453125/1.2295081967213115,1.0825782572093028/5.1748828125/1.5267175572519085
session,all,1920,969,0,270,f76b_02723,111326.8392110736,1.4762075102089984/5.210244140625/1.2622950819672132,1.2980789191854907/5.69400390625/2.2061068702290076
session,cash_late,1920,0,0,0,f76b_00025,0.0,0.0/0.0/0.0,0.0/0.0/0.0
session,cash_mid,1920,791,0,208,f76b_05395,111212.19039563605,1.395618757692581/5.857470703125/0.8360655737704918,1.677605126217049/5.417109375/1.4045801526717556
session,cash_open,1920,331,10,627,f76b_06637,1111234.4151948919,1.594854315978897/6.4446875/1.0601092896174864,1.6893374882536825/7.8916796875/1.1755725190839694
risk_filter,compression,1920,261,0,375,f76b_02723,111326.8392110736,1.4762075102089984/5.210244140625/1.2622950819672132,1.2980789191854907/5.69400390625/2.2061068702290076
risk_filter,mean_revert,1920,171,0,49,f76b_03016,110418.83239455518,1.0348657672165875/7.588701171874999/0.8360655737704918,1.0519488637209233/9.548330078125/0.9694656488549618
risk_filter,none,1920,797,1,379,f76b_02793,1110906.5814950399,1.8063667815313338/8.7662890625/1.4043715846994536,1.3256864685278733/9.550693359375/1.4732824427480915
risk_filter,trend_aligned,1920,862,9,302,f76b_06637,1111234.4151948919,1.594854315978897/6.4446875/1.0601092896174864,1.6893374882536825/7.8916796875/1.1755725190839694
