split,source_candidate_id,source_net_profit,source_profit_factor,source_max_drawdown_percent,source_trades_day,source_trade_count,reproduced_net_profit,reproduced_profit_factor,reproduced_max_drawdown_percent,reproduced_trades_day,reproduced_trade_count,count_diff,net_diff,pf_diff,dd_diff,passed
validation,f76b_06637,1760.3101806640625,1.594854315978897,6.4446875,1.0601092896174864,194,1760.3101806640625,1.594854315978897,6.4446875,1.0601092896174864,194,0,0.0,0.0,0.0,True
oos,f76b_06637,1471.7918701171875,1.6893374882536825,7.8916796875,1.1755725190839694,154,1471.7918701171875,1.6893374882536825,7.8916796875,1.1755725190839694,154,0,0.0,0.0,0.0,True
