split,period,proxy_signal_count,runtime_signal_count,order_attempt_count,round_trip_trade_count,signal_to_order_ratio,signal_to_round_trip_ratio,proxy_trades_per_day,runtime_trades_per_day,trades_per_day_delta,proxy_profit_factor,runtime_profit_factor,profit_factor_delta,proxy_dd_percent,runtime_dd_percent,drawdown_delta,hold_same_direction_count,hold_same_direction_share_of_signals,hold_existing_count,open_long_count,close_max_hold_count,telemetry_exists,primary_gap_cause
validation,2025-01-02..2025-10-01,194,194,100,50,0.5154639175257731,0.25773195876288657,1.0601092896174864,0.18382352941176472,-0.8762857602057217,1.594854315978897,2.08,0.48514568402110303,6.4446875,6.6,0.15531249999999996,144,0.7422680412371134,406,50,50,True,same_direction_hold_compression_after_signal_parity
oos,2025-10-01..2026-04-14,154,154,76,38,0.4935064935064935,0.24675324675324675,1.1755725190839694,0.19487179487179487,-0.9807007242121746,1.6893374882536825,1.47,-0.2193374882536825,7.8916796875,10.04,2.148320312499999,116,0.7532467532467533,302,38,38,True,same_direction_hold_compression_after_signal_parity
