variant_id,queue_id,candidate_alias,engineered_feature,source_component,transform,weight,q25,q50,q75,component_status,threshold_source
run267cv_01_s258_stc_redzone_monday_dd,cu_q02_s258_redzone_monday_dd_pressure,s258_stc,stage267cv_redzone_monday_dd_pressure_score,stage267cr_redzone_stress_blast_score,raw,0.3,0.251772633515,0.469515748211,0.72499974597,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cv_01_s258_stc_redzone_monday_dd,cu_q02_s258_redzone_monday_dd_pressure,s258_stc,stage267cv_redzone_monday_dd_pressure_score,stage267cn_shared_weakness_state_interaction_score,raw,0.16,0.293518842901,0.469098491782,0.666551805122,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cv_01_s258_stc_redzone_monday_dd,cu_q02_s258_redzone_monday_dd_pressure,s258_stc,stage267cv_redzone_monday_dd_pressure_score,stage267cf_range_pressure_asymmetry_score,raw,0.14,0.281431077701,0.4707879377,0.679794991425,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cv_01_s258_stc_redzone_monday_dd,cu_q02_s258_redzone_monday_dd_pressure,s258_stc,stage267cv_redzone_monday_dd_pressure_score,return_1_over_atr_14,negative_pressure,0.12,0,0,0.446106061339,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cv_01_s258_stc_redzone_monday_dd,cu_q02_s258_redzone_monday_dd_pressure,s258_stc,stage267cv_redzone_monday_dd_pressure_score,atr_14_over_atr_50,raw,0.1,1.10512930154,1.27963316441,1.47756314278,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cv_01_s258_stc_redzone_monday_dd,cu_q02_s258_redzone_monday_dd_pressure,s258_stc,stage267cv_redzone_monday_dd_pressure_score,historical_vol_5_over_20,raw,0.08,0.623670458794,0.858889579773,1.12701761722,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cv_01_s258_stc_redzone_monday_dd,cu_q02_s258_redzone_monday_dd_pressure,s258_stc,stage267cv_redzone_monday_dd_pressure_score,bb_position_20,abs_center_0_5,0.05,0.148229032755,0.284953594208,0.412794105709,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cv_01_s258_stc_redzone_monday_dd,cu_q02_s258_redzone_monday_dd_pressure,s258_stc,stage267cv_redzone_monday_dd_pressure_score,log_return_1_negative_rolling_24,rolling_negative_state_pressure,0.07,0.416666666667,0.5,0.583333333333,ok,closed_bar_history_no_future_trade_result
run267cv_02_s264_aih_aih_supply_repair,cu_q04_aih_aggressive_supply_repair_or_prune,s264_aih,stage267cv_aih_aggressive_supply_repair_score,stage267cr_aggressive_shock_supply_expansion_score,raw,0.28,0.14028506316,0.325859890733,0.546945879226,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cv_02_s264_aih_aih_supply_repair,cu_q04_aih_aggressive_supply_repair_or_prune,s264_aih,stage267cv_aih_aggressive_supply_repair_score,stage267cn_aggressive_shock_release_reentry_score,raw,0.16,0.133500883823,0.29642639532,0.5,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cv_02_s264_aih_aih_supply_repair,cu_q04_aih_aggressive_supply_repair_or_prune,s264_aih,stage267cv_aih_aggressive_supply_repair_score,stage267cf_trend_strength_replacement_score,raw,0.14,0,0,0,missing_component_zero_filled,blocked_component_receipt_no_future_trade_result
run267cv_02_s264_aih_aih_supply_repair,cu_q04_aih_aggressive_supply_repair_or_prune,s264_aih,stage267cv_aih_aggressive_supply_repair_score,return_1_over_atr_14,positive_pressure,0.12,0,0.00937122385949,0.440406441689,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cv_02_s264_aih_aih_supply_repair,cu_q04_aih_aggressive_supply_repair_or_prune,s264_aih,stage267cv_aih_aggressive_supply_repair_score,close_prev_close_ratio,abs_center_1,0.1,0.0002621412275,0.000575602055,0.0010507702835,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cv_02_s264_aih_aih_supply_repair,cu_q04_aih_aggressive_supply_repair_or_prune,s264_aih,stage267cv_aih_aggressive_supply_repair_score,gap_percent,abs,0.08,0,8.45897284307e-06,1.90215523616e-05,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cv_02_s264_aih_aih_supply_repair,cu_q04_aih_aggressive_supply_repair_or_prune,s264_aih,stage267cv_aih_aggressive_supply_repair_score,bb_position_20,abs_center_0_5,0.06,0.148229032755,0.284953594208,0.412794105709,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cv_02_s264_aih_aih_supply_repair,cu_q04_aih_aggressive_supply_repair_or_prune,s264_aih,stage267cv_aih_aggressive_supply_repair_score,log_return_1_negative_rolling_24,rolling_negative_state_pressure,0.07,0.416666666667,0.5,0.583333333333,ok,closed_bar_history_no_future_trade_result
run267cv_03_s264_aih_explosive_combo,cu_q05_explosive_shock_state_combo,s264_aih,stage267cv_explosive_shock_state_combo_score,stage267cr_state_phase_monday_replacement_score,raw,0.2,0.288159304773,0.481486750521,0.679483233782,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cv_03_s264_aih_explosive_combo,cu_q05_explosive_shock_state_combo,s264_aih,stage267cv_explosive_shock_state_combo_score,stage267cr_redzone_stress_blast_score,raw,0.18,0,0,0,missing_component_zero_filled,blocked_component_receipt_no_future_trade_result
run267cv_03_s264_aih_explosive_combo,cu_q05_explosive_shock_state_combo,s264_aih,stage267cv_explosive_shock_state_combo_score,stage267cr_aggressive_shock_supply_expansion_score,raw,0.16,0,0,0,missing_component_zero_filled,blocked_component_receipt_no_future_trade_result
