candidate_id,label_id,horizon_bars,regime_mode,feature_set_id,feature_count,model_id,model_family,model_role,selection_id,mask_name,threshold_quantile,threshold,validation_net,validation_pf,validation_dd_pct,validation_trades,validation_trades_per_day,oos_net,oos_pf,oos_dd_pct,oos_trades,oos_trades_per_day,joint_soft,final_like
f70c_f9a2939acd19,repair_trend_quality_h18_tp85_edge08_pen40,18,trend_quality,regime_value_macro_v1,27,extratrees_light_reference_v1,shallow_extra_trees_reference(얕은 엑스트라트리스 참조),reference_only(참조 전용),vol_expansion_q50,vol_expansion,0.5,0.313019361483025,527.458574123383,1.1675896317227255,4.362648347401637,254,0.936489444778718,1153.65137298584,1.5656868929926095,1.8239278201580056,173,0.890716341598584,False,False
f70c_4cb452fa410c,repair_trend_quality_h18_tp85_edge08_pen55,18,trend_quality,regime_value_macro_v1,27,extratrees_light_reference_v1,shallow_extra_trees_reference(얕은 엑스트라트리스 참조),reference_only(참조 전용),vol_expansion_q50,vol_expansion,0.5,0.313019361483025,527.458574123383,1.1675896317227255,4.362648347401637,254,0.936489444778718,1153.65137298584,1.5656868929926095,1.8239278201580056,173,0.890716341598584,False,False
f70c_9c5319614336,repair_trend_quality_h18_tp85_edge12_pen40,18,trend_quality,regime_value_macro_v1,27,extratrees_light_reference_v1,shallow_extra_trees_reference(얕은 엑스트라트리스 참조),reference_only(참조 전용),vol_expansion_q50,vol_expansion,0.5,0.313019361483025,527.458574123383,1.1675896317227255,4.362648347401637,254,0.936489444778718,1153.65137298584,1.5656868929926095,1.8239278201580056,173,0.890716341598584,False,False
f70c_04307f20ac65,repair_trend_quality_h18_tp85_edge12_pen55,18,trend_quality,regime_value_macro_v1,27,extratrees_light_reference_v1,shallow_extra_trees_reference(얕은 엑스트라트리스 참조),reference_only(참조 전용),vol_expansion_q50,vol_expansion,0.5,0.313019361483025,527.458574123383,1.1675896317227255,4.362648347401637,254,0.936489444778718,1153.65137298584,1.5656868929926095,1.8239278201580056,173,0.890716341598584,False,False
f70c_01080c1afb90,repair_chop_reversion_h18_tp95_edge08_pen40,18,chop_reversion,regime_value_core_v1,20,small_mlp_l2_v1,small_nn(작은 신경망),hypothesis_carrier(가설 운반),chop_q50,chop,0.5,0.5251930952072144,726.0154747152328,1.2822425562522948,3.0970235660552974,183,0.6747148361988401,205.36014538288106,1.083689940681409,4.495251173329354,148,0.7620001072635285,False,False
f70c_43849e58369f,repair_chop_reversion_h18_tp95_edge12_pen40,18,chop_reversion,regime_value_core_v1,20,small_mlp_l2_v1,small_nn(작은 신경망),hypothesis_carrier(가설 운반),chop_q50,chop,0.5,0.5251930952072144,726.0154747152328,1.2822425562522948,3.0970235660552974,183,0.6747148361988401,205.36014538288106,1.083689940681409,4.495251173329354,148,0.7620001072635285,False,False
f70c_5cd8158d5ae1,repair_trend_quality_h18_tp85_edge08_pen40,18,trend_quality,regime_value_core_v1,20,extratrees_light_reference_v1,shallow_extra_trees_reference(얕은 엑스트라트리스 참조),reference_only(참조 전용),vol_expansion_q50,vol_expansion,0.5,0.29763173694675216,91.45083557844191,1.0277909379005095,4.42892615456581,248,0.9143676468705593,682.1597410058978,1.3357295080402933,3.3096837703466413,163,0.8392298478645619,False,False
f70c_85325144ced4,repair_trend_quality_h18_tp85_edge08_pen55,18,trend_quality,regime_value_core_v1,20,extratrees_light_reference_v1,shallow_extra_trees_reference(얕은 엑스트라트리스 참조),reference_only(참조 전용),vol_expansion_q50,vol_expansion,0.5,0.29763173694675216,91.45083557844191,1.0277909379005095,4.42892615456581,248,0.9143676468705593,682.1597410058978,1.3357295080402933,3.3096837703466413,163,0.8392298478645619,False,False
f70c_102308d97c41,repair_trend_quality_h18_tp85_edge12_pen40,18,trend_quality,regime_value_core_v1,20,extratrees_light_reference_v1,shallow_extra_trees_reference(얕은 엑스트라트리스 참조),reference_only(참조 전용),vol_expansion_q50,vol_expansion,0.5,0.29763173694675216,91.45083557844191,1.0277909379005095,4.42892615456581,248,0.9143676468705593,682.1597410058978,1.3357295080402933,3.3096837703466413,163,0.8392298478645619,False,False
f70c_ce26569d90ec,repair_trend_quality_h18_tp85_edge12_pen55,18,trend_quality,regime_value_core_v1,20,extratrees_light_reference_v1,shallow_extra_trees_reference(얕은 엑스트라트리스 참조),reference_only(참조 전용),vol_expansion_q50,vol_expansion,0.5,0.29763173694675216,91.45083557844191,1.0277909379005095,4.42892615456581,248,0.9143676468705593,682.1597410058978,1.3357295080402933,3.3096837703466413,163,0.8392298478645619,False,False
