label_id,split,rows,long,flat,short,directional_rate
av_neutral_h6_tp60_edge12_pen55,oos,7584,3695,71,3818,0.9906381856540084
av_neutral_h6_tp60_edge12_pen55,train,29222,14871,79,14272,0.9972965573882692
av_neutral_h6_tp60_edge12_pen55,validation,9844,4963,46,4835,0.9953271028037384
av_cash_density_h6_tp60_edge12_pen55,oos,7584,3720,25,3839,0.9967035864978903
av_cash_density_h6_tp60_edge12_pen55,train,29222,14900,24,14298,0.9991787009787146
av_cash_density_h6_tp60_edge12_pen55,validation,9844,4986,11,4847,0.9988825680617636
av_trend_quality_h6_tp60_edge12_pen55,oos,7584,3697,70,3817,0.9907700421940928
av_trend_quality_h6_tp60_edge12_pen55,train,29222,14869,83,14270,0.9971596742180548
av_trend_quality_h6_tp60_edge12_pen55,validation,9844,4968,39,4837,0.9960381958553434
av_chop_reversion_h6_tp60_edge12_pen55,oos,7584,3685,80,3819,0.989451476793249
av_chop_reversion_h6_tp60_edge12_pen55,train,29222,14860,98,14264,0.9966463623297516
av_chop_reversion_h6_tp60_edge12_pen55,validation,9844,4957,59,4828,0.994006501422186
av_vol_expansion_h6_tp60_edge12_pen55,oos,7584,3674,112,3798,0.9852320675105485
av_vol_expansion_h6_tp60_edge12_pen55,train,29222,14842,141,14239,0.9951748682499487
av_vol_expansion_h6_tp60_edge12_pen55,validation,9844,4954,67,4823,0.9931938236489232
av_neutral_h12_tp80_edge12_pen55,oos,7584,3719,41,3824,0.9945938818565401
av_neutral_h12_tp80_edge12_pen55,train,29222,15036,27,14159,0.999076038601054
av_neutral_h12_tp80_edge12_pen55,validation,9844,5024,20,4800,0.9979683055668428
av_cash_density_h12_tp80_edge12_pen55,oos,7584,3730,18,3836,0.997626582278481
av_cash_density_h12_tp80_edge12_pen55,train,29222,15049,4,14169,0.9998631168297858
av_cash_density_h12_tp80_edge12_pen55,validation,9844,5029,6,4809,0.9993904916700528
av_trend_quality_h12_tp80_edge12_pen55,oos,7584,3718,42,3824,0.9944620253164557
av_trend_quality_h12_tp80_edge12_pen55,train,29222,15034,27,14161,0.999076038601054
av_trend_quality_h12_tp80_edge12_pen55,validation,9844,5025,20,4799,0.9979683055668428
av_chop_reversion_h12_tp80_edge12_pen55,oos,7584,3713,51,3820,0.9932753164556962
av_chop_reversion_h12_tp80_edge12_pen55,train,29222,15024,48,14150,0.9983574019574293
av_chop_reversion_h12_tp80_edge12_pen55,validation,9844,5020,30,4794,0.9969524583502641
av_vol_expansion_h12_tp80_edge12_pen55,oos,7584,3709,61,3814,0.9919567510548524
av_vol_expansion_h12_tp80_edge12_pen55,train,29222,15011,69,14142,0.9976387653138047
av_vol_expansion_h12_tp80_edge12_pen55,validation,9844,5013,44,4787,0.995530272247054
av_neutral_h18_tp95_edge12_pen55,oos,7584,3742,45,3797,0.9940664556962026
av_neutral_h18_tp95_edge12_pen55,train,29222,15035,35,14152,0.9988022722606256
av_neutral_h18_tp95_edge12_pen55,validation,9844,5099,19,4726,0.9980698902885006
av_cash_density_h18_tp95_edge12_pen55,oos,7584,3751,25,3808,0.9967035864978903
av_cash_density_h18_tp95_edge12_pen55,train,29222,15051,5,14166,0.9998288960372322
av_cash_density_h18_tp95_edge12_pen55,validation,9844,5106,2,4736,0.9997968305566842
av_trend_quality_h18_tp95_edge12_pen55,oos,7584,3741,46,3797,0.9939345991561181
av_trend_quality_h18_tp95_edge12_pen55,train,29222,15030,33,14159,0.9988707138457327
av_trend_quality_h18_tp95_edge12_pen55,validation,9844,5101,13,4730,0.9986793986184478
av_chop_reversion_h18_tp95_edge12_pen55,oos,7584,3731,56,3797,0.9926160337552743
av_chop_reversion_h18_tp95_edge12_pen55,train,29222,15036,42,14144,0.9985627267127507
av_chop_reversion_h18_tp95_edge12_pen55,validation,9844,5097,25,4722,0.9974603819585535
av_vol_expansion_h18_tp95_edge12_pen55,oos,7584,3722,75,3787,0.9901107594936709
av_vol_expansion_h18_tp95_edge12_pen55,train,29222,15017,62,14143,0.9978783108616796
av_vol_expansion_h18_tp95_edge12_pen55,validation,9844,5093,31,4720,0.9968508736286062
