candidate_id,label_id,horizon_bars,regime_mode,feature_set_id,feature_count,model_id,model_family,model_role,selection_id,mask_name,threshold_quantile,threshold,validation_net,validation_pf,validation_dd_pct,validation_trades,validation_trades_per_day,oos_net,oos_pf,oos_dd_pct,oos_trades,oos_trades_per_day,joint_soft,final_like
f70b_4e38e079ea0d,av_neutral_h12_tp80_edge12_pen55,12,neutral,regime_value_macro_v1,27,extratrees_light_reference_v1,shallow_extra_trees_reference(얕은 엑스트라트리스 참조),reference_only(참조 전용),trend_q55,trend,0.55,0.2116702035879358,-786.7759001922609,0.7916298377061841,9.328551422119153,291,1.0729071985456966,1058.8483016395567,1.5134659828930963,1.4988690811157221,194,0.9988379784400306,False,False
f70b_069cdbb2a349,av_trend_quality_h12_tp80_edge12_pen55,12,trend_quality,regime_value_macro_v1,27,extratrees_light_reference_v1,shallow_extra_trees_reference(얕은 엑스트라트리스 참조),reference_only(참조 전용),chop_q55,chop,0.55,0.10115570250989611,164.34208164215073,1.0723491981417785,3.960855290985105,193,0.7115844993791046,590.470681991577,1.3922507490815215,2.548459224319459,140,0.7208109122763108,False,False
f70b_77e7807644ab,av_vol_expansion_h18_tp95_edge12_pen55,18,vol_expansion,regime_value_core_v1,20,extratrees_light_reference_v1,shallow_extra_trees_reference(얕은 엑스트라트리스 참조),reference_only(참조 전용),all_q70,all,0.7,0.2479370673704921,-408.15804306030265,0.9141679553966992,6.359775190734858,313,1.1540204575422783,1071.5453381347654,1.314498493662364,2.915606651878359,234,1.2047839533761195,False,False
f70b_c3370fe7bf1e,av_vol_expansion_h18_tp95_edge12_pen55,18,vol_expansion,regime_value_core_v1,20,extratrees_light_reference_v1,shallow_extra_trees_reference(얕은 엑스트라트리스 참조),reference_only(참조 전용),cash_q70,cash,0.7,0.2479370673704921,-408.15804306030265,0.9141679553966992,6.359775190734858,313,1.1540204575422783,1071.5453381347654,1.314498493662364,2.915606651878359,234,1.2047839533761195,False,False
f70b_e4c6d2a0155a,av_neutral_h12_tp80_edge12_pen55,12,neutral,regime_value_core_v1,20,extratrees_light_reference_v1,shallow_extra_trees_reference(얕은 엑스트라트리스 참조),reference_only(참조 전용),trend_q55,trend,0.55,0.18304303959271814,-505.50215663909944,0.8756988161298849,6.868016797256482,310,1.142959558588199,696.9540995407101,1.2578542340763479,3.3327929538726826,215,1.1069596152814773,False,False
f70b_f1f65f89cfac,av_trend_quality_h12_tp80_edge12_pen55,12,trend_quality,regime_value_core_v1,20,extratrees_light_reference_v1,shallow_extra_trees_reference(얕은 엑스트라트리스 참조),reference_only(참조 전용),vol_expansion_q55,vol_expansion,0.55,0.2731766014696224,-415.5109857559204,0.8742727895359069,5.870814120483399,261,0.9622982090049031,517.0716108703612,1.253932613257425,2.4478274574279806,170,0.8752703934783774,False,False
f70b_bbd96e842a77,av_trend_quality_h18_tp95_edge12_pen55,18,trend_quality,regime_value_macro_v1,27,extratrees_light_reference_v1,shallow_extra_trees_reference(얕은 엑스트라트리스 참조),reference_only(참조 전용),vol_expansion_q55,vol_expansion,0.55,0.2846579006427342,806.2475241136551,1.2969910383648504,2.001778000116348,218,0.8037586573297658,530.093272833824,1.2452640462488105,2.5955188311099993,156,0.8031893022507464,False,False
f70b_6771daa3f67c,av_trend_quality_h18_tp95_edge12_pen55,18,trend_quality,regime_value_macro_v1,27,extratrees_light_reference_v1,shallow_extra_trees_reference(얕은 엑스트라트리스 참조),reference_only(참조 전용),trend_q55,trend,0.55,0.28778110102054044,366.4174749135972,1.098650111342442,5.4079512373685805,242,0.8922458489624006,651.6295036911953,1.2361807539705776,3.9576174135208135,176,0.9061622897187908,False,False
f70b_4e7bc2cccbe2,av_vol_expansion_h6_tp60_edge12_pen55,6,vol_expansion,regime_value_macro_v1,27,logreg_balanced_l2_v1,regularized_linear(정규화 선형),hypothesis_carrier(가설 운반),chop_q55,chop,0.55,0.17473668877118145,-9.232960767745865,0.9942977037815546,2.0427137575149534,215,0.7926977583756865,266.456649646759,1.217695835600597,2.826562307167054,153,0.7877433541305396,False,False
f70b_f993c025bf2f,av_chop_reversion_h18_tp95_edge12_pen55,18,chop_reversion,regime_value_core_v1,20,logreg_balanced_l2_v1,regularized_linear(정규화 선형),hypothesis_carrier(가설 운반),all_q70,all,0.7,0.38813015597149936,-285.21472705602656,0.9239601865848431,6.767679846310609,286,1.0544723669555642,581.4774187660216,1.2091266104012584,3.9800585298061333,205,1.055473121547455,False,False
