run_id,candidate_id,net_profit,swap_sum,stress_adjusted_net_swap_haircut_1x,stress_adjusted_net_delta_vs_parent,cost_stress_policy,stress_judgment,effect,claim_boundary
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj09_cg07_native_short_cost_firewall_short_floor_rescue,1034.32,-5.14,1029.18,31.69,inherit_source_cost_policy_with_stress_floor,stress_positive(압박 양호),swap haircut is diagnostic and does not replace MT5 KPI(스왑 헤어컷은 진단이며 MT5 KPI를 대체하지 않음),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj01_h17_focus_stress_delta_floor,1034.32,-5.14,1029.18,31.69,stress_delta_floor_ge_0,stress_positive(압박 양호),swap haircut is diagnostic and does not replace MT5 KPI(스왑 헤어컷은 진단이며 MT5 KPI를 대체하지 않음),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj05_month_of_year_08_overlay_soft_guard,1034.32,-5.14,1029.18,31.69,stress_delta_floor_ge_0,stress_positive(압박 양호),swap haircut is diagnostic and does not replace MT5 KPI(스왑 헤어컷은 진단이며 MT5 KPI를 대체하지 않음),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj07_month_of_year_12_overlay_soft_guard,1034.32,-5.14,1029.18,31.69,stress_delta_floor_ge_0,stress_positive(압박 양호),swap haircut is diagnostic and does not replace MT5 KPI(스왑 헤어컷은 진단이며 MT5 KPI를 대체하지 않음),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj06_quarter_q3_pressure_overlay_soft_guard,1034.32,-5.14,1029.18,31.69,stress_delta_floor_ge_0,stress_positive(압박 양호),swap haircut is diagnostic and does not replace MT5 KPI(스왑 헤어컷은 진단이며 MT5 KPI를 대체하지 않음),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj08_quarter_q4_pressure_overlay_soft_guard,1034.32,-5.14,1029.18,31.69,stress_delta_floor_ge_0,stress_positive(압박 양호),swap haircut is diagnostic and does not replace MT5 KPI(스왑 헤어컷은 진단이며 MT5 KPI를 대체하지 않음),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj13_combined_h17_month_cost_guard,1034.32,-5.14,1029.18,31.69,stress_delta_floor_ge_0_and_native_cost_soft,stress_positive(압박 양호),swap haircut is diagnostic and does not replace MT5 KPI(스왑 헤어컷은 진단이며 MT5 KPI를 대체하지 않음),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj11_cg08_bad_overlay_month_guard_scout_short_floor_rescue,1011.2,-5.14,1006.06,8.57,inherit_source_cost_policy_with_stress_floor,stress_positive(압박 양호),swap haircut is diagnostic and does not replace MT5 KPI(스왑 헤어컷은 진단이며 MT5 KPI를 대체하지 않음),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj02_h17_focus_native_hour_cost_firewall_soft,1027.43,-5.14,1022.29,24.8,native_short_hour17_20_soft_firewall,stress_positive(압박 양호),swap haircut is diagnostic and does not replace MT5 KPI(스왑 헤어컷은 진단이며 MT5 KPI를 대체하지 않음),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj03_h17_focus_swap_negative_native_trim,1025.09,-5.14,1019.95,22.46,trim_negative_swap_native_only,stress_positive(압박 양호),swap haircut is diagnostic and does not replace MT5 KPI(스왑 헤어컷은 진단이며 MT5 KPI를 대체하지 않음),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj10_cg12_trade_shape_quality_no_split_short_floor_rescue,1018.54,-5.14,1013.4,15.91,inherit_source_cost_policy_with_stress_floor,stress_positive(압박 양호),swap haircut is diagnostic and does not replace MT5 KPI(스왑 헤어컷은 진단이며 MT5 KPI를 대체하지 않음),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj04_h17_focus_cost_anchor_control,1001.5,-5.14,996.36,-1.13,no_extra_cost_filter_control,stress_watch(압박 관찰),swap haircut is diagnostic and does not replace MT5 KPI(스왑 헤어컷은 진단이며 MT5 KPI를 대체하지 않음),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj14_package_precheck_gate_only,1001.5,-5.14,996.36,-1.13,package_precheck_only,stress_watch(압박 관찰),swap haircut is diagnostic and does not replace MT5 KPI(스왑 헤어컷은 진단이며 MT5 KPI를 대체하지 않음),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj15_no_split_topn_forbidden_guardrail,1001.5,-5.14,996.36,-1.13,guardrail_only,stress_watch(압박 관찰),swap haircut is diagnostic and does not replace MT5 KPI(스왑 헤어컷은 진단이며 MT5 KPI를 대체하지 않음),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj16_parent_cd02_anchor_replay,997.49,-5.14,992.35,-5.14,parent_cost_anchor,stress_watch(압박 관찰),swap haircut is diagnostic and does not replace MT5 KPI(스왑 헤어컷은 진단이며 MT5 KPI를 대체하지 않음),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
