run_id,candidate_id,source_bucket,trade_count,net_profit,profit_factor,expectancy,long_trade_count,short_trade_count,claim_boundary
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj09_cg07_native_short_cost_firewall_short_floor_rescue,long_threshold,903,871.13,1.4046363376,0.9647065338,903,0,research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj09_cg07_native_short_cost_firewall_short_floor_rescue,native_short_threshold,61,94.0,1.4475655431,1.5409836066,0,61,research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj09_cg07_native_short_cost_firewall_short_floor_rescue,synthetic_short_overlay,39,69.19,1.6364054452,1.7741025641,0,39,research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj01_h17_focus_stress_delta_floor,long_threshold,903,871.13,1.4046363376,0.9647065338,903,0,research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj01_h17_focus_stress_delta_floor,native_short_threshold,61,94.0,1.4475655431,1.5409836066,0,61,research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj01_h17_focus_stress_delta_floor,synthetic_short_overlay,39,69.19,1.6364054452,1.7741025641,0,39,research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj05_month_of_year_08_overlay_soft_guard,long_threshold,903,871.13,1.4046363376,0.9647065338,903,0,research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj05_month_of_year_08_overlay_soft_guard,native_short_threshold,61,94.0,1.4475655431,1.5409836066,0,61,research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj05_month_of_year_08_overlay_soft_guard,synthetic_short_overlay,39,69.19,1.6364054452,1.7741025641,0,39,research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj07_month_of_year_12_overlay_soft_guard,long_threshold,903,871.13,1.4046363376,0.9647065338,903,0,research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj07_month_of_year_12_overlay_soft_guard,native_short_threshold,61,94.0,1.4475655431,1.5409836066,0,61,research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
