split,selected_entry_count,telemetry_attempt_count,telemetry_fill_count,runtime_trade_count,ticket_matched_trade_count,selected_no_fill_count,filled_without_trade_match_count,runtime_without_selected_count,open_time_second_drift_count,proxy_win_count_matched,runtime_win_count_matched,proxy_win_runtime_loss_count,proxy_loss_runtime_win_count,proxy_same_win_count,proxy_same_loss_count,proxy_win_to_runtime_loss_rate,runtime_net_profit_matched,proxy_pnl_contract_matched,pnl_delta_sum,runtime_gross_profit_matched,runtime_gross_loss_matched,runtime_profit_factor_matched,runtime_win_rate_matched_percent,proxy_win_rate_matched_percent,tp_expected_sl_actual_count,sl_expected_tp_actual_count,avg_runtime_holding_seconds,receipt_runtime_net_profit,receipt_runtime_profit_factor,receipt_runtime_drawdown_percent,receipt_runtime_trade_count,receipt_proxy_net_profit,receipt_proxy_profit_factor
validation,2340,2335,2326,2326,2326,14,0,0,2,1089,638,795,344,294,893,0.7300275482093664,-378.76,338.6402551195823,-717.4002551195824,937.22,-1315.98,0.712184075745832,27.429062768701634,46.81857265692175,318,233,30.884350816852965,-378.76,0.71,75.89,2326,341.63686742584827,1.377898995489171
oos,1805,1802,1801,1801,1801,4,0,0,0,821,556,560,295,261,685,0.682095006090134,-133.51,283.39542741531466,-416.90542741531465,818.96,-952.47,0.8598276061188279,30.871737923375903,45.58578567462521,231,189,29.82620766240977,-133.51,0.86,29.27,1801,288.0970393819249,1.4246374556585157
