split,group_type,group_value,matched_trade_count,runtime_net_profit,runtime_gross_profit,runtime_gross_loss,runtime_profit_factor,runtime_win_count,runtime_win_rate_percent,proxy_win_count,proxy_win_runtime_loss_count,proxy_win_to_runtime_loss_rate,tp_expected_sl_actual_count,sl_expected_tp_actual_count,max_consecutive_loss,source_authority,claim_boundary
validation,all_matched(전체 결합),all,2326,-378.76,937.22,-1315.98,0.712184075745832,638,27.429062768701634,1089,795,0.7300275482093664,318,233,21,ticket_match_rows_only(티켓 결합 행 전용),stage_closeout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
validation,proxy_exit_path_label(프록시 종료 경로 라벨),both_hit_close_direction,1065,-175.1,437.99,-613.09,0.7143975599014827,295,27.699530516431924,661,477,0.7216338880484114,0,0,20,ticket_match_rows_only(티켓 결합 행 전용),stage_closeout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
validation,proxy_exit_path_label(프록시 종료 경로 라벨),sl_expected,833,-116.13,340.63,-456.76,0.7457526928802872,233,27.971188475390157,0,0,,0,233,15,ticket_match_rows_only(티켓 결합 행 전용),stage_closeout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
validation,proxy_exit_path_label(프록시 종료 경로 라벨),tp_expected,428,-87.53,158.6,-246.13,0.6443749238207451,110,25.70093457943925,428,318,0.7429906542056075,318,0,18,ticket_match_rows_only(티켓 결합 행 전용),stage_closeout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
validation,session_bucket(세션 구간),cash_late,494,-89.22,195.84,-285.06,0.6870132603662387,132,26.720647773279353,252,187,0.7420634920634921,65,42,14,ticket_match_rows_only(티켓 결합 행 전용),stage_closeout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
validation,session_bucket(세션 구간),cash_mid,1620,-255.39,654.81,-910.2,0.7194133157547792,447,27.59259259259259,729,530,0.7270233196159122,226,172,17,ticket_match_rows_only(티켓 결합 행 전용),stage_closeout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
validation,session_bucket(세션 구간),cash_open_or_pre_open,212,-34.15,86.57,-120.72,0.7171139827700463,59,27.830188679245282,108,78,0.7222222222222222,27,19,15,ticket_match_rows_only(티켓 결합 행 전용),stage_closeout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
validation,diagnostic_class(진단 분류),tp_expected_sl_actual_true,318,-246.13,0.0,-246.13,0.0,0,0.0,318,318,1.0,318,0,318,ticket_match_rows_only(티켓 결합 행 전용),stage_closeout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
validation,diagnostic_class(진단 분류),excluding_tp_expected_sl_actual,2008,-132.63,937.22,-1069.85,0.8760293499088658,638,31.772908366533866,771,477,0.6186770428015564,0,233,18,ticket_match_rows_only(티켓 결합 행 전용),stage_closeout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
oos,all_matched(전체 결합),all,1801,-133.51,818.96,-952.47,0.8598276061188278,556,30.871737923375903,821,560,0.682095006090134,231,189,19,ticket_match_rows_only(티켓 결합 행 전용),stage_closeout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
oos,proxy_exit_path_label(프록시 종료 경로 라벨),both_hit_close_direction,806,-27.29,389.11,-416.4,0.9344620557156581,263,32.6302729528536,486,329,0.676954732510288,0,0,13,ticket_match_rows_only(티켓 결합 행 전용),stage_closeout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
oos,proxy_exit_path_label(프록시 종료 경로 라벨),sl_expected,660,-82.55,276.63,-359.18,0.7701709449301186,189,28.636363636363637,0,0,,0,189,12,ticket_match_rows_only(티켓 결합 행 전용),stage_closeout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
oos,proxy_exit_path_label(프록시 종료 경로 라벨),tp_expected,335,-23.67,153.22,-176.89,0.8661880264571203,104,31.044776119402982,335,231,0.6895522388059702,231,0,12,ticket_match_rows_only(티켓 결합 행 전용),stage_closeout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
oos,session_bucket(세션 구간),cash_late,232,-4.82,112.79,-117.61,0.9590170903834707,77,33.189655172413794,110,72,0.6545454545454545,32,28,9,ticket_match_rows_only(티켓 결합 행 전용),stage_closeout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
oos,session_bucket(세션 구간),cash_mid,1405,-121.97,628.1,-750.07,0.8373885104056956,426,30.3202846975089,629,431,0.685214626391097,176,147,17,ticket_match_rows_only(티켓 결합 행 전용),stage_closeout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
oos,session_bucket(세션 구간),cash_open_or_pre_open,164,-6.72,78.07,-84.79,0.9207453709163815,53,32.31707317073171,82,57,0.6951219512195121,23,14,11,ticket_match_rows_only(티켓 결합 행 전용),stage_closeout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
oos,diagnostic_class(진단 분류),tp_expected_sl_actual_true,231,-176.89,0.0,-176.89,0.0,0,0.0,231,231,1.0,231,0,231,ticket_match_rows_only(티켓 결합 행 전용),stage_closeout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
oos,diagnostic_class(진단 분류),excluding_tp_expected_sl_actual,1570,43.38,818.96,-775.58,1.0559323345109466,556,35.4140127388535,590,329,0.5576271186440678,0,189,17,ticket_match_rows_only(티켓 결합 행 전용),stage_closeout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
