split,month,session_bucket,trade_count,runtime_net_profit,runtime_win_rate_percent,proxy_win_runtime_loss_count,proxy_win_runtime_loss_share,max_consecutive_loss
oos,2025-10,cash_late,54,1.4199999999999982,35.18518518518518,16,0.2962962962962963,6
oos,2025-10,cash_mid,138,-2.139999999999998,33.33333333333333,34,0.2463768115942029,9
oos,2025-10,cash_open_or_pre_open,30,6.099999999999998,43.333333333333336,10,0.3333333333333333,4
oos,2025-11,cash_late,88,-14.69,27.27272727272727,27,0.3068181818181818,9
oos,2025-11,cash_mid,289,-42.92,28.027681660899656,93,0.3217993079584775,10
oos,2025-11,cash_open_or_pre_open,20,0.18999999999999995,35.0,10,0.5,4
oos,2025-12,cash_late,1,-0.71,0.0,1,1.0,1
oos,2025-12,cash_mid,141,-8.19,31.20567375886525,48,0.3404255319148936,11
oos,2025-12,cash_open_or_pre_open,29,-4.16,27.586206896551722,8,0.27586206896551724,7
oos,2026-01,cash_late,9,8.7,77.77777777777779,1,0.1111111111111111,1
oos,2026-01,cash_mid,157,-36.06,24.840764331210192,43,0.27388535031847133,12
oos,2026-01,cash_open_or_pre_open,21,0.17999999999999994,33.33333333333333,6,0.2857142857142857,5
oos,2026-02,cash_late,33,-2.4700000000000006,30.303030303030305,14,0.42424242424242425,7
oos,2026-02,cash_mid,300,10.769999999999996,36.0,86,0.2866666666666667,14
oos,2026-02,cash_open_or_pre_open,22,-1.6700000000000015,31.818181818181817,8,0.36363636363636365,5
oos,2026-03,cash_late,38,5.04,39.473684210526315,11,0.2894736842105263,5
oos,2026-03,cash_mid,264,-8.420000000000002,32.196969696969695,87,0.32954545454545453,9
oos,2026-03,cash_open_or_pre_open,27,-2.9300000000000015,29.629629629629626,9,0.3333333333333333,6
oos,2026-04,cash_late,9,-2.11,22.22222222222222,2,0.2222222222222222,3
oos,2026-04,cash_mid,116,-35.01,19.82758620689655,40,0.3448275862068966,16
oos,2026-04,cash_open_or_pre_open,15,-4.430000000000001,20.0,6,0.4,6
validation,2025-01,cash_late,35,-7.16,25.71428571428571,16,0.45714285714285713,7
validation,2025-01,cash_mid,234,-37.42999999999999,27.350427350427353,79,0.33760683760683763,12
validation,2025-01,cash_open_or_pre_open,32,-6.66,25.0,13,0.40625,6
validation,2025-02,cash_late,38,-5.949999999999998,26.31578947368421,11,0.2894736842105263,14
validation,2025-02,cash_mid,212,-14.969999999999997,32.54716981132076,72,0.33962264150943394,11
validation,2025-02,cash_open_or_pre_open,20,-2.14,30.0,7,0.35,8
validation,2025-03,cash_late,129,-27.88,24.8062015503876,58,0.4496124031007752,10
validation,2025-03,cash_mid,325,-53.22,27.076923076923077,116,0.3569230769230769,15
validation,2025-03,cash_open_or_pre_open,22,-9.99,13.636363636363635,11,0.5,15
validation,2025-04,cash_late,246,-45.980000000000004,26.82926829268293,87,0.35365853658536583,14
validation,2025-04,cash_mid,507,-100.12,26.035502958579883,157,0.3096646942800789,15
validation,2025-04,cash_open_or_pre_open,66,-9.250000000000004,28.78787878787879,28,0.42424242424242425,10
validation,2025-05,cash_late,26,-9.170000000000002,19.230769230769234,10,0.38461538461538464,12
validation,2025-05,cash_mid,101,-14.209999999999996,26.732673267326735,38,0.37623762376237624,11
validation,2025-05,cash_open_or_pre_open,12,-0.03000000000000025,33.33333333333333,5,0.4166666666666667,4
validation,2025-06,cash_late,10,3.57,50.0,2,0.2,2
validation,2025-06,cash_mid,76,-14.850000000000001,26.31578947368421,25,0.32894736842105265,9
validation,2025-06,cash_open_or_pre_open,19,-3.5500000000000007,31.57894736842105,2,0.10526315789473684,4
validation,2025-07,cash_late,4,3.5600000000000005,75.0,0,0.0,1
validation,2025-07,cash_mid,30,1.999999999999999,36.666666666666664,8,0.26666666666666666,7
validation,2025-07,cash_open_or_pre_open,13,3.5200000000000005,46.15384615384615,5,0.38461538461538464,2
validation,2025-08,cash_late,1,1.41,100.0,0,0.0,0
validation,2025-08,cash_mid,79,-1.6600000000000001,32.91139240506329,16,0.20253164556962025,17
validation,2025-08,cash_open_or_pre_open,18,-4.970000000000001,22.22222222222222,4,0.2222222222222222,6
validation,2025-09,cash_late,5,-1.62,20.0,3,0.6,2
validation,2025-09,cash_mid,56,-20.93,17.857142857142858,19,0.3392857142857143,7
validation,2025-09,cash_open_or_pre_open,10,-1.0800000000000003,30.0,3,0.3,4
