label_name,surface_family,side,entry_mode,fill_order,hold_bars,tp_price_units,sl_price_units,tp_broker_points,sl_broker_points,label_mode,utility_quantile,train_valid_rows,train_positive_rows,train_positive_rate,validation_valid_rows,oos_valid_rows
runtime_winrate_preserve_long_nextbar_h8_tp12_sl8_close_direction_runtime_winrate_q54,runtime_winrate_preserve,long,next_bar_open_control,close_direction,8,12.0,8.0,1200.0,800.0,runtime_winrate,0.54,29222,11523,0.3943261925946205,9844,7584
runtime_winrate_preserve_short_nextbar_h8_tp12_sl8_close_direction_runtime_winrate_q54,runtime_winrate_preserve,short,next_bar_open_control,close_direction,8,12.0,8.0,1200.0,800.0,runtime_winrate,0.54,29222,11193,0.38303333105194715,9844,7584
stop_touch_asymmetry_long_nextbar_h10_tp14_sl7_close_direction_tp_before_sl_q52,stop_touch_asymmetry,long,next_bar_open_control,close_direction,10,14.0,7.0,1400.0,700.0,tp_before_sl,0.52,29222,8050,0.2754773800561221,9844,7584
stop_touch_asymmetry_short_nextbar_h10_tp14_sl7_close_direction_tp_before_sl_q52,stop_touch_asymmetry,short,next_bar_open_control,close_direction,10,14.0,7.0,1400.0,700.0,tp_before_sl,0.52,29222,7841,0.268325234412429,9844,7584
fill_path_fast_tp_long_nextbar_h8_tp10_sl8_close_direction_fast_tp_q50,fill_path_fast_tp,long,next_bar_open_control,close_direction,8,10.0,8.0,1000.0,800.0,fast_tp,0.5,29222,10294,0.35226883854630076,9844,7584
fill_path_fast_tp_short_nextbar_h8_tp10_sl8_close_direction_fast_tp_q50,fill_path_fast_tp,short,next_bar_open_control,close_direction,8,10.0,8.0,1000.0,800.0,fast_tp,0.5,29222,10399,0.35586202176442405,9844,7584
drawdown_guard_supply_long_nextbar_h18_tp20_sl10_close_direction_dd_guard_q55,drawdown_guard_supply,long,next_bar_open_control,close_direction,18,20.0,10.0,2000.0,1000.0,dd_guard,0.55,29222,8728,0.29867907740743277,9844,7584
drawdown_guard_supply_short_nextbar_h18_tp20_sl10_close_direction_dd_guard_q55,drawdown_guard_supply,short,next_bar_open_control,close_direction,18,20.0,10.0,2000.0,1000.0,dd_guard,0.55,29222,8234,0.28177400588597634,9844,7584
reversal_balance_long_nextbar_h12_tp14_sl7_close_direction_reversal_balance_q54,reversal_balance,long,next_bar_open_control,close_direction,12,14.0,7.0,1400.0,700.0,reversal_balance,0.54,29222,8247,0.2822188761891725,9844,7584
reversal_balance_short_nextbar_h12_tp14_sl7_close_direction_reversal_balance_q54,reversal_balance,short,next_bar_open_control,close_direction,12,14.0,7.0,1400.0,700.0,reversal_balance,0.54,29222,8112,0.27759906919444255,9844,7584
