candidate_id,candidate_label,split,mechanism_family,rule_code,threshold_family,thresholds,enabled_morphology_features,long_short_behavior,changes_entry_eligibility,scoring_only,direction_specific,expected_trade_count_effect,over_thinning_risk,tier_a_signal_count,tier_b_fallback_signal_count,actual_routed_total_count,trade_count_delta_vs_reference,long_count,short_count,flat_count,no_trade_rate,morphology_activation_count,morphology_activation_rate,thinning_ratio_vs_reference,tier_b_signal_share_python,missing_surface_rows,candidate_rejection_reason,net_profit,profit_factor,max_drawdown,expectancy,win_rate,trade_count,order_attempt_count,fill_count,tier_a_used_count_mt5,tier_b_fallback_used_count_mt5,actual_routed_total_count_mt5,tester_status,runtime_status,tester_command,tester_report_path
c01_reference_no_candle_morphology,reference without candle morphology,validation_is,reference/carry comparison,reference_no_candle,broad_train_quantile_v1,"{""adx_q50"":24.974328994750977,""morph_score_abs_q50"":1.0,""morph_score_abs_q75"":2.0,""return_abs_q60"":0.8147125482559202,""return_abs_q67"":0.9530624308165626}",none,both,True,False,False,reference,low,1767,244,2011,0,1022,989,10199,0.8352989352989353,12210,1.0,1.0,0.12133267031327698,0,validation_net_not_positive;validation_pf_below_1_10;oos_pf_below_1_10;cluster_concentration_check_not_available_for_positive_gate,-495.79,0.73,593.59,-1.01,36.66,491,605,605,751,83,605,completed,completed,C:\Program Files\MetaTrader 5\terminal64.exe /config:C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Profiles\Tester\opv2_run34A_candle_morphology_signal_quality_broad_mt_routed_c01_reference_no_candle_morphology_validation_is.ini,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/40_feature_structure__candle_morphology_signal_quality_scout/02_runs/run34A_candle_morphology_signal_quality_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run34A_candle_morphology_signal_quality_broad_mt5_probe_v1_routed_c01_reference_no_candle_morphology_validation_is.htm
c01_reference_no_candle_morphology,reference without candle morphology,oos,reference/carry comparison,reference_no_candle,broad_train_quantile_v1,"{""adx_q50"":24.974328994750977,""morph_score_abs_q50"":1.0,""morph_score_abs_q75"":2.0,""return_abs_q60"":0.8147125482559202,""return_abs_q67"":0.9530624308165626}",none,both,True,False,False,reference,low,1310,122,1432,0,720,712,7214,0.8343742771223688,8646,1.0,1.0,0.08519553072625698,0,validation_net_not_positive;validation_pf_below_1_10;oos_pf_below_1_10;cluster_concentration_check_not_available_for_positive_gate,17.8,1.01,194.35,0.02,39.77,777,982,982,1310,122,982,completed,completed,C:\Program Files\MetaTrader 5\terminal64.exe /config:C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Profiles\Tester\opv2_run34A_candle_morphology_signal_quality_broad_mt_routed_c01_reference_no_candle_morphology_oos.ini,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/40_feature_structure__candle_morphology_signal_quality_scout/02_runs/run34A_candle_morphology_signal_quality_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run34A_candle_morphology_signal_quality_broad_mt5_probe_v1_routed_c01_reference_no_candle_morphology_oos.htm
c02_outside_bar_context,outside bar as context only,validation_is,outside bar context,outside_context,broad_train_quantile_v1,"{""adx_q50"":24.974328994750977,""morph_score_abs_q50"":1.0,""morph_score_abs_q75"":2.0,""return_abs_q60"":0.8147125482559202,""return_abs_q67"":0.9530624308165626}",candle_outside_bar_flag,both,True,False,False,lower,medium,263,31,294,-1717,148,146,11916,0.975921375921376,1228,0.10057330057330058,0.1461959224266534,0.1054421768707483,0,validation_net_not_positive;validation_pf_below_1_10;cluster_concentration_check_not_available_for_positive_gate,-231.45,0.77,349.31,-0.95,40.98,244,449,449,263,31,449,completed,completed,C:\Program Files\MetaTrader 5\terminal64.exe /config:C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Profiles\Tester\opv2_run34A_candle_morphology_signal_quality_broad_mt_routed_c02_outside_bar_context_validation_is.ini,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/40_feature_structure__candle_morphology_signal_quality_scout/02_runs/run34A_candle_morphology_signal_quality_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run34A_candle_morphology_signal_quality_broad_mt5_probe_v1_routed_c02_outside_bar_context_validation_is.htm
c02_outside_bar_context,outside bar as context only,oos,outside bar context,outside_context,broad_train_quantile_v1,"{""adx_q50"":24.974328994750977,""morph_score_abs_q50"":1.0,""morph_score_abs_q75"":2.0,""return_abs_q60"":0.8147125482559202,""return_abs_q67"":0.9530624308165626}",candle_outside_bar_flag,both,True,False,False,lower,medium,202,12,214,-1218,113,101,8432,0.9752486699051585,804,0.09299097848716169,0.1494413407821229,0.056074766355140186,0,validation_net_not_positive;validation_pf_below_1_10;cluster_concentration_check_not_available_for_positive_gate,164.28,1.25,159.79,0.94,50.0,174,320,320,202,12,320,completed,completed,C:\Program Files\MetaTrader 5\terminal64.exe /config:C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Profiles\Tester\opv2_run34A_candle_morphology_signal_quality_broad_mt_routed_c02_outside_bar_context_oos.ini,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/40_feature_structure__candle_morphology_signal_quality_scout/02_runs/run34A_candle_morphology_signal_quality_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run34A_candle_morphology_signal_quality_broad_mt5_probe_v1_routed_c02_outside_bar_context_oos.htm
c03_adverse_outside_bar_filter,adverse outside bar filter,validation_is,adverse outside filter,adverse_outside_filter,broad_train_quantile_v1,"{""adx_q50"":24.974328994750977,""morph_score_abs_q50"":1.0,""morph_score_abs_q75"":2.0,""return_abs_q60"":0.8147125482559202,""return_abs_q67"":0.9530624308165626}","candle_adverse_outside_long,candle_adverse_outside_short",both,True,False,True,slightly lower,medium,1767,244,2011,0,1022,989,10199,0.8352989352989353,1227,0.1004914004914005,1.0,0.12133267031327698,0,validation_net_not_positive;validation_pf_below_1_10;oos_pf_below_1_10;cluster_concentration_check_not_available_for_positive_gate,-495.79,0.73,593.59,-1.01,36.66,491,605,605,751,83,605,completed,completed,C:\Program Files\MetaTrader 5\terminal64.exe /config:C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Profiles\Tester\opv2_run34A_candle_morphology_signal_quality_broad_mt_routed_c03_adverse_outside_bar_filter_validation_is.ini,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/40_feature_structure__candle_morphology_signal_quality_scout/02_runs/run34A_candle_morphology_signal_quality_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run34A_candle_morphology_signal_quality_broad_mt5_probe_v1_routed_c03_adverse_outside_bar_filter_validation_is.htm
c03_adverse_outside_bar_filter,adverse outside bar filter,oos,adverse outside filter,adverse_outside_filter,broad_train_quantile_v1,"{""adx_q50"":24.974328994750977,""morph_score_abs_q50"":1.0,""morph_score_abs_q75"":2.0,""return_abs_q60"":0.8147125482559202,""return_abs_q67"":0.9530624308165626}","candle_adverse_outside_long,candle_adverse_outside_short",both,True,False,True,slightly lower,medium,1310,122,1432,0,720,712,7214,0.8343742771223688,804,0.09299097848716169,1.0,0.08519553072625698,0,validation_net_not_positive;validation_pf_below_1_10;oos_pf_below_1_10;cluster_concentration_check_not_available_for_positive_gate,17.8,1.01,194.35,0.02,39.77,777,982,982,1310,122,982,completed,completed,C:\Program Files\MetaTrader 5\terminal64.exe /config:C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Profiles\Tester\opv2_run34A_candle_morphology_signal_quality_broad_mt_routed_c03_adverse_outside_bar_filter_oos.ini,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/40_feature_structure__candle_morphology_signal_quality_scout/02_runs/run34A_candle_morphology_signal_quality_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run34A_candle_morphology_signal_quality_broad_mt5_probe_v1_routed_c03_adverse_outside_bar_filter_oos.htm
c04_adverse_outside_bar_directional_long,long-side adverse outside bar only,validation_is,directional adverse outside,adverse_outside_long_only,broad_train_quantile_v1,"{""adx_q50"":24.974328994750977,""morph_score_abs_q50"":1.0,""morph_score_abs_q75"":2.0,""return_abs_q60"":0.8147125482559202,""return_abs_q67"":0.9530624308165626}",candle_adverse_outside_long,long_only,True,False,True,slightly lower,medium,1767,244,2011,0,1022,989,10199,0.8352989352989353,641,0.0524979524979525,1.0,0.12133267031327698,0,validation_net_not_positive;validation_pf_below_1_10;oos_pf_below_1_10;cluster_concentration_check_not_available_for_positive_gate,-218.42,0.93,572.57,-0.22,38.41,1005,1269,1269,1767,0,1269,completed,completed,C:\Program Files\MetaTrader 5\terminal64.exe /config:C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Profiles\Tester\opv2_run34A_candle_morphology_signal_quality_broad_mt_routed_c04_adverse_outside_bar_directional_long_validation_is.ini,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/40_feature_structure__candle_morphology_signal_quality_scout/02_runs/run34A_candle_morphology_signal_quality_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run34A_candle_morphology_signal_quality_broad_mt5_probe_v1_routed_c04_adverse_outside_bar_directional_long_validation_is.htm
c04_adverse_outside_bar_directional_long,long-side adverse outside bar only,oos,directional adverse outside,adverse_outside_long_only,broad_train_quantile_v1,"{""adx_q50"":24.974328994750977,""morph_score_abs_q50"":1.0,""morph_score_abs_q75"":2.0,""return_abs_q60"":0.8147125482559202,""return_abs_q67"":0.9530624308165626}",candle_adverse_outside_long,long_only,True,False,True,slightly lower,medium,1310,122,1432,0,720,712,7214,0.8343742771223688,390,0.04510756419153366,1.0,0.08519553072625698,0,validation_net_not_positive;validation_pf_below_1_10;oos_pf_below_1_10;cluster_concentration_check_not_available_for_positive_gate,17.8,1.01,194.35,0.02,39.77,777,982,982,1310,122,982,completed,completed,C:\Program Files\MetaTrader 5\terminal64.exe /config:C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Profiles\Tester\opv2_run34A_candle_morphology_signal_quality_broad_mt_routed_c04_adverse_outside_bar_directional_long_oos.ini,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/40_feature_structure__candle_morphology_signal_quality_scout/02_runs/run34A_candle_morphology_signal_quality_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run34A_candle_morphology_signal_quality_broad_mt5_probe_v1_routed_c04_adverse_outside_bar_directional_long_oos.htm
c05_adverse_outside_bar_directional_short,short-side adverse outside bar only,validation_is,directional adverse outside,adverse_outside_short_only,broad_train_quantile_v1,"{""adx_q50"":24.974328994750977,""morph_score_abs_q50"":1.0,""morph_score_abs_q75"":2.0,""return_abs_q60"":0.8147125482559202,""return_abs_q67"":0.9530624308165626}",candle_adverse_outside_short,short_only,True,False,True,slightly lower,medium,1767,244,2011,0,1022,989,10199,0.8352989352989353,586,0.04799344799344799,1.0,0.12133267031327698,0,validation_net_not_positive;validation_pf_below_1_10;oos_pf_below_1_10;cluster_concentration_check_not_available_for_positive_gate,-218.42,0.93,572.57,-0.22,38.41,1005,1269,1269,1767,0,1269,completed,completed,C:\Program Files\MetaTrader 5\terminal64.exe /config:C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Profiles\Tester\opv2_run34A_candle_morphology_signal_quality_broad_mt_routed_c05_adverse_outside_bar_directional_short_validation_is.ini,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/40_feature_structure__candle_morphology_signal_quality_scout/02_runs/run34A_candle_morphology_signal_quality_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run34A_candle_morphology_signal_quality_broad_mt5_probe_v1_routed_c05_adverse_outside_bar_directional_short_validation_is.htm
c05_adverse_outside_bar_directional_short,short-side adverse outside bar only,oos,directional adverse outside,adverse_outside_short_only,broad_train_quantile_v1,"{""adx_q50"":24.974328994750977,""morph_score_abs_q50"":1.0,""morph_score_abs_q75"":2.0,""return_abs_q60"":0.8147125482559202,""return_abs_q67"":0.9530624308165626}",candle_adverse_outside_short,short_only,True,False,True,slightly lower,medium,1310,122,1432,0,720,712,7214,0.8343742771223688,414,0.047883414295628035,1.0,0.08519553072625698,0,validation_net_not_positive;validation_pf_below_1_10;oos_pf_below_1_10;cluster_concentration_check_not_available_for_positive_gate,17.8,1.01,194.35,0.02,39.77,777,982,982,1310,122,982,completed,completed,C:\Program Files\MetaTrader 5\terminal64.exe /config:C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Profiles\Tester\opv2_run34A_candle_morphology_signal_quality_broad_mt_routed_c05_adverse_outside_bar_directional_short_oos.ini,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/40_feature_structure__candle_morphology_signal_quality_scout/02_runs/run34A_candle_morphology_signal_quality_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run34A_candle_morphology_signal_quality_broad_mt5_probe_v1_routed_c05_adverse_outside_bar_directional_short_oos.htm
