run_id,variant_id,family,risk_overlay_variant,hold_cap_variant,short_variant,validation_net,oos_net,validation_trade_density,oos_trade_density,validation_profit_factor,oos_profit_factor,proxy_boundary,claim_boundary
run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,risk_rf3_l30_n96__drop_top_40pct_risk__plus__hold_cap_96_m5_proxy,risk_overlay_plus_hold_cap_proxy,risk_rf3_l30_n96__drop_top_40pct_risk,hold_cap_96_m5_proxy,,599.76,78.75,2.2580645161,2.4621848739,1.701623337,1.2536579276,trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_overlay_onnx_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,risk_rf3_l30_n96__drop_top_40pct_risk__plus__hold_cap_24_m5_proxy,risk_overlay_plus_hold_cap_proxy,risk_rf3_l30_n96__drop_top_40pct_risk,hold_cap_24_m5_proxy,,524.63,18.1,2.2580645161,2.4621848739,1.701623337,1.2536579276,trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_overlay_onnx_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,risk_rf3_l30_n96__drop_top_30pct_risk__plus__hold_cap_96_m5_proxy,risk_overlay_plus_hold_cap_proxy,risk_rf3_l30_n96__drop_top_30pct_risk,hold_cap_96_m5_proxy,,551.39,147.66,2.55,2.8925619835,1.5259072792,1.2948398422,trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_overlay_onnx_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,risk_rf3_l30_n96__drop_top_30pct_risk__plus__hold_cap_24_m5_proxy,risk_overlay_plus_hold_cap_proxy,risk_rf3_l30_n96__drop_top_30pct_risk,hold_cap_24_m5_proxy,,476.26,87.01,2.55,2.8925619835,1.5259072792,1.2948398422,trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_overlay_onnx_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,risk_rf3_l30_n96__drop_top_05pct_risk__plus__hold_cap_96_m5_proxy,risk_overlay_plus_hold_cap_proxy,risk_rf3_l30_n96__drop_top_05pct_risk,hold_cap_96_m5_proxy,,521.41,256.28,3.2529411765,3.488372093,1.3083022851,1.2993874004,trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_overlay_onnx_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,risk_rf3_l30_n96__drop_top_05pct_risk__plus__hold_cap_24_m5_proxy,risk_overlay_plus_hold_cap_proxy,risk_rf3_l30_n96__drop_top_05pct_risk,hold_cap_24_m5_proxy,,446.28,195.63,3.2529411765,3.488372093,1.3083022851,1.2993874004,trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_overlay_onnx_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,risk_rf3_l30_n96__drop_top_40pct_risk__plus__short_q95_maxhold_12,risk_overlay_plus_short_router_synthetic,risk_rf3_l30_n96__drop_top_40pct_risk,,short_q95_maxhold_12,663.909,416.135,3.9802867383,4.2021848739,1.701623337,1.2536579276,"synthetic addition only, no one-position MT5 routing claim",research_development_overlay_onnx_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,risk_rf3_l30_n96__drop_top_40pct_risk__plus__short_q90_maxhold_12,risk_overlay_plus_short_router_synthetic,risk_rf3_l30_n96__drop_top_40pct_risk,,short_q90_maxhold_12,633.123,367.406,4.3280645161,4.4490269792,1.701623337,1.2536579276,"synthetic addition only, no one-position MT5 routing claim",research_development_overlay_onnx_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,risk_rf3_l30_n96__drop_top_40pct_risk__plus__short_q95_maxhold_8,risk_overlay_plus_short_router_synthetic,risk_rf3_l30_n96__drop_top_40pct_risk,,short_q95_maxhold_8,518.9,359.231,4.148475475,4.5406162464,1.701623337,1.2536579276,"synthetic addition only, no one-position MT5 routing claim",research_development_overlay_onnx_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,risk_rf3_l30_n96__drop_top_30pct_risk__plus__short_q95_maxhold_12,risk_overlay_plus_short_router_synthetic,risk_rf3_l30_n96__drop_top_30pct_risk,,short_q95_maxhold_12,615.539,485.045,4.2722222222,4.6325619835,1.5259072792,1.2948398422,"synthetic addition only, no one-position MT5 routing claim",research_development_overlay_onnx_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
