run_id,variant_id,family,threshold,trade_rows,validation_trade_count,validation_trade_density,validation_net,validation_profit_factor,validation_expectancy,validation_max_drawdown,validation_recovery_factor,validation_long_count,validation_short_count,validation_long_short_balance,oos_trade_count,oos_trade_density,oos_net,oos_profit_factor,oos_expectancy,oos_max_drawdown,oos_recovery_factor,oos_long_count,oos_short_count,oos_long_short_balance,proxy_boundary,claim_boundary,filter_column,dropped_values,dropped_trade_count
run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,drop_negative_hour_slices,session_regime_filter,0.0,1047,583,3.4294117647,406.43,1.2258145168,0.697135506,-187.79,2.1642792481,583,0,0.0,464,3.5968992248,412.24,1.3137839957,0.8884482759,-110.68,3.7246114926,464,0,0.0,trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_overlay_onnx_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,actual_entry_hour,,0
run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,drop_negative_month_slices,session_regime_filter,0.0,839,435,3.320610687,457.15,1.3942409686,1.0509195402,-110.14,4.1506264754,435,0,0.0,404,3.7407407407,424.42,1.3677465753,1.0505445545,-110.68,3.8346584749,404,0,0.0,trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_overlay_onnx_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,actual_entry_month,2025-01|2025-03|2025-12,208
