run_id,variant_id,family,threshold,trade_rows,validation_trade_count,validation_trade_density,validation_net,validation_profit_factor,validation_expectancy,validation_max_drawdown,validation_recovery_factor,validation_long_count,validation_short_count,validation_long_short_balance,oos_trade_count,oos_trade_density,oos_net,oos_profit_factor,oos_expectancy,oos_max_drawdown,oos_recovery_factor,oos_long_count,oos_short_count,oos_long_short_balance,proxy_boundary,claim_boundary,short_quantile,max_hold_m5,cost_per_trade
run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,short_q80_maxhold_4,short_side_router_proxy,0.020551484823,1126,628,4.4225352113,-573.353,0.7148327477,-0.9129824841,-574.915,-0.9972830766,0,628,0.0,498,4.8349514563,-53.998,0.9631665398,-0.1084297189,-225.142,-0.2398397456,0,498,0.0,trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_overlay_onnx_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,0.8,4,0.3
run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,short_q80_maxhold_8,short_side_router_proxy,0.020551484823,805,452,3.1830985915,-167.329,0.901885144,-0.3701969027,-327.093,-0.5115639894,0,452,0.0,353,3.4607843137,-238.635,0.8359001407,-0.67601983,-380.343,-0.6274205125,0,353,0.0,trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_overlay_onnx_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,0.8,8,0.3
run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,short_q80_maxhold_12,short_side_router_proxy,0.020551484823,692,391,2.7730496454,-170.558,0.8983521968,-0.4362097187,-325.694,-0.5236755973,0,391,0.0,301,2.9509803922,-157.717,0.8852006298,-0.5239767442,-256.925,-0.6138639681,0,301,0.0,trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_overlay_onnx_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,0.8,12,0.3
run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,short_q80_maxhold_24,short_side_router_proxy,0.020551484823,572,326,2.3120567376,-145.818,0.9028994067,-0.4472944785,-292.149,-0.4991220234,0,326,0.0,246,2.4117647059,-108.223,0.9134900467,-0.4399308943,-209.42,-0.5167749021,0,246,0.0,trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_overlay_onnx_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,0.8,24,0.3
run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,short_q90_maxhold_4,short_side_router_proxy,0.043595778942,587,328,3.3131313131,-183.111,0.8431342146,-0.5582652439,-209.763,-0.8729423206,0,328,0.0,259,3.4078947368,-52.199,0.9314762427,-0.2015405405,-146.6,-0.3560641201,0,259,0.0,trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_overlay_onnx_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,0.9,4,0.3
run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,short_q90_maxhold_8,short_side_router_proxy,0.043595778942,414,239,2.39,-110.204,0.8960895446,-0.4611046025,-250.519,-0.4399027619,0,239,0.0,175,2.3026315789,118.304,1.1882640509,0.6760228571,-104.631,1.1306782885,0,175,0.0,trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_overlay_onnx_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,0.9,8,0.3
run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,short_q90_maxhold_12,short_side_router_proxy,0.043595778942,358,207,2.07,58.283,1.0562619579,0.2815603865,-165.722,0.3516913868,0,207,0.0,151,1.9868421053,164.226,1.2531823935,1.087589404,-88.81,1.8491836505,0,151,0.0,trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_overlay_onnx_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,0.9,12,0.3
run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,short_q90_maxhold_24,short_side_router_proxy,0.043595778942,290,175,1.7676767677,40.556,1.0411984068,0.2317485714,-183.782,0.2206744948,0,175,0.0,115,1.5333333333,132.781,1.2135951535,1.1546173913,-137.612,0.9648940499,0,115,0.0,trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_overlay_onnx_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,0.9,24,0.3
run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,short_q95_maxhold_4,short_side_router_proxy,0.065790976584,330,187,2.5616438356,-106.03,0.8283826567,-0.5670053476,-129.198,-0.8206783387,0,187,0.0,143,2.8039215686,99.949,1.2434615488,0.6989440559,-78.905,1.2667004626,0,143,0.0,trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_overlay_onnx_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,0.95,4,0.3
run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,short_q95_maxhold_8,short_side_router_proxy,0.065790976584,244,138,1.8904109589,-55.94,0.9111636231,-0.4053623188,-142.329,-0.3930330432,0,138,0.0,106,2.0784313725,156.051,1.3636959004,1.4721792453,-94.755,1.6468893462,0,106,0.0,trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_overlay_onnx_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,0.95,8,0.3
run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,short_q95_maxhold_12,short_side_router_proxy,0.065790976584,211,124,1.7222222222,89.069,1.1416687741,0.7182983871,-170.311,0.522978551,0,124,0.0,87,1.74,212.955,1.5636816987,2.4477586207,-78.887,2.6994942132,0,87,0.0,trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_overlay_onnx_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,0.95,12,0.3
run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,short_q95_maxhold_24,short_side_router_proxy,0.065790976584,176,106,1.5142857143,163.867,1.275733432,1.5459150943,-140.399,1.1671521877,0,106,0.0,70,1.4285714286,111.371,1.2723746542,1.5910142857,-110.137,1.0112042275,0,70,0.0,trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_overlay_onnx_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,0.95,24,0.3
run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,short_q99_maxhold_4,short_side_router_proxy,0.101609106064,107,53,1.6060606061,-219.603,0.290353332,-4.1434528302,-219.603,-1.0,0,53,0.0,54,2.16,65.048,1.3630153805,1.2045925926,-46.538,1.3977394817,0,54,0.0,trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_overlay_onnx_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,0.99,4,0.3
run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,short_q99_maxhold_8,short_side_router_proxy,0.101609106064,83,42,1.2727272727,-192.51,0.325692749,-4.5835714286,-192.51,-1.0,0,42,0.0,41,1.64,12.111,1.0560787909,0.2953902439,-92.726,0.1306106162,0,41,0.0,trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_overlay_onnx_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,0.99,8,0.3
