run_id,model_id,train_rows,oos_rows,feature_count,train_auc,oos_auc,train_balanced_accuracy,oos_balanced_accuracy,train_avoid_rate,oos_avoid_rate,model_path,onnx_path,feature_order_path,claim_boundary
run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,risk_rf3_l30_n96,583,464,62,0.7875856225,0.5694136085,0.6920827154,0.5526222504,0.5042881647,0.4676724138,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364Q/models/risk_rf3_l30_n96.joblib,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364Q/onnx/risk_rf3_l30_n96.onnx,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364Q/models/risk_rf3_l30_n96_feature_order.json,research_development_overlay_onnx_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,risk_rf4_l20_n128,583,464,62,0.8471977026,0.5628276647,0.7233717016,0.5455605515,0.5042881647,0.4676724138,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364Q/models/risk_rf4_l20_n128.joblib,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364Q/onnx/risk_rf4_l20_n128.onnx,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364Q/models/risk_rf4_l20_n128_feature_order.json,research_development_overlay_onnx_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
