source_stage,adapter_id,split,profit_factor,net_profit,max_drawdown_amount,cost_stressed_expectancy,trade_count,same_move_reentry_ratio,risk_floor_applied_count,status
59G_adapter_repair__bounded_followup_from_stage59f,s59g_v54_sd10,validation_is,0.9600000000,-65.1900000000,246.2800000000,-0.3831505102,784,0.2028061224,0,completed
59G_adapter_repair__bounded_followup_from_stage59f,s59g_v54_sd10,oos,1.1800000000,392.1200000000,133.8200000000,0.3691467577,586,0.1894197952,0,completed
59G_adapter_repair__bounded_followup_from_stage59f,s59g_v54_th60_sd8,validation_is,0.9900000000,-27.8200000000,220.5400000000,-0.3325000000,856,0.4427570093,0,completed
59G_adapter_repair__bounded_followup_from_stage59f,s59g_v54_th60_sd8,oos,1.1200000000,266.5100000000,242.4400000000,0.1031921331,661,0.4780635401,0,completed
59G_adapter_repair__bounded_followup_from_stage59f,s59g_v54_trn02_sd8,validation_is,0.9700000000,-66.9100000000,237.3100000000,-0.3782573099,855,0.4432748538,0,completed
59G_adapter_repair__bounded_followup_from_stage59f,s59g_v54_trn02_sd8,oos,1.0900000000,205.6700000000,224.6100000000,0.0130441400,657,0.4764079148,0,completed
59H_adapter_repair__bounded_followup_from_stage59g,s59h_v54_th60_sd10,validation_is,0.9600000000,-65.1900000000,246.2800000000,-0.3831505102,784,0.2028061224,0,completed
59H_adapter_repair__bounded_followup_from_stage59g,s59h_v54_th60_sd10,oos,1.1800000000,392.1200000000,133.8200000000,0.3691467577,586,0.1894197952,0,completed
59H_adapter_repair__bounded_followup_from_stage59g,s59h_v54_th62_sd10,validation_is,0.9600000000,-65.1900000000,246.2800000000,-0.3831505102,784,0.2028061224,0,completed
59H_adapter_repair__bounded_followup_from_stage59g,s59h_v54_th62_sd10,oos,1.1800000000,392.1200000000,133.8200000000,0.3691467577,586,0.1894197952,0,completed
59H_adapter_repair__bounded_followup_from_stage59g,s59h_v54_th60_sd12,validation_is,0.9800000000,-33.2800000000,212.1300000000,-0.3436173001,763,0.1952817824,0,completed
59H_adapter_repair__bounded_followup_from_stage59g,s59h_v54_th60_sd12,oos,1.1000000000,183.6900000000,116.6900000000,0.0216987741,571,0.1803852890,0,completed
