run_id,record_view,split,tier_scope,route_role,trade_count,avg_hold_bars,mfe_mean,mae_mean,long_net_profit,short_net_profit,positive_month_ratio,status
run08A_qda_near_raw_covariance_empirical_priors_characterization_v1,mt5_tier_a_only_validation_is,validation,Tier A,tier_only_total,320,31.55,10.8991,9.33071,50.25,56.73,0.333333,trade_attribution_recorded
run08A_qda_near_raw_covariance_empirical_priors_characterization_v1,mt5_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,10,1079.7,38.4199,23.2596,0,-144.55,0.2,trade_attribution_recorded
run08A_qda_near_raw_covariance_empirical_priors_characterization_v1,mt5_routed_total_validation_is,validation,Tier A+B,routed_total,331,30.2145,10.5009,9.11518,54.73,-2.05,0.222222,trade_attribution_recorded
run08A_qda_near_raw_covariance_empirical_priors_characterization_v1,mt5_tier_a_only_oos,oos,Tier A,tier_only_total,265,24.1774,10.5693,8.49435,110.11,96.36,0.857143,trade_attribution_recorded
run08A_qda_near_raw_covariance_empirical_priors_characterization_v1,mt5_tier_b_fallback_only_oos,oos,Tier B,tier_b_fallback_only_total,30,817.966,32.7019,30.3935,-3.99,-399.43,0,trade_attribution_recorded
run08A_qda_near_raw_covariance_empirical_priors_characterization_v1,mt5_routed_total_oos,oos,Tier A+B,routed_total,291,33.9828,10.2692,8.2142,73.72,107.97,0.714286,trade_attribution_recorded
run08B_qda_near_raw_balanced_priors_characterization_v1,mt5_tier_a_only_validation_is,validation,Tier A,tier_only_total,332,29.1175,10.8112,10.136,51.91,41.46,0.333333,trade_attribution_recorded
run08B_qda_near_raw_balanced_priors_characterization_v1,mt5_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,13,1048.31,40.9617,20.7802,100.68,-84.4,0.571429,trade_attribution_recorded
run08B_qda_near_raw_balanced_priors_characterization_v1,mt5_routed_total_validation_is,validation,Tier A+B,routed_total,349,34.3954,10.5847,9.78232,54.52,69.7,0.333333,trade_attribution_recorded
run08B_qda_near_raw_balanced_priors_characterization_v1,mt5_tier_a_only_oos,oos,Tier A,tier_only_total,247,62.1538,11.2079,9.45966,94.01,31.11,0.571429,trade_attribution_recorded
run08B_qda_near_raw_balanced_priors_characterization_v1,mt5_tier_b_fallback_only_oos,oos,Tier B,tier_b_fallback_only_total,26,806.731,27.8696,35.9355,-33.17,-299.37,0.285714,trade_attribution_recorded
run08B_qda_near_raw_balanced_priors_characterization_v1,mt5_routed_total_oos,oos,Tier A+B,routed_total,277,55.6245,10.5853,9.05507,100.22,31.95,0.571429,trade_attribution_recorded
run08C_qda_micro_regularization003_characterization_v1,mt5_tier_a_only_validation_is,validation,Tier A,tier_only_total,343,31.3673,10.5086,9.89383,167.65,21.44,0.444444,trade_attribution_recorded
run08C_qda_micro_regularization003_characterization_v1,mt5_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,13,372.615,27.157,7.74723,130.26,68.85,0.8,trade_attribution_recorded
run08C_qda_micro_regularization003_characterization_v1,mt5_routed_total_validation_is,validation,Tier A+B,routed_total,356,27.7697,10.3478,9.64216,173.92,60.16,0.444444,trade_attribution_recorded
run08C_qda_micro_regularization003_characterization_v1,mt5_tier_a_only_oos,oos,Tier A,tier_only_total,257,45.6226,10.4334,9.56966,108.86,-142.91,0.285714,trade_attribution_recorded
