adapter_id,route_view,cost_0.25_net_profit,cost_0.25_profit_factor,cost_0.25_status,cost_0.5_net_profit,cost_0.5_profit_factor,cost_0.5_status,cost_1.0_net_profit,cost_1.0_profit_factor,cost_1.0_status,cost_2.0_net_profit,cost_2.0_profit_factor,cost_2.0_status
rfp00_csp03_primary_control_fallback,tier_a_primary_side_filter_separate,351.02,1.667783,passed,301.02,1.546762,passed,201.02,1.333389,passed,1.02,1.001426,failed
rfp00_csp03_primary_control_fallback,tier_a_primary_tier_b_side_filter_routed_total,243.13,1.377197,passed,169.38,1.246784,passed,21.88,1.02824,failed,-273.12,0.716492,failed
rfp00_csp03_primary_control_fallback,tier_b_fallback_side_filter_separate,139.75,1.354515,passed,115.25,1.282102,passed,66.25,1.151273,passed,-31.75,0.93656,failed
rfp01_csp03_primary_csp03_fallback,tier_a_primary_side_filter_separate,351.02,1.667783,passed,301.02,1.546762,passed,201.02,1.333389,passed,1.02,1.001426,failed
rfp01_csp03_primary_csp03_fallback,tier_a_primary_tier_b_side_filter_routed_total,214.94,1.381614,passed,154.94,1.26078,passed,34.94,1.052918,failed,-205.06,0.744947,failed
rfp01_csp03_primary_csp03_fallback,tier_b_fallback_side_filter_separate,30.83,1.112428,passed,20.58,1.07397,failed,0.08,1.00028,failed,-40.92,0.86508,failed
rfp02_csp03_primary_csp05_fallback,tier_a_primary_side_filter_separate,351.02,1.667783,passed,301.02,1.546762,passed,201.02,1.333389,passed,1.02,1.001426,failed
rfp02_csp03_primary_csp05_fallback,tier_a_primary_tier_b_side_filter_routed_total,230.02,1.489519,passed,179.27,1.361877,passed,77.77,1.141433,passed,-125.23,0.812592,failed
rfp02_csp03_primary_csp05_fallback,tier_b_fallback_side_filter_separate,0.0,,failed,0.0,,failed,0.0,,failed,0.0,,failed
rfp03_csp02_primary_csp03_fallback,tier_a_primary_side_filter_separate,230.32,1.422288,passed,179.57,1.313326,passed,78.07,1.123856,passed,-124.93,0.834266,failed
rfp03_csp02_primary_csp03_fallback,tier_a_primary_tier_b_side_filter_routed_total,186.0,1.365444,passed,127.25,1.236599,passed,9.75,1.016253,failed,-225.25,0.69642,failed
rfp03_csp02_primary_csp03_fallback,tier_b_fallback_side_filter_separate,30.83,1.112428,passed,20.58,1.07397,failed,0.08,1.00028,failed,-40.92,0.86508,failed
