adapter_id,route_view,closed_trades,net_profit,single_trade_share,day_share,week_share,month_share,long_trades,short_trades,status
rfp00_csp03_primary_control_fallback,tier_a_primary_side_filter_separate,200,401.02,0.106404,0.102015,0.154755,0.211486,81,119,passed
rfp00_csp03_primary_control_fallback,tier_a_primary_tier_b_side_filter_routed_total,295,316.88,0.124937,0.112693,0.205598,0.289857,127,168,passed
rfp00_csp03_primary_control_fallback,tier_b_fallback_side_filter_separate,98,164.25,0.31446,0.31446,0.341796,0.429163,47,51,failed_concentrated
rfp01_csp03_primary_csp03_fallback,tier_a_primary_side_filter_separate,200,401.02,0.106404,0.102015,0.154755,0.211486,81,119,passed
rfp01_csp03_primary_csp03_fallback,tier_a_primary_tier_b_side_filter_routed_total,240,274.94,0.143995,0.129337,0.236961,0.299156,116,124,passed
rfp01_csp03_primary_csp03_fallback,tier_b_fallback_side_filter_separate,41,41.08,1.12074,1.12074,1.49075,1.301363,41,0,failed_concentrated
rfp02_csp03_primary_csp05_fallback,tier_a_primary_side_filter_separate,200,401.02,0.106404,0.102015,0.154755,0.211486,81,119,passed
rfp02_csp03_primary_csp05_fallback,tier_a_primary_tier_b_side_filter_routed_total,203,280.77,0.141005,0.126652,0.181715,0.242619,81,122,passed
rfp02_csp03_primary_csp05_fallback,tier_b_fallback_side_filter_separate,0,0.0,0.0,0.0,0.0,0.0,0,0,passed
rfp03_csp02_primary_csp03_fallback,tier_a_primary_side_filter_separate,203,281.07,0.151813,0.145551,0.177002,0.227666,124,79,passed
rfp03_csp02_primary_csp03_fallback,tier_a_primary_tier_b_side_filter_routed_total,235,244.75,0.161757,0.139775,0.195465,0.234157,153,82,passed
rfp03_csp02_primary_csp03_fallback,tier_b_fallback_side_filter_separate,41,41.08,1.12074,1.12074,1.49075,1.301363,41,0,failed_concentrated
