run_id,variant_id,queue_id,split,entry_timestamp,exit_timestamp,entry_server_time,entry_month,entry_hour,held_m5,side,entry_score,entry_confidence,entry_open,exit_open,net_profit,previous_closed_balance_drawdown_percent,adx_14,exit_reason,guardrail_expression,claim_boundary,closed_balance_drawdown_percent
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,maxhold6_density_control__ps0_45__adx40_0__hold6__none,maxhold6_density_control,validation,2025-01-02T16:35:00Z,2025-01-02T16:55:00Z,2025-01-02 16:35:00,2025-01,16,4,short,0.09371176362,0.461450457573,21014.82,21125.82,-11.4,0.0,29.897472381592,reverse_on_opposite,none(없음),research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2.28
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,maxhold6_density_control__ps0_45__adx40_0__hold6__none,maxhold6_density_control,validation,2025-01-02T16:55:00Z,2025-01-02T17:25:00Z,2025-01-02 16:55:00,2025-01,16,6,long,0.030444145203,0.41315433383,21125.82,21017.44,-11.138,2.28,34.130207061768,close_max_hold,none(없음),research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,4.5076
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,maxhold6_density_control__ps0_45__adx40_0__hold6__none,maxhold6_density_control,validation,2025-01-02T17:30:00Z,2025-01-02T18:05:00Z,2025-01-02 17:30:00,2025-01,17,6,long,0.011778563261,0.394474297762,21035.07,20949.19,-8.888,4.5076,25.42264175415,close_max_hold,none(없음),research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,6.2852
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,maxhold6_density_control__ps0_45__adx40_0__hold6__none,maxhold6_density_control,validation,2025-01-02T18:20:00Z,2025-01-02T18:50:00Z,2025-01-02 18:20:00,2025-01,18,6,long,0.003033101559,0.383825749159,21017.44,21092.32,7.188,6.2852,26.781949996948,close_max_hold,none(없음),research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,4.8476
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,maxhold6_density_control__ps0_45__adx40_0__hold6__none,maxhold6_density_control,validation,2025-01-02T18:55:00Z,2025-01-02T19:25:00Z,2025-01-02 18:55:00,2025-01,18,6,long,0.006818145514,0.39490506053,21052.69,20992.19,-6.35,4.8476,18.936874389648,close_max_hold,none(없음),research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,6.1176
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,maxhold6_density_control__ps0_45__adx40_0__hold6__none,maxhold6_density_control,validation,2025-01-02T19:40:00Z,2025-01-02T20:10:00Z,2025-01-02 19:40:00,2025-01,19,6,short,0.091021001339,0.455611795187,20803.69,20820.44,-1.975,6.1176,21.256195068359,close_max_hold,none(없음),research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,6.5126
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,maxhold6_density_control__ps0_45__adx40_0__hold6__none,maxhold6_density_control,validation,2025-01-02T20:35:00Z,2025-01-02T20:45:00Z,2025-01-02 20:35:00,2025-01,20,2,short,0.092230916023,0.455204933882,20746.57,20810.32,-6.675,6.5126,38.834133148193,reverse_on_opposite,none(없음),research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,7.8476
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,maxhold6_density_control__ps0_45__adx40_0__hold6__none,maxhold6_density_control,validation,2025-01-02T20:45:00Z,2025-01-02T21:15:00Z,2025-01-02 20:45:00,2025-01,20,6,long,0.001992046833,0.367785185575,20810.32,20812.57,-0.075,7.8476,39.801902770996,close_max_hold,none(없음),research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,7.8626
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,maxhold6_density_control__ps0_45__adx40_0__hold6__none,maxhold6_density_control,validation,2025-01-03T16:35:00Z,2025-01-03T17:05:00Z,2025-01-03 16:35:00,2025-01,16,6,long,0.010744303465,0.372797101736,21079.29,21171.54,8.925,7.8626,22.78332901001,close_max_hold,none(없음),research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,6.0776
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,maxhold6_density_control__ps0_45__adx40_0__hold6__none,maxhold6_density_control,validation,2025-01-03T17:10:00Z,2025-01-03T17:40:00Z,2025-01-03 17:10:00,2025-01,17,6,long,0.04766485095,0.40181055665,21151.91,21101.54,-5.337,6.0776,29.173048019409,close_max_hold,none(없음),research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,7.145
