run_id,start_date,end_date,business_days_by_trade_span,trade_count,trade_density_per_business_day,net_profit_after_cost,gross_profit_after_cost,gross_loss_after_cost,profit_factor_after_cost,expectancy_after_cost,win_rate_after_cost_percent,long_trade_count,short_trade_count,long_share,short_share,median_hold_m5_calendar,max_hold_m5_calendar,max_closed_balance_drawdown_percent,claim_boundary,month,regime_bucket,stress_score,proposed_use,timestamp_boundary
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-01-02,2025-01-31,22,88,4.0,40.14,282.74,-242.6,1.165457543,0.456136,50.0,80,8,0.9090909091,0.0909090909,6.0,1098,14.416839,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-01,normal_positive_month_regime(일반 양수 월 국면),1,"stress_label_no_hard_delete(압박 라벨, 강제 삭제 없음)",month known at entry time(月은 진입 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-02-03,2025-02-28,20,74,3.7,73.97,253.54,-179.57,1.411928496,0.999595,54.054054,62,12,0.8378378378,0.1621621622,6.0,805,5.761284,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-02,normal_positive_month_regime(일반 양수 월 국면),0,"stress_label_no_hard_delete(압박 라벨, 강제 삭제 없음)",month known at entry time(月은 진입 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-03-06,2025-03-28,17,8,0.4705882353,8.71,21.76,-13.05,1.66743295,1.08875,50.0,0,8,0.0,1.0,6.0,6,1.218826,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-03,strong_month_regime(강한 월 국면),0,"stress_label_no_hard_delete(압박 라벨, 강제 삭제 없음)",month known at entry time(月은 진입 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-04-01,2025-04-30,22,121,5.5,211.95,695.02,-483.07,1.438756288,1.751653,50.413223,106,15,0.8760330579,0.1239669421,6.0,804,10.348044,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-04,normal_positive_month_regime(일반 양수 월 국면),1,"stress_label_no_hard_delete(압박 라벨, 강제 삭제 없음)",month known at entry time(月은 진입 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-05-01,2025-05-30,22,76,3.4545454545,42.33,201.72,-159.39,1.265575005,0.556974,55.263158,71,5,0.9342105263,0.0657894737,6.0,804,4.470869,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-05,normal_positive_month_regime(일반 양수 월 국면),1,"stress_label_no_hard_delete(압박 라벨, 강제 삭제 없음)",month known at entry time(月은 진입 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-06-02,2025-06-30,21,67,3.1904761905,57.54,169.67,-112.13,1.513154374,0.858806,53.731343,66,1,0.9850746269,0.0149253731,6.0,228,2.964309,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-06,normal_positive_month_regime(일반 양수 월 국면),1,"stress_label_no_hard_delete(압박 라벨, 강제 삭제 없음)",month known at entry time(月은 진입 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-07-01,2025-07-31,23,35,1.5217391304,11.69,79.55,-67.86,1.172266431,0.334,54.285714,34,1,0.9714285714,0.0285714286,7.0,230,2.725538,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-07,normal_positive_month_regime(일반 양수 월 국면),1,"stress_label_no_hard_delete(압박 라벨, 강제 삭제 없음)",month known at entry time(月은 진입 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-08-01,2025-08-29,21,47,2.2380952381,-0.37,109.75,-110.12,0.996640029,-0.007872,42.553191,44,3,0.9361702128,0.0638297872,6.0,247,3.338784,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-08,negative_month_regime(음수 월 국면),4,"stress_label_no_hard_delete(압박 라벨, 강제 삭제 없음)",month known at entry time(月은 진입 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-09-02,2025-09-30,21,52,2.4761904762,36.86,134.66,-97.8,1.376891616,0.708846,44.230769,51,1,0.9807692308,0.0192307692,7.0,230,3.041896,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-09,normal_positive_month_regime(일반 양수 월 국면),1,"stress_label_no_hard_delete(압박 라벨, 강제 삭제 없음)",month known at entry time(月은 진입 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-10-01,2025-10-31,23,78,3.3913043478,31.76,235.73,-203.97,1.155709173,0.407179,55.128205,71,7,0.9102564103,0.0897435897,6.0,229,3.90182,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-10,normal_positive_month_regime(일반 양수 월 국면),1,"stress_label_no_hard_delete(압박 라벨, 강제 삭제 없음)",month known at entry time(月은 진입 시점에 알려짐)
