run_id,start_date,end_date,business_days_by_trade_span,trade_count,trade_density_per_business_day,net_profit_after_cost,gross_profit_after_cost,gross_loss_after_cost,profit_factor_after_cost,expectancy_after_cost,win_rate_after_cost_percent,long_trade_count,short_trade_count,long_share,short_share,median_hold_m5_calendar,max_hold_m5_calendar,max_closed_balance_drawdown_percent,claim_boundary,entry_hour,side,session_side_bucket,proposed_use,timestamp_boundary
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-01-03,2026-04-13,332,129,0.3885542169,29.87,461.53,-431.66,1.06919798,0.23155,54.263566,129,0,1.0,0.0,6.0,10,7.933177,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,16,long,long_thin_edge_session(long 얇은 엣지 세션),soft firewall stress label only(소프트 방화벽 압박 라벨 전용),entry hour and side are known at decision time(진입 시간과 방향은 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-01-02,2026-04-13,333,256,0.7687687688,190.26,745.75,-555.49,1.342508416,0.743203,54.6875,256,0,1.0,0.0,6.0,23,12.611219,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,17,long,long_usable_session(long 사용 가능 세션),control slice(대조 구간),entry hour and side are known at decision time(진입 시간과 방향은 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-01-07,2026-03-12,308,37,0.1201298701,-10.82,123.73,-134.55,0.919583798,-0.292432,43.243243,0,37,0.0,1.0,6.0,7,12.111109,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,17,short,short_weak_session(short 약한 세션),soft firewall stress label only(소프트 방화벽 압박 라벨 전용),entry hour and side are known at decision time(진입 시간과 방향은 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-01-02,2026-04-13,333,199,0.5975975976,-42.17,451.17,-493.34,0.914521425,-0.21191,51.256281,199,0,1.0,0.0,6.0,25,12.924542,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,18,long,long_weak_session(long 약한 세션),soft firewall stress label only(소프트 방화벽 압박 라벨 전용),entry hour and side are known at decision time(진입 시간과 방향은 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-02-07,2026-03-13,286,25,0.0874125874,95.77,129.19,-33.42,3.865649312,3.8308,56.0,0,25,0.0,1.0,6.0,6,9.221029,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,18,short,short_positive_restore_candidate(숏 양수 복원 후보),short router expansion seed(숏 라우터 확장 씨앗),entry hour and side are known at decision time(진입 시간과 방향은 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-01-02,2026-04-13,333,126,0.3783783784,-6.87,289.76,-296.63,0.976839834,-0.054524,51.587302,126,0,1.0,0.0,6.0,23,11.550744,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,19,long,long_weak_session(long 약한 세션),soft firewall stress label only(소프트 방화벽 압박 라벨 전용),entry hour and side are known at decision time(진입 시간과 방향은 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-01-02,2026-03-23,318,17,0.0534591195,13.61,76.86,-63.25,1.215177866,0.800588,58.823529,0,17,0.0,1.0,6.0,6,14.416839,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,19,short,short_positive_restore_candidate(숏 양수 복원 후보),short router expansion seed(숏 라우터 확장 씨앗),entry hour and side are known at decision time(진입 시간과 방향은 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-01-02,2026-04-10,332,114,0.343373494,204.63,413.67,-209.04,1.978903559,1.795,54.385965,114,0,1.0,0.0,6.0,247,13.187652,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,20,long,long_usable_session(long 사용 가능 세션),control slice(대조 구간),entry hour and side are known at decision time(진입 시간과 방향은 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-01-02,2026-02-03,284,13,0.0457746479,-29.11,37.42,-66.53,0.562453029,-2.239231,23.076923,0,13,0.0,1.0,6.0,7,5.761284,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,20,short,short_weak_session(short 약한 세션),soft firewall stress label only(소프트 방화벽 압박 라벨 전용),entry hour and side are known at decision time(진입 시간과 방향은 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-01-03,2026-04-09,330,81,0.2454545455,252.69,464.9,-212.21,2.190754441,3.11963,53.08642,81,0,1.0,0.0,7.0,1098,10.751371,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,21,long,long_usable_session(long 사용 가능 세션),control slice(대조 구간),entry hour and side are known at decision time(진입 시간과 방향은 결정 시점에 알려짐)
