run_id,start_date,end_date,business_days_by_trade_span,trade_count,trade_density_per_business_day,net_profit_after_cost,gross_profit_after_cost,gross_loss_after_cost,profit_factor_after_cost,expectancy_after_cost,win_rate_after_cost_percent,long_trade_count,short_trade_count,long_share,short_share,median_hold_m5_calendar,max_hold_m5_calendar,max_closed_balance_drawdown_percent,claim_boundary,slice_id,month,entry_hour,slice_bucket,proposed_use,timestamp_boundary
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-04-08,2025-04-28,15,5,0.3333333333,45.1,48.63,-3.53,13.776203966,9.02,60.0,0,5,0.0,1.0,6.0,6,9.221029,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,short_2025-04_h18,2025-04,18,short_positive_slice(숏 양수 조각),"short restore candidate if positive, stress label otherwise(양수면 숏 복원 후보, 아니면 압박 라벨)",month/hour/side known at entry decision(月/시간/방향은 진입 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2026-02-03,2026-02-26,18,6,0.3333333333,26.77,46.3,-19.53,2.370711726,4.461667,66.666667,0,6,0.0,1.0,6.0,6,2.632919,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,short_2026-02_h17,2026-02,17,short_positive_slice(숏 양수 조각),"short restore candidate if positive, stress label otherwise(양수면 숏 복원 후보, 아니면 압박 라벨)",month/hour/side known at entry decision(月/시간/방향은 진입 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-02-21,2025-02-27,5,2,0.4,25.57,26.11,-0.54,48.351851852,12.785,50.0,0,2,0.0,1.0,516.5,805,3.246968,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,short_2025-02_h21,2025-02,21,short_positive_slice(숏 양수 조각),"short restore candidate if positive, stress label otherwise(양수면 숏 복원 후보, 아니면 압박 라벨)",month/hour/side known at entry decision(月/시간/방향은 진입 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2026-01-02,2026-01-29,20,4,0.2,25.31,31.72,-6.41,4.948517941,6.3275,75.0,0,4,0.0,1.0,6.0,7,4.596854,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,short_2026-01_h17,2026-01,17,short_positive_slice(숏 양수 조각),"short restore candidate if positive, stress label otherwise(양수면 숏 복원 후보, 아니면 압박 라벨)",month/hour/side known at entry decision(月/시간/방향은 진입 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-10-10,2025-10-10,1,2,2.0,22.62,30.08,-7.46,4.032171582,11.31,50.0,0,2,0.0,1.0,6.0,6,0.737045,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,short_2025-10_h18,2025-10,18,short_positive_slice(숏 양수 조각),"short restore candidate if positive, stress label otherwise(양수면 숏 복원 후보, 아니면 압박 라벨)",month/hour/side known at entry decision(月/시간/방향은 진입 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-11-06,2025-11-20,11,3,0.2727272727,18.86,19.08,-0.22,86.727272727,6.286667,33.333333,0,3,0.0,1.0,6.0,6,1.998001,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,short_2025-11_h18,2025-11,18,short_positive_slice(숏 양수 조각),"short restore candidate if positive, stress label otherwise(양수면 숏 복원 후보, 아니면 압박 라벨)",month/hour/side known at entry decision(月/시간/방향은 진입 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-11-06,2025-11-25,14,5,0.3571428571,10.07,13.2,-3.13,4.217252396,2.014,80.0,0,5,0.0,1.0,6.0,6,3.94332,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,short_2025-11_h17,2025-11,17,short_positive_slice(숏 양수 조각),"short restore candidate if positive, stress label otherwise(양수면 숏 복원 후보, 아니면 압박 라벨)",month/hour/side known at entry decision(月/시간/방향은 진입 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2026-03-23,2026-03-23,1,2,2.0,8.71,8.71,0.0,,4.355,100.0,0,2,0.0,1.0,6.0,6,0.0,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,short_2026-03_h19,2026-03,19,short_stress_slice(숏 압박 조각),"short restore candidate if positive, stress label otherwise(양수면 숏 복원 후보, 아니면 압박 라벨)",month/hour/side known at entry decision(月/시간/방향은 진입 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-02-07,2025-02-25,13,2,0.1538461538,8.27,8.27,0.0,,4.135,100.0,0,2,0.0,1.0,6.0,6,2.394533,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,short_2025-02_h18,2025-02,18,short_stress_slice(숏 압박 조각),"short restore candidate if positive, stress label otherwise(양수면 숏 복원 후보, 아니면 압박 라벨)",month/hour/side known at entry decision(月/시간/방향은 진입 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-04-08,2025-04-22,11,3,0.2727272727,8.19,18.53,-10.34,1.792069632,2.73,33.333333,0,3,0.0,1.0,6.0,6,4.637396,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,short_2025-04_h20,2025-04,20,short_positive_slice(숏 양수 조각),"short restore candidate if positive, stress label otherwise(양수면 숏 복원 후보, 아니면 압박 라벨)",month/hour/side known at entry decision(月/시간/방향은 진입 결정 시점에 알려짐)
