run_id,source_run_id,variant_id,source_variant_id,variant_role,open_time,close_time,open_type,direction,volume,open_price,close_price,gross_profit,swap,commission,net_profit,hold_minutes,open_hour,close_hour,close_month,close_date,claim_boundary,source_bucket,p_short,p_flat,p_long,source_reason,open_month,open_month_num,margin_vs_long,margin_vs_flat
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,run364CD_execute_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_ca01_clone_current_session,ca01_bx03_semantics_control,same_session_ca01_clone,2025-01-02T17:00:00,2025-01-02T17:30:00,buy,long,0.1,21139.02,21035.07,-10.4,0.0,0.0,-10.4,30.0,17,17,2025-01,2025-01-02,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,long_threshold,0.3827101886,0.2041354328,0.4131543338,long_threshold_met,2025-01,1,-0.030444145199999995,0.1785747558
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,run364CD_execute_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_ca01_clone_current_session,ca01_bx03_semantics_control,same_session_ca01_clone,2025-01-02T17:35:00,2025-01-02T18:10:00,buy,long,0.1,21012.52,20974.94,-3.76,0.0,0.0,-3.76,35.0,17,18,2025-01,2025-01-02,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,long_threshold,0.3826957643,0.2228299826,0.394474268,long_threshold_met,2025-01,1,-0.011778503699999998,0.15986578170000001
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,run364CD_execute_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_ca01_clone_current_session,ca01_bx03_semantics_control,same_session_ca01_clone,2025-01-02T18:25:00,2025-01-02T18:55:00,buy,long,0.1,21035.64,21052.69,1.71,0.0,0.0,1.71,30.0,18,18,2025-01,2025-01-02,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,long_threshold,0.3807926476,0.2353815734,0.3838257492,long_threshold_met,2025-01,1,-0.003033101600000032,0.1454110742
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,run364CD_execute_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_ca01_clone_current_session,ca01_bx03_semantics_control,same_session_ca01_clone,2025-01-02T19:00:00,2025-01-02T19:30:00,buy,long,0.1,21064.27,20898.19,-16.61,0.0,0.0,-16.61,30.0,19,19,2025-01,2025-01-02,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,long_threshold,0.388086915,0.2170082033,0.3949050307,long_threshold_met,2025-01,1,-0.006818115700000016,0.17107871169999997
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,run364CD_execute_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_ca01_clone_current_session,ca01_bx03_semantics_control,same_session_ca01_clone,2025-01-02T19:45:00,2025-01-02T20:15:00,sell,short,0.1,20796.57,20779.52,1.71,0.0,0.0,1.71,30.0,19,20,2025-01,2025-01-02,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,native_short_threshold,0.4556117952,0.1797973812,0.3645907938,short_threshold_met,2025-01,1,0.09102100140000002,0.275814414
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,run364CD_execute_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_ca01_clone_current_session,ca01_bx03_semantics_control,same_session_ca01_clone,2025-01-02T20:40:00,2025-01-02T20:50:00,sell,short,0.1,20765.82,20773.02,-0.72,0.0,0.0,-0.72,10.0,20,20,2025-01,2025-01-02,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,native_short_threshold,0.4552049339,0.1818209589,0.3629740179,short_threshold_met,2025-01,1,0.092230916,0.273383975
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,run364CD_execute_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_ca01_clone_current_session,ca01_bx03_semantics_control,same_session_ca01_clone,2025-01-02T20:50:00,2025-01-02T21:20:00,buy,long,0.1,20773.02,20824.57,5.16,0.0,0.0,5.16,30.0,20,21,2025-01,2025-01-02,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,long_threshold,0.3657931387,0.2664216757,0.3677851856,long_threshold_met,2025-01,1,-0.0019920468999999885,0.099371463
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,run364CD_execute_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_ca01_clone_current_session,ca01_bx03_semantics_control,same_session_ca01_clone,2025-01-03T16:40:00,2025-01-03T17:10:00,buy,long,0.1,21161.86,21151.91,-1.0,0.0,0.0,-1.0,30.0,16,17,2025-01,2025-01-03,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,long_threshold,0.3620528281,0.2651500702,0.3727970719,long_threshold_met,2025-01,1,-0.010744243799999997,0.09690275790000002
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,run364CD_execute_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_ca01_clone_current_session,ca01_bx03_semantics_control,same_session_ca01_clone,2025-01-03T17:15:00,2025-01-03T17:45:00,buy,long,0.1,21098.24,21123.54,2.53,0.0,0.0,2.53,30.0,17,17,2025-01,2025-01-03,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,long_threshold,0.3541457057,0.244043678,0.4018105865,long_threshold_met,2025-01,1,-0.04766488080000003,0.11010202769999997
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,run364CD_execute_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_ca01_clone_current_session,ca01_bx03_semantics_control,same_session_ca01_clone,2025-01-03T17:50:00,2025-01-03T18:20:00,buy,long,0.1,21124.99,21127.91,0.29,0.0,0.0,0.29,30.0,17,18,2025-01,2025-01-03,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,long_threshold,0.3689465225,0.2443871051,0.3866663873,long_threshold_met,2025-01,1,-0.01771986480000004,0.12455941739999998
