run_id,candidate_id,open_month,trade_count,net_profit,profit_factor,short_trade_count,month_status,claim_boundary
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg09_best_open_hour_overlay_focus,2025-01,88,64.7,1.2865614372,8,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg09_best_open_hour_overlay_focus,2025-02,74,74.23,1.424015748,13,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg09_best_open_hour_overlay_focus,2025-03,8,8.71,1.6674329502,8,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg09_best_open_hour_overlay_focus,2025-04,120,218.63,1.458893934,15,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg09_best_open_hour_overlay_focus,2025-05,75,51.45,1.3389488747,5,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg09_best_open_hour_overlay_focus,2025-06,66,62.31,1.5774139845,0,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg09_best_open_hour_overlay_focus,2025-07,35,4.71,1.0645549318,2,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg09_best_open_hour_overlay_focus,2025-08,47,-1.43,0.98857093,4,bad_month_watch(나쁜 월 관찰),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg09_best_open_hour_overlay_focus,2025-09,51,34.34,1.353037431,1,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg09_best_open_hour_overlay_focus,2025-10,78,32.14,1.1578663529,7,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg09_best_open_hour_overlay_focus,2025-11,83,241.92,2.2262596654,12,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg09_best_open_hour_overlay_focus,2025-12,59,-0.62,0.9961409187,6,bad_month_watch(나쁜 월 관찰),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg09_best_open_hour_overlay_focus,2026-01,82,30.64,1.1690249408,6,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg09_best_open_hour_overlay_focus,2026-02,91,148.14,1.6604059106,13,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg09_best_open_hour_overlay_focus,2026-03,4,8.34,23.5405405405,4,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg09_best_open_hour_overlay_focus,2026-04,46,23.29,1.2319721116,0,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg07_native_short_cost_firewall,2025-01,85,86.26,1.4200596785,5,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
