run_id,candidate_id,net_profit,swap_sum,stress_adjusted_net_swap_haircut_1x,stress_adjusted_net_delta_vs_parent,cost_stress_policy,stress_judgment,effect,claim_boundary
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg09_best_open_hour_overlay_focus,1001.5,-5.14,996.36,-1.13,hour_focus_seed_only,stress_watch(압박 관찰),swap haircut is diagnostic and does not replace MT5 KPI(스왑 헤어컷은 진단이며 MT5 KPI를 대체하지 않음),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg07_native_short_cost_firewall,1071.27,-5.14,1066.13,68.64,native_short_swap_cost_firewall,stress_positive(압박 양호),swap haircut is diagnostic and does not replace MT5 KPI(스왑 헤어컷은 진단이며 MT5 KPI를 대체하지 않음),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg12_trade_shape_quality_no_split,1033.47,-5.14,1028.33,30.84,hold_and_source_quality_guard,stress_positive(압박 양호),swap haircut is diagnostic and does not replace MT5 KPI(스왑 헤어컷은 진단이며 MT5 KPI를 대체하지 않음),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg08_bad_overlay_month_guard_scout,1031.29,-5.14,1026.15,28.66,month_guard_seed_only,stress_positive(압박 양호),swap haircut is diagnostic and does not replace MT5 KPI(스왑 헤어컷은 진단이며 MT5 KPI를 대체하지 않음),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg01_current_session_semantics_anchor,997.49,-5.14,992.35,-5.14,none,stress_watch(압박 관찰),swap haircut is diagnostic and does not replace MT5 KPI(스왑 헤어컷은 진단이며 MT5 KPI를 대체하지 않음),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg10_gross_net_swap_layered_score,997.49,-5.14,992.35,-5.14,swap_haircut_1x,stress_watch(압박 관찰),swap haircut is diagnostic and does not replace MT5 KPI(스왑 헤어컷은 진단이며 MT5 KPI를 대체하지 않음),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg11_short_balance_floor_guard,997.49,-5.14,992.35,-5.14,short_balance_guard,stress_watch(압박 관찰),swap haircut is diagnostic and does not replace MT5 KPI(스왑 헤어컷은 진단이며 MT5 KPI를 대체하지 않음),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg02_h17_overlay_loose_margin_floor,934.33,-5.14,929.19,-68.3,none,stress_watch(압박 관찰),swap haircut is diagnostic and does not replace MT5 KPI(스왑 헤어컷은 진단이며 MT5 KPI를 대체하지 않음),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg03_h17_overlay_mid_margin_floor,923.49,-5.14,918.35,-79.14,none,stress_watch(압박 관찰),swap haircut is diagnostic and does not replace MT5 KPI(스왑 헤어컷은 진단이며 MT5 KPI를 대체하지 않음),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg04_h17_overlay_strict_margin_floor,912.52,-5.14,907.38,-90.11,none,stress_watch(압박 관찰),swap haircut is diagnostic and does not replace MT5 KPI(스왑 헤어컷은 진단이며 MT5 KPI를 대체하지 않음),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg06_overlay_only_extreme_stress,940.32,-3.54,936.78,-60.71,native_short_deprioritized,stress_watch(압박 관찰),swap haircut is diagnostic and does not replace MT5 KPI(스왑 헤어컷은 진단이며 MT5 KPI를 대체하지 않음),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg05_overlay_off_native_short_control,956.4,-5.14,951.26,-46.23,overlay_off,stress_watch(압박 관찰),swap haircut is diagnostic and does not replace MT5 KPI(스왑 헤어컷은 진단이며 MT5 KPI를 대체하지 않음),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
