run_id,stage_id,report_view,split_scope,tier_scope,route_role,status,n_a_reason,source_authority,report_path,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,max_drawdown,recovery_factor,first_close_time,last_close_time,long_trade_count,short_trade_count
run14B_gam_runtime_handoff_probe_v1,20_model_family_challenge__gam_additive_smooth_shape,routed_oos,oos,Tier A+B,actual_routed_total,completed,,mt5_strategy_tester_report,stages/20_model_family_challenge__gam_additive_smooth_shape/02_runs/run14B_gam_runtime_handoff_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run14B_gam_runtime_handoff_probe_v1_routed_oos.htm,125,295.69,879.64,-583.95,1.50636,2.36552,0.512,75.76,3.90298,2025-10-01 17:50:00,2026-04-09 16:50:00,19,106
run14B_gam_runtime_handoff_probe_v1,20_model_family_challenge__gam_additive_smooth_shape,routed_validation_is,validation_is,Tier A+B,actual_routed_total,completed,,mt5_strategy_tester_report,stages/20_model_family_challenge__gam_additive_smooth_shape/02_runs/run14B_gam_runtime_handoff_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run14B_gam_runtime_handoff_probe_v1_routed_validation_is.htm,211,8.65,1195.02,-1186.37,1.00729,0.040995,0.488152,259.22,0.033369,2025-01-02 17:35:00,2025-09-30 17:35:00,71,140
run14B_gam_runtime_handoff_probe_v1,20_model_family_challenge__gam_additive_smooth_shape,actual_full_period_single_report,actual_full_period,Tier A+B,actual_full_period_single_report,source_artifact_missing,source_artifact_missing,mt5_strategy_tester_report,,,,,,,,,,,,,,
run15B_elasticnet_logistic_onnx_runtime_probe_v1,21_model_family_challenge__elasticnet_logistic_linear_sanity,routed_oos,oos,Tier A+B,actual_routed_total,completed,,mt5_strategy_tester_report,stages/21_model_family_challenge__elasticnet_logistic_linear_sanity/02_runs/run15B_elasticnet_logistic_onnx_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run15B_elasticnet_logistic_onnx_runtime_probe_v1_routed_oos.htm,130,-49.77,718.05,-767.82,0.93518,-0.382846,0.530769,131.37,-0.378854,2025-10-01 17:50:00,2026-04-08 17:40:00,52,78
run15B_elasticnet_logistic_onnx_runtime_probe_v1,21_model_family_challenge__elasticnet_logistic_linear_sanity,routed_validation_is,validation_is,Tier A+B,actual_routed_total,completed,,mt5_strategy_tester_report,stages/21_model_family_challenge__elasticnet_logistic_linear_sanity/02_runs/run15B_elasticnet_logistic_onnx_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run15B_elasticnet_logistic_onnx_runtime_probe_v1_routed_validation_is.htm,173,-113.11,1044.58,-1157.69,0.902297,-0.653815,0.479769,194.65,-0.581094,2025-01-02 16:50:00,2025-09-30 17:35:00,83,90
run15B_elasticnet_logistic_onnx_runtime_probe_v1,21_model_family_challenge__elasticnet_logistic_linear_sanity,actual_full_period_single_report,actual_full_period,Tier A+B,actual_full_period_single_report,source_artifact_missing,source_artifact_missing,mt5_strategy_tester_report,,,,,,,,,,,,,,
run16B_hmm_state_runtime_probe_v1,22_regime_model__hmm_hidden_state_segmentation,routed_oos,oos,Tier A+B,actual_routed_total,completed,,mt5_strategy_tester_report,stages/22_regime_model__hmm_hidden_state_segmentation/02_runs/run16B_hmm_state_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run16B_hmm_state_runtime_probe_v1_routed_oos.htm,562,121.96,2538.44,-2416.48,1.05047,0.217011,0.535587,294.04,0.414774,2025-10-01 17:35:00,2026-04-13 20:50:00,562,0
run16B_hmm_state_runtime_probe_v1,22_regime_model__hmm_hidden_state_segmentation,routed_validation_is,validation_is,Tier A+B,actual_routed_total,completed,,mt5_strategy_tester_report,stages/22_regime_model__hmm_hidden_state_segmentation/02_runs/run16B_hmm_state_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run16B_hmm_state_runtime_probe_v1_routed_validation_is.htm,279,-497.25,1087.32,-1584.57,0.686192,-1.78226,0.483871,598.56,-0.830744,2025-01-02 17:35:00,2025-04-07 01:01:05,279,0
run16B_hmm_state_runtime_probe_v1,22_regime_model__hmm_hidden_state_segmentation,actual_full_period_single_report,actual_full_period,Tier A+B,actual_full_period_single_report,source_artifact_missing,source_artifact_missing,mt5_strategy_tester_report,,,,,,,,,,,,,,
run17B_supervised_regime_classifier_runtime_probe_v1,23_regime_model__supervised_regime_classifier_filter,routed_oos,oos,Tier A+B,actual_routed_total,completed,,mt5_strategy_tester_report,stages/23_regime_model__supervised_regime_classifier_filter/02_runs/run17B_supervised_regime_classifier_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run17B_supervised_regime_classifier_runtime_probe_v1_routed_oos.htm,345,254.63,1618.64,-1364.01,1.18668,0.738058,0.513043,140.45,1.81296,2025-10-01 17:35:00,2026-04-13 17:50:00,128,217
run17B_supervised_regime_classifier_runtime_probe_v1,23_regime_model__supervised_regime_classifier_filter,routed_validation_is,validation_is,Tier A+B,actual_routed_total,completed,,mt5_strategy_tester_report,stages/23_regime_model__supervised_regime_classifier_filter/02_runs/run17B_supervised_regime_classifier_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run17B_supervised_regime_classifier_runtime_probe_v1_routed_validation_is.htm,476,324.75,2362.77,-2038.02,1.15935,0.682248,0.483193,285.85,1.13609,2025-01-02 16:55:00,2025-09-30 17:35:00,189,287
run17B_supervised_regime_classifier_runtime_probe_v1,23_regime_model__supervised_regime_classifier_filter,actual_full_period_single_report,actual_full_period,Tier A+B,actual_full_period_single_report,source_artifact_missing,source_artifact_missing,mt5_strategy_tester_report,,,,,,,,,,,,,,
run18B_survival_time_to_event_runtime_probe_v1,24_exit_model__survival_time_to_event_hold_shape,routed_oos,oos,Tier A+B,actual_routed_total,completed,,mt5_strategy_tester_report,stages/24_exit_model__survival_time_to_event_hold_shape/02_runs/run18B_survival_time_to_event_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run18B_survival_time_to_event_runtime_probe_v1_routed_oos.htm,1100,-98.54,708.78,-807.32,0.877942,-0.089582,0.469091,133.22,-0.739679,2025-10-01 17:10:00,2026-04-13 22:00:00,614,486
run18B_survival_time_to_event_runtime_probe_v1,24_exit_model__survival_time_to_event_hold_shape,routed_validation_is,validation_is,Tier A+B,actual_routed_total,completed,,mt5_strategy_tester_report,stages/24_exit_model__survival_time_to_event_hold_shape/02_runs/run18B_survival_time_to_event_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run18B_survival_time_to_event_runtime_probe_v1_routed_validation_is.htm,2195,-157.74,1441.63,-1599.37,0.901374,-0.071863,0.427335,309.65,-0.509414,2025-01-03 18:35:00,2025-09-30 21:55:00,1211,984
run18B_survival_time_to_event_runtime_probe_v1,24_exit_model__survival_time_to_event_hold_shape,actual_full_period_single_report,actual_full_period,Tier A+B,actual_full_period_single_report,source_artifact_missing,source_artifact_missing,mt5_strategy_tester_report,,,,,,,,,,,,,,
run19B_hazard_trade_lifecycle_runtime_probe_v1,25_exit_model__hazard_trade_lifecycle_risk,routed_oos,oos,Tier A+B,actual_routed_total,completed,,mt5_strategy_tester_report,stages/25_exit_model__hazard_trade_lifecycle_risk/02_runs/run19B_hazard_trade_lifecycle_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run19B_hazard_trade_lifecycle_runtime_probe_v1_routed_oos.htm,1210,-174.49,825.55,-1000.04,0.825517,-0.144207,0.466116,203.23,-0.858584,2025-10-01 17:10:00,2026-04-13 20:25:00,660,550
run19B_hazard_trade_lifecycle_runtime_probe_v1,25_exit_model__hazard_trade_lifecycle_risk,routed_validation_is,validation_is,Tier A+B,actual_routed_total,completed,,mt5_strategy_tester_report,stages/25_exit_model__hazard_trade_lifecycle_risk/02_runs/run19B_hazard_trade_lifecycle_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run19B_hazard_trade_lifecycle_runtime_probe_v1_routed_validation_is.htm,2145,-89.59,1457.05,-1546.64,0.942074,-0.041767,0.43683,170.89,-0.524255,2025-01-03 18:40:00,2025-09-30 21:50:00,1166,979
