run_id,stage_id,report_view,split_scope,tier_scope,parse_status,deal_count,trade_count,first_close_time,last_close_time,average_position_holding_bars,report_path,n_a_reason
run14B_gam_runtime_handoff_probe_v1,20_model_family_challenge__gam_additive_smooth_shape,routed_oos,oos,Tier A+B,parsed,250,125,2025-10-01 17:50:00,2026-04-09 16:50:00,20.28,stages/20_model_family_challenge__gam_additive_smooth_shape/02_runs/run14B_gam_runtime_handoff_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run14B_gam_runtime_handoff_probe_v1_routed_oos.htm,
run14B_gam_runtime_handoff_probe_v1,20_model_family_challenge__gam_additive_smooth_shape,routed_validation_is,validation_is,Tier A+B,parsed,422,211,2025-01-02 17:35:00,2025-09-30 17:35:00,30.8133,stages/20_model_family_challenge__gam_additive_smooth_shape/02_runs/run14B_gam_runtime_handoff_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run14B_gam_runtime_handoff_probe_v1_routed_validation_is.htm,
run15B_elasticnet_logistic_onnx_runtime_probe_v1,21_model_family_challenge__elasticnet_logistic_linear_sanity,routed_oos,oos,Tier A+B,parsed,260,130,2025-10-01 17:50:00,2026-04-08 17:40:00,31.7433,stages/21_model_family_challenge__elasticnet_logistic_linear_sanity/02_runs/run15B_elasticnet_logistic_onnx_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run15B_elasticnet_logistic_onnx_runtime_probe_v1_routed_oos.htm,
run15B_elasticnet_logistic_onnx_runtime_probe_v1,21_model_family_challenge__elasticnet_logistic_linear_sanity,routed_validation_is,validation_is,Tier A+B,parsed,346,173,2025-01-02 16:50:00,2025-09-30 17:35:00,34.1667,stages/21_model_family_challenge__elasticnet_logistic_linear_sanity/02_runs/run15B_elasticnet_logistic_onnx_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run15B_elasticnet_logistic_onnx_runtime_probe_v1_routed_validation_is.htm,
run16B_hmm_state_runtime_probe_v1,22_regime_model__hmm_hidden_state_segmentation,routed_oos,oos,Tier A+B,parsed,1124,562,2025-10-01 17:35:00,2026-04-13 20:50:00,46.9733,stages/22_regime_model__hmm_hidden_state_segmentation/02_runs/run16B_hmm_state_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run16B_hmm_state_runtime_probe_v1_routed_oos.htm,
run16B_hmm_state_runtime_probe_v1,22_regime_model__hmm_hidden_state_segmentation,routed_validation_is,validation_is,Tier A+B,parsed,558,279,2025-01-02 17:35:00,2025-04-07 01:01:05,45.5267,stages/22_regime_model__hmm_hidden_state_segmentation/02_runs/run16B_hmm_state_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run16B_hmm_state_runtime_probe_v1_routed_validation_is.htm,
run17B_supervised_regime_classifier_runtime_probe_v1,23_regime_model__supervised_regime_classifier_filter,routed_oos,oos,Tier A+B,parsed,690,345,2025-10-01 17:35:00,2026-04-13 17:50:00,16.0833,stages/23_regime_model__supervised_regime_classifier_filter/02_runs/run17B_supervised_regime_classifier_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run17B_supervised_regime_classifier_runtime_probe_v1_routed_oos.htm,
run17B_supervised_regime_classifier_runtime_probe_v1,23_regime_model__supervised_regime_classifier_filter,routed_validation_is,validation_is,Tier A+B,parsed,952,476,2025-01-02 16:55:00,2025-09-30 17:35:00,23.7467,stages/23_regime_model__supervised_regime_classifier_filter/02_runs/run17B_supervised_regime_classifier_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run17B_supervised_regime_classifier_runtime_probe_v1_routed_validation_is.htm,
run18B_survival_time_to_event_runtime_probe_v1,24_exit_model__survival_time_to_event_hold_shape,routed_oos,oos,Tier A+B,parsed,2200,1100,2025-10-01 17:10:00,2026-04-13 22:00:00,3.77333,stages/24_exit_model__survival_time_to_event_hold_shape/02_runs/run18B_survival_time_to_event_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run18B_survival_time_to_event_runtime_probe_v1_routed_oos.htm,
run18B_survival_time_to_event_runtime_probe_v1,24_exit_model__survival_time_to_event_hold_shape,routed_validation_is,validation_is,Tier A+B,parsed,4390,2195,2025-01-03 18:35:00,2025-09-30 21:55:00,5.07333,stages/24_exit_model__survival_time_to_event_hold_shape/02_runs/run18B_survival_time_to_event_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run18B_survival_time_to_event_runtime_probe_v1_routed_validation_is.htm,
