run_id,stage_id,has_routed_validation_is,has_routed_oos,has_tier_a_only_validation_is,has_tier_a_only_oos,has_tier_b_fallback_only_validation_is,has_tier_b_fallback_only_oos,has_actual_full_period_single_report,parsed_report_rows,month_rows,quarter_rows,rolling3_rows,status,missing_reason
run14B_gam_runtime_handoff_probe_v1,20_model_family_challenge__gam_additive_smooth_shape,true,true,false,false,false,false,false,2,16,6,16,completed_with_actual_full_period_report_missing,source_artifact_missing
run15B_elasticnet_logistic_onnx_runtime_probe_v1,21_model_family_challenge__elasticnet_logistic_linear_sanity,true,true,false,false,false,false,false,2,16,6,16,completed_with_actual_full_period_report_missing,source_artifact_missing
run16B_hmm_state_runtime_probe_v1,22_regime_model__hmm_hidden_state_segmentation,true,true,false,false,false,false,false,2,11,5,11,completed_with_actual_full_period_report_missing,source_artifact_missing
run17B_supervised_regime_classifier_runtime_probe_v1,23_regime_model__supervised_regime_classifier_filter,true,true,false,false,false,false,false,2,16,6,16,completed_with_actual_full_period_report_missing,source_artifact_missing
run18B_survival_time_to_event_runtime_probe_v1,24_exit_model__survival_time_to_event_hold_shape,true,true,false,false,false,false,false,2,16,6,16,completed_with_actual_full_period_report_missing,source_artifact_missing
run19B_hazard_trade_lifecycle_runtime_probe_v1,25_exit_model__hazard_trade_lifecycle_risk,true,true,false,false,false,false,false,2,16,6,16,completed_with_actual_full_period_report_missing,source_artifact_missing
run20B_ngboost_distribution_runtime_probe_v1,26_model_family_challenge__ngboost_probabilistic_distribution_shape,true,true,false,false,false,false,false,2,10,5,10,completed_with_actual_full_period_report_missing,source_artifact_missing
run21B_quantile_boosting_tail_risk_runtime_probe_v1,27_tail_model__quantile_boosting_risk_surface,true,true,false,false,false,false,false,2,16,6,16,completed_with_actual_full_period_report_missing,source_artifact_missing
run22B_markov_regression_state_runtime_probe_v1,28_regime_model__markov_switching_regression_state_link,true,true,true,true,true,true,false,6,46,17,46,completed_with_actual_full_period_report_missing,source_artifact_missing
run23B_river_online_drift_runtime_probe_v1,29_adaptive_model__river_online_drift_learning,true,true,true,true,true,true,false,6,48,18,48,completed_with_actual_full_period_report_missing,source_artifact_missing
run24B_probability_calibration_abstention_runtime_probe_v1,30_decision_layer__probability_calibration_abstention,true,true,true,true,true,true,false,6,47,17,47,completed_with_actual_full_period_report_missing,source_artifact_missing
run25B_tabnet_attentive_tabular_runtime_probe_v1,31_model_family_challenge__tabnet_attentive_tabular_scout,true,true,true,true,true,true,false,6,48,18,48,completed_with_actual_full_period_report_missing,source_artifact_missing
run26B_tcn_temporal_convolution_runtime_probe_v1,32_sequence_model__tcn_temporal_convolution_context,true,true,true,true,true,true,false,6,48,18,48,completed_with_actual_full_period_report_missing,source_artifact_missing
run23D_river_native_online_runtime_probe_v1,29_adaptive_model__river_online_drift_learning,true,true,true,true,true,true,false,6,48,18,48,completed_with_actual_full_period_report_missing,source_artifact_missing
run24D_native_source_calibration_runtime_probe_v1,30_decision_layer__probability_calibration_abstention,true,true,true,true,true,true,false,6,11,7,11,completed_with_actual_full_period_report_missing,source_artifact_missing
run26D_torch_tcn_native_temporal_runtime_probe_v1,32_sequence_model__tcn_temporal_convolution_context,true,true,true,true,true,true,false,6,48,18,48,completed_with_actual_full_period_report_missing,source_artifact_missing
run25D_tabnet_native_attentive_runtime_probe_v1,31_model_family_challenge__tabnet_attentive_tabular_scout,true,true,true,true,true,true,false,6,38,16,38,completed_with_actual_full_period_report_missing,source_artifact_missing
