run_id,stage_id,artifact_role,report_view,split_scope,tier_scope,availability,status,n_a_reason,path,sha256_lf_normalized,bytes,notes
run14B_gam_runtime_handoff_probe_v1,20_model_family_challenge__gam_additive_smooth_shape,mt5_strategy_tester_report,routed_oos,oos,Tier A+B,tracked_ignored_with_durable_manifest,completed,,stages/20_model_family_challenge__gam_additive_smooth_shape/02_runs/run14B_gam_runtime_handoff_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run14B_gam_runtime_handoff_probe_v1_routed_oos.htm,d1d224a828d3c05432b7eccc3ffc67274841d5b595cfb390d44e7ea3dbf8b38e,298688,headline authority is MT5 report; time segments are recomputed from parsed MT5 deals
run14B_gam_runtime_handoff_probe_v1,20_model_family_challenge__gam_additive_smooth_shape,mt5_strategy_tester_report,routed_validation_is,validation_is,Tier A+B,tracked_ignored_with_durable_manifest,completed,,stages/20_model_family_challenge__gam_additive_smooth_shape/02_runs/run14B_gam_runtime_handoff_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run14B_gam_runtime_handoff_probe_v1_routed_validation_is.htm,b21bb09c7fe229e8299df6ef2ccca1aa047d8444b0a16d91efc7d7e7a99d33bb,477088,headline authority is MT5 report; time segments are recomputed from parsed MT5 deals
run14B_gam_runtime_handoff_probe_v1,20_model_family_challenge__gam_additive_smooth_shape,actual_full_period_single_mt5_report,actual_full_period_single_report,actual_full_period,Tier A+B,missing,source_artifact_missing,source_artifact_missing,,,,"validation and OOS split reports exist, but one actual full-period tester report is missing"
run15B_elasticnet_logistic_onnx_runtime_probe_v1,21_model_family_challenge__elasticnet_logistic_linear_sanity,mt5_strategy_tester_report,routed_oos,oos,Tier A+B,tracked_ignored_with_durable_manifest,completed,,stages/21_model_family_challenge__elasticnet_logistic_linear_sanity/02_runs/run15B_elasticnet_logistic_onnx_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run15B_elasticnet_logistic_onnx_runtime_probe_v1_routed_oos.htm,51e55a6c9d4def9ffc79ee695d6054760bdc3f577f659179115132b0ec20c225,309420,headline authority is MT5 report; time segments are recomputed from parsed MT5 deals
run15B_elasticnet_logistic_onnx_runtime_probe_v1,21_model_family_challenge__elasticnet_logistic_linear_sanity,mt5_strategy_tester_report,routed_validation_is,validation_is,Tier A+B,tracked_ignored_with_durable_manifest,completed,,stages/21_model_family_challenge__elasticnet_logistic_linear_sanity/02_runs/run15B_elasticnet_logistic_onnx_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run15B_elasticnet_logistic_onnx_runtime_probe_v1_routed_validation_is.htm,df4c62ae0848d1290564e844320315ce541b24f640fc7681d351752c19cb0e4c,398752,headline authority is MT5 report; time segments are recomputed from parsed MT5 deals
run15B_elasticnet_logistic_onnx_runtime_probe_v1,21_model_family_challenge__elasticnet_logistic_linear_sanity,actual_full_period_single_mt5_report,actual_full_period_single_report,actual_full_period,Tier A+B,missing,source_artifact_missing,source_artifact_missing,,,,"validation and OOS split reports exist, but one actual full-period tester report is missing"
run16B_hmm_state_runtime_probe_v1,22_regime_model__hmm_hidden_state_segmentation,mt5_strategy_tester_report,routed_oos,oos,Tier A+B,tracked_ignored_with_durable_manifest,completed,,stages/22_regime_model__hmm_hidden_state_segmentation/02_runs/run16B_hmm_state_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run16B_hmm_state_runtime_probe_v1_routed_oos.htm,a66c42cddb05bfea1a8d5e21de240a71de8eb059965bfbebdb65607eb86cae1b,1204752,headline authority is MT5 report; time segments are recomputed from parsed MT5 deals
run16B_hmm_state_runtime_probe_v1,22_regime_model__hmm_hidden_state_segmentation,mt5_strategy_tester_report,routed_validation_is,validation_is,Tier A+B,tracked_ignored_with_durable_manifest,completed,,stages/22_regime_model__hmm_hidden_state_segmentation/02_runs/run16B_hmm_state_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run16B_hmm_state_runtime_probe_v1_routed_validation_is.htm,44fe4e1c98df64ae694abb45ff6810e966d0ef5f5401d9b1e4a9c71c1d4727bd,617838,headline authority is MT5 report; time segments are recomputed from parsed MT5 deals
run16B_hmm_state_runtime_probe_v1,22_regime_model__hmm_hidden_state_segmentation,actual_full_period_single_mt5_report,actual_full_period_single_report,actual_full_period,Tier A+B,missing,source_artifact_missing,source_artifact_missing,,,,"validation and OOS split reports exist, but one actual full-period tester report is missing"
run17B_supervised_regime_classifier_runtime_probe_v1,23_regime_model__supervised_regime_classifier_filter,mt5_strategy_tester_report,routed_oos,oos,Tier A+B,tracked_ignored_with_durable_manifest,completed,,stages/23_regime_model__supervised_regime_classifier_filter/02_runs/run17B_supervised_regime_classifier_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run17B_supervised_regime_classifier_runtime_probe_v1_routed_oos.htm,1e5072cdabb80793f08f1c28b026da2cafca1d2c0a2f938162f134fc74e79d92,754942,headline authority is MT5 report; time segments are recomputed from parsed MT5 deals
