attempt_name,artifact_slug,dimension,proxy_expected_value,mt5_runtime_value,difference_proxy_minus_mt5,difference_status,proxy_source,mt5_source,usable_for_runtime_signal_parity,usable_for_forward_pass_fail,runtime_skip_reason,claim_boundary
c56_bal_rf,c56_bal,feature_ready_count,2070,2070,0,matched,independent_python_onnx_inference_from_new_run335K_feature_model_copies,fresh_run335K_runtime_tier_a_telemetry_summary,true,false,feature_csv_timestamp_not_found:2026.05.22 23:55:00,research_development_only_stage335K_independent_proxy_mt5_probe_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal_rf,c56_bal,model_ok_count,2070,2070,0,matched,independent_python_onnx_inference_from_new_run335K_feature_model_copies,fresh_run335K_runtime_tier_a_telemetry_summary,true,false,feature_csv_timestamp_not_found:2026.05.22 23:55:00,research_development_only_stage335K_independent_proxy_mt5_probe_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal_rf,c56_bal,long_count,261,261,0,matched,independent_python_onnx_inference_from_new_run335K_feature_model_copies,fresh_run335K_runtime_tier_a_telemetry_summary,true,false,feature_csv_timestamp_not_found:2026.05.22 23:55:00,research_development_only_stage335K_independent_proxy_mt5_probe_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal_rf,c56_bal,short_count,181,181,0,matched,independent_python_onnx_inference_from_new_run335K_feature_model_copies,fresh_run335K_runtime_tier_a_telemetry_summary,true,false,feature_csv_timestamp_not_found:2026.05.22 23:55:00,research_development_only_stage335K_independent_proxy_mt5_probe_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal_rf,c56_bal,flat_count,1628,1628,0,matched,independent_python_onnx_inference_from_new_run335K_feature_model_copies,fresh_run335K_runtime_tier_a_telemetry_summary,true,false,feature_csv_timestamp_not_found:2026.05.22 23:55:00,research_development_only_stage335K_independent_proxy_mt5_probe_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain_rf,c56_plain,feature_ready_count,2070,2070,0,matched,independent_python_onnx_inference_from_new_run335K_feature_model_copies,fresh_run335K_runtime_tier_a_telemetry_summary,true,false,feature_csv_timestamp_not_found:2026.05.22 23:55:00,research_development_only_stage335K_independent_proxy_mt5_probe_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain_rf,c56_plain,model_ok_count,2070,2070,0,matched,independent_python_onnx_inference_from_new_run335K_feature_model_copies,fresh_run335K_runtime_tier_a_telemetry_summary,true,false,feature_csv_timestamp_not_found:2026.05.22 23:55:00,research_development_only_stage335K_independent_proxy_mt5_probe_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain_rf,c56_plain,long_count,397,397,0,matched,independent_python_onnx_inference_from_new_run335K_feature_model_copies,fresh_run335K_runtime_tier_a_telemetry_summary,true,false,feature_csv_timestamp_not_found:2026.05.22 23:55:00,research_development_only_stage335K_independent_proxy_mt5_probe_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain_rf,c56_plain,short_count,89,89,0,matched,independent_python_onnx_inference_from_new_run335K_feature_model_copies,fresh_run335K_runtime_tier_a_telemetry_summary,true,false,feature_csv_timestamp_not_found:2026.05.22 23:55:00,research_development_only_stage335K_independent_proxy_mt5_probe_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain_rf,c56_plain,flat_count,1584,1584,0,matched,independent_python_onnx_inference_from_new_run335K_feature_model_copies,fresh_run335K_runtime_tier_a_telemetry_summary,true,false,feature_csv_timestamp_not_found:2026.05.22 23:55:00,research_development_only_stage335K_independent_proxy_mt5_probe_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,m48_bal,feature_ready_count,5484,5484,0,matched,independent_python_onnx_inference_from_new_run335K_feature_model_copies,fresh_run335K_runtime_tier_a_telemetry_summary,true,false,feature_csv_timestamp_not_found:2026.05.22 23:40:00,research_development_only_stage335K_independent_proxy_mt5_probe_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,m48_bal,model_ok_count,5484,5484,0,matched,independent_python_onnx_inference_from_new_run335K_feature_model_copies,fresh_run335K_runtime_tier_a_telemetry_summary,true,false,feature_csv_timestamp_not_found:2026.05.22 23:40:00,research_development_only_stage335K_independent_proxy_mt5_probe_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
