run_id,label_id,split,horizon_m5,source,threshold_points,rows,short_count,flat_count,long_count,future_open_missing_rows,timestamp_safety,effect,claim_boundary
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,native_fwd12_contract_label_class,train,12,existing_label_class,,29222,9064,9643,10515,0,feature_timestamp_open_time_joined_to_raw_m5_open_time_exact_future_open_label_no_timezone_conversion,label distribution(라벨 분포)을 분할별로 고정해 future leakage(미래 누수)를 감시한다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,native_fwd12_contract_label_class,validation,12,existing_label_class,,9844,2920,3631,3293,0,feature_timestamp_open_time_joined_to_raw_m5_open_time_exact_future_open_label_no_timezone_conversion,label distribution(라벨 분포)을 분할별로 고정해 future leakage(미래 누수)를 감시한다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,native_fwd12_contract_label_class,oos,12,existing_label_class,,7584,2259,2968,2357,0,feature_timestamp_open_time_joined_to_raw_m5_open_time_exact_future_open_label_no_timezone_conversion,label distribution(라벨 분포)을 분할별로 고정해 future leakage(미래 누수)를 감시한다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,dense_h6_move3pts,train,6,raw_open_move_threshold,3.0,29222,12688,2113,14421,0,feature_timestamp_open_time_joined_to_raw_m5_open_time_exact_future_open_label_no_timezone_conversion,label distribution(라벨 분포)을 분할별로 고정해 future leakage(미래 누수)를 감시한다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,dense_h6_move3pts,validation,6,raw_open_move_threshold,3.0,9844,4412,605,4827,0,feature_timestamp_open_time_joined_to_raw_m5_open_time_exact_future_open_label_no_timezone_conversion,label distribution(라벨 분포)을 분할별로 고정해 future leakage(미래 누수)를 감시한다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,dense_h6_move3pts,oos,6,raw_open_move_threshold,3.0,7584,3462,405,3717,0,feature_timestamp_open_time_joined_to_raw_m5_open_time_exact_future_open_label_no_timezone_conversion,label distribution(라벨 분포)을 분할별로 고정해 future leakage(미래 누수)를 감시한다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,dense_h12_move5pts,train,12,raw_open_move_threshold,5.0,29222,12449,2464,14309,0,feature_timestamp_open_time_joined_to_raw_m5_open_time_exact_future_open_label_no_timezone_conversion,label distribution(라벨 분포)을 분할별로 고정해 future leakage(미래 누수)를 감시한다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,dense_h12_move5pts,validation,12,raw_open_move_threshold,5.0,9844,4312,656,4876,0,feature_timestamp_open_time_joined_to_raw_m5_open_time_exact_future_open_label_no_timezone_conversion,label distribution(라벨 분포)을 분할별로 고정해 future leakage(미래 누수)를 감시한다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,dense_h12_move5pts,oos,12,raw_open_move_threshold,5.0,7584,3375,511,3698,0,feature_timestamp_open_time_joined_to_raw_m5_open_time_exact_future_open_label_no_timezone_conversion,label distribution(라벨 분포)을 분할별로 고정해 future leakage(미래 누수)를 감시한다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,dense_h24_move8pts,train,24,raw_open_move_threshold,8.0,28656,11612,2979,14065,566,feature_timestamp_open_time_joined_to_raw_m5_open_time_exact_future_open_label_no_timezone_conversion,label distribution(라벨 분포)을 분할별로 고정해 future leakage(미래 누수)를 감시한다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
