run_id,model_id,base_model_id,feature_set_id,label_id,horizon_m5,feature_count,train_rows,validation_rows,oos_rows,train_class_count,validation_accuracy,oos_accuracy,validation_balanced_accuracy,oos_balanced_accuracy,fit_seconds,status,effect,claim_boundary
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__lr_balanced_c0_40,lr_balanced_c0_40,all58,native_fwd12_contract_label_class,12,58,29222,9844,7584,3,0.4446363267,0.4516086498,0.4318856859,0.4371641882,1.605658,trained,model score(모델 점수)는 threshold proxy(임계값 프록시)를 해석하기 위한 보조 근거다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth4_leaf120_n48,rf_depth4_leaf120_n48,all58,native_fwd12_contract_label_class,12,58,29222,9844,7584,3,0.4363063795,0.4691455696,0.4277567654,0.4584570233,1.024385,trained,model score(모델 점수)는 threshold proxy(임계값 프록시)를 해석하기 위한 보조 근거다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth5_leaf80_n48,rf_depth5_leaf80_n48,all58,native_fwd12_contract_label_class,12,58,29222,9844,7584,3,0.4444331573,0.4562236287,0.434068151,0.4451206141,1.066378,trained,model score(모델 점수)는 threshold proxy(임계값 프록시)를 해석하기 위한 보조 근거다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__dense_h6_move3pts__lr_balanced_c0_40,lr_balanced_c0_40,all58,dense_h6_move3pts,6,58,29222,9844,7584,3,0.3752539618,0.4148206751,0.3878814189,0.4089841352,0.979236,trained,model score(모델 점수)는 threshold proxy(임계값 프록시)를 해석하기 위한 보조 근거다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__dense_h6_move3pts__rf_depth4_leaf120_n48,rf_depth4_leaf120_n48,all58,dense_h6_move3pts,6,58,29222,9844,7584,3,0.34488013,0.3660337553,0.3985258231,0.4159594353,1.048015,trained,model score(모델 점수)는 threshold proxy(임계값 프록시)를 해석하기 위한 보조 근거다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__dense_h6_move3pts__rf_depth5_leaf80_n48,rf_depth5_leaf80_n48,all58,dense_h6_move3pts,6,58,29222,9844,7584,3,0.34853718,0.3751318565,0.3953857755,0.4209516432,0.993644,trained,model score(모델 점수)는 threshold proxy(임계값 프록시)를 해석하기 위한 보조 근거다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__dense_h12_move5pts__lr_balanced_c0_40,lr_balanced_c0_40,all58,dense_h12_move5pts,12,58,29222,9844,7584,3,0.3876472978,0.4398734177,0.3888403112,0.4213552376,2.501233,trained,model score(모델 점수)는 threshold proxy(임계값 프록시)를 해석하기 위한 보조 근거다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__dense_h12_move5pts__rf_depth4_leaf120_n48,rf_depth4_leaf120_n48,all58,dense_h12_move5pts,12,58,29222,9844,7584,3,0.3530069078,0.3937236287,0.400732233,0.4309505331,1.30794,trained,model score(모델 점수)는 threshold proxy(임계값 프록시)를 해석하기 위한 보조 근거다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__dense_h12_move5pts__rf_depth5_leaf80_n48,rf_depth5_leaf80_n48,all58,dense_h12_move5pts,12,58,29222,9844,7584,3,0.3628606258,0.4034810127,0.3968357434,0.4280278447,1.034932,trained,model score(모델 점수)는 threshold proxy(임계값 프록시)를 해석하기 위한 보조 근거다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__dense_h24_move8pts__lr_balanced_c0_40,lr_balanced_c0_40,all58,dense_h24_move8pts,24,58,28656,9678,7480,3,0.3783839636,0.4355614973,0.3545474927,0.3702329375,1.521704,trained,model score(모델 점수)는 threshold proxy(임계값 프록시)를 해석하기 위한 보조 근거다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__dense_h24_move8pts__rf_depth4_leaf120_n48,rf_depth4_leaf120_n48,all58,dense_h24_move8pts,24,58,28656,9678,7480,3,0.3536887787,0.3919786096,0.4018815756,0.3945143545,0.785604,trained,model score(모델 점수)는 threshold proxy(임계값 프록시)를 해석하기 위한 보조 근거다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__dense_h24_move8pts__rf_depth5_leaf80_n48,rf_depth5_leaf80_n48,all58,dense_h24_move8pts,24,58,28656,9678,7480,3,0.3597850796,0.4172459893,0.3986340354,0.405355381,0.899657,trained,model score(모델 점수)는 threshold proxy(임계값 프록시)를 해석하기 위한 보조 근거다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,runtime_core__dense_h6_move3pts__lr_balanced_c0_40,lr_balanced_c0_40,runtime_core,dense_h6_move3pts,6,42,29222,9844,7584,3,0.3769809021,0.4268196203,0.3910532148,0.4155590391,0.498913,trained,model score(모델 점수)는 threshold proxy(임계값 프록시)를 해석하기 위한 보조 근거다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,runtime_core__dense_h6_move3pts__rf_depth4_leaf120_n48,rf_depth4_leaf120_n48,runtime_core,dense_h6_move3pts,6,42,29222,9844,7584,3,0.3466070703,0.3822521097,0.3990254805,0.4181365864,0.725258,trained,model score(모델 점수)는 threshold proxy(임계값 프록시)를 해석하기 위한 보조 근거다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,runtime_core__dense_h12_move5pts__lr_balanced_c0_40,lr_balanced_c0_40,runtime_core,dense_h12_move5pts,12,42,29222,9844,7584,3,0.3893742381,0.440664557,0.3913648487,0.4163073612,0.830589,trained,model score(모델 점수)는 threshold proxy(임계값 프록시)를 해석하기 위한 보조 근거다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,runtime_core__dense_h12_move5pts__rf_depth4_leaf120_n48,rf_depth4_leaf120_n48,runtime_core,dense_h12_move5pts,12,42,29222,9844,7584,3,0.3615400244,0.4018987342,0.4024915372,0.4305981856,0.919818,trained,model score(모델 점수)는 threshold proxy(임계값 프록시)를 해석하기 위한 보조 근거다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
