run_id,model_id,artifact_type,path,sha256,feature_set_id,feature_count,status,claim_boundary
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__lr_balanced_c0_40,joblib_model,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364J/models/all58__native_fwd12_contract_label_class__lr_balanced_c0_40.joblib,7dfd731e8b6b55ecde26b4ca9be04322bda3ce7365666a20d907ac988e30ddcd,all58,58,written,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__lr_balanced_c0_40,feature_order,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364J/models/all58__native_fwd12_contract_label_class__lr_balanced_c0_40_feature_order.json,b7626eba6625861aee528d720e61e0376d3f9f8415ce3042aaa7bfeb379a2a5d,all58,58,written,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__lr_balanced_c0_40,onnx_model,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364J/onnx/all58__native_fwd12_contract_label_class__lr_balanced_c0_40.onnx,7a89c852d9c63b6271e6fca05f59e3d94948c7da829dc4bb2a24c7120095422f,all58,58,written,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth4_leaf120_n48,joblib_model,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364J/models/all58__native_fwd12_contract_label_class__rf_depth4_leaf120_n48.joblib,4084dc1fccc9b91b176eef66752a718a6c3db7df19247a69e45344cad31f0161,all58,58,written,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth4_leaf120_n48,feature_order,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364J/models/all58__native_fwd12_contract_label_class__rf_depth4_leaf120_n48_feature_order.json,efe2f909ed79bbd83edf748a871ac21d1fdc8623a156f35936dc52bf726d45ab,all58,58,written,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth4_leaf120_n48,onnx_model,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364J/onnx/all58__native_fwd12_contract_label_class__rf_depth4_leaf120_n48.onnx,f74cbb3cc2365bd00dea7e24042a599e073d904c32f246cefad78474f43b4a28,all58,58,written,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth5_leaf80_n48,joblib_model,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364J/models/all58__native_fwd12_contract_label_class__rf_depth5_leaf80_n48.joblib,5e8816ec69d87b2d9873546fd9a7d45594248656cb70f57569eb4d34b0229a7d,all58,58,written,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth5_leaf80_n48,feature_order,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364J/models/all58__native_fwd12_contract_label_class__rf_depth5_leaf80_n48_feature_order.json,797adf3caa7f2d9935614f5edd7cf0a99d50b77ff89d8c857826cd9d322bbb39,all58,58,written,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth5_leaf80_n48,onnx_model,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364J/onnx/all58__native_fwd12_contract_label_class__rf_depth5_leaf80_n48.onnx,d07a663310834d0294243baf9666528c5120c9d996cdca5222a7b3cca7f5e4b4,all58,58,written,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__dense_h6_move3pts__lr_balanced_c0_40,joblib_model,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364J/models/all58__dense_h6_move3pts__lr_balanced_c0_40.joblib,5e77e14c4701ca943a5024b87a329c41bd94f4478bc38c8cb7bcc3ed7de83132,all58,58,written,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
