run_id,model_id,onnx_path,sample_rows,max_abs_diff,status,failure,effect,claim_boundary
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__lr_balanced_c0_40,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364J/onnx/all58__native_fwd12_contract_label_class__lr_balanced_c0_40.onnx,64,7.3019e-08,passed,,ONNX smoke parity(온엑스 연기 동등성)로 Python probability(Python 확률)와 런타임 입력 의미를 좁게 점검한다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth4_leaf120_n48,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364J/onnx/all58__native_fwd12_contract_label_class__rf_depth4_leaf120_n48.onnx,64,7.4295e-08,passed,,ONNX smoke parity(온엑스 연기 동등성)로 Python probability(Python 확률)와 런타임 입력 의미를 좁게 점검한다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth5_leaf80_n48,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364J/onnx/all58__native_fwd12_contract_label_class__rf_depth5_leaf80_n48.onnx,64,1.14471e-07,passed,,ONNX smoke parity(온엑스 연기 동등성)로 Python probability(Python 확률)와 런타임 입력 의미를 좁게 점검한다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__dense_h6_move3pts__lr_balanced_c0_40,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364J/onnx/all58__dense_h6_move3pts__lr_balanced_c0_40.onnx,64,7.374e-08,passed,,ONNX smoke parity(온엑스 연기 동등성)로 Python probability(Python 확률)와 런타임 입력 의미를 좁게 점검한다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__dense_h6_move3pts__rf_depth4_leaf120_n48,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364J/onnx/all58__dense_h6_move3pts__rf_depth4_leaf120_n48.onnx,64,9.4227e-08,passed,,ONNX smoke parity(온엑스 연기 동등성)로 Python probability(Python 확률)와 런타임 입력 의미를 좁게 점검한다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__dense_h6_move3pts__rf_depth5_leaf80_n48,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364J/onnx/all58__dense_h6_move3pts__rf_depth5_leaf80_n48.onnx,64,1.08992e-07,passed,,ONNX smoke parity(온엑스 연기 동등성)로 Python probability(Python 확률)와 런타임 입력 의미를 좁게 점검한다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__dense_h12_move5pts__lr_balanced_c0_40,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364J/onnx/all58__dense_h12_move5pts__lr_balanced_c0_40.onnx,64,8.1906e-08,passed,,ONNX smoke parity(온엑스 연기 동등성)로 Python probability(Python 확률)와 런타임 입력 의미를 좁게 점검한다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__dense_h12_move5pts__rf_depth4_leaf120_n48,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364J/onnx/all58__dense_h12_move5pts__rf_depth4_leaf120_n48.onnx,64,6.9441e-08,passed,,ONNX smoke parity(온엑스 연기 동등성)로 Python probability(Python 확률)와 런타임 입력 의미를 좁게 점검한다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__dense_h12_move5pts__rf_depth5_leaf80_n48,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364J/onnx/all58__dense_h12_move5pts__rf_depth5_leaf80_n48.onnx,64,8.2152e-08,passed,,ONNX smoke parity(온엑스 연기 동등성)로 Python probability(Python 확률)와 런타임 입력 의미를 좁게 점검한다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__dense_h24_move8pts__lr_balanced_c0_40,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364J/onnx/all58__dense_h24_move8pts__lr_balanced_c0_40.onnx,64,6.3516e-08,passed,,ONNX smoke parity(온엑스 연기 동등성)로 Python probability(Python 확률)와 런타임 입력 의미를 좁게 점검한다.,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
