run_id,model_id,base_model_id,feature_set_id,label_id,horizon_m5,policy_id,threshold_id,validation_density_target,score_threshold,cost_per_trade,point_value,trade_shape,proxy_boundary,validation_trade_count,validation_trade_density,validation_net,validation_profit_factor,validation_expectancy,validation_win_rate,validation_max_drawdown,validation_recovery_factor,validation_long_trade_count,validation_short_trade_count,validation_long_short_balance,oos_trade_count,oos_trade_density,oos_net,oos_profit_factor,oos_expectancy,oos_win_rate,oos_max_drawdown,oos_recovery_factor,oos_long_trade_count,oos_short_trade_count,oos_long_short_balance,claim_boundary,strict_cross_split_success,soft_cross_split_positive,selection_score,onnx_smoke_status
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__lr_balanced_c0_40,lr_balanced_c0_40,all58,native_fwd12_contract_label_class,12,two_sided_argmax_margin,two_sided_argmax_margin__validation_density_3_0,3.0,0.445558755874,0.3,0.1,single_position_fixed_horizon_skip_overlap,raw_m5_open_to_exact_future_open_single_position_fixed_horizon_not_mt5_strategy_tester,93,0.5081967213,-467.906,0.4909544672,-5.0312473118,0.3978494624,-519.759,-0.9002364557,55,38,0.6909090909,54,0.4122137405,-124.267,0.6664447743,-2.3012407407,0.462962963,-159.805,-0.7776164701,27,27,1.0,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,False,False,-288.7574312975,passed
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__lr_balanced_c0_40,lr_balanced_c0_40,all58,native_fwd12_contract_label_class,12,two_sided_argmax_margin,two_sided_argmax_margin__validation_density_5_0,5.0,0.365100456355,0.3,0.1,single_position_fixed_horizon_skip_overlap,raw_m5_open_to_exact_future_open_single_position_fixed_horizon_not_mt5_strategy_tester,155,0.8469945355,-380.933,0.657187108,-2.4576322581,0.4903225806,-486.748,-0.782608249,82,73,0.8902439024,105,0.8015267176,-34.59,0.9438911238,-0.3294285714,0.5238095238,-185.0,-0.186972973,45,60,0.75,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,False,False,-171.208916412,passed
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__lr_balanced_c0_40,lr_balanced_c0_40,all58,native_fwd12_contract_label_class,12,two_sided_argmax_margin,two_sided_argmax_margin__validation_density_8_0,8.0,0.294508810278,0.3,0.1,single_position_fixed_horizon_skip_overlap,raw_m5_open_to_exact_future_open_single_position_fixed_horizon_not_mt5_strategy_tester,225,1.2295081967,-353.622,0.7429338467,-1.5716533333,0.4977777778,-430.121,-0.8221453963,111,114,0.9736842105,169,1.2900763359,20.663,1.0228253101,0.1222662722,0.5147928994,-145.392,0.1421192363,78,91,0.8571428571,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,False,False,-96.9752125375,passed
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__lr_balanced_c0_40,lr_balanced_c0_40,all58,native_fwd12_contract_label_class,12,two_sided_argmax_margin,two_sided_argmax_margin__validation_density_12_0,12.0,0.218352113368,0.3,0.1,single_position_fixed_horizon_skip_overlap,raw_m5_open_to_exact_future_open_single_position_fixed_horizon_not_mt5_strategy_tester,316,1.7267759563,-755.392,0.6094581006,-2.3904810127,0.4272151899,-758.643,-0.9957147169,148,168,0.880952381,254,1.9389312977,-156.755,0.8841145525,-0.6171456693,0.4763779528,-245.948,-0.6373501716,117,137,0.8540145985,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,False,False,-422.5832375265,passed
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__lr_balanced_c0_40,lr_balanced_c0_40,all58,native_fwd12_contract_label_class,12,long_only_margin,long_only_margin__validation_density_3_0,3.0,0.170186240979,0.3,0.1,single_position_fixed_horizon_skip_overlap,raw_m5_open_to_exact_future_open_single_position_fixed_horizon_not_mt5_strategy_tester,87,0.4754098361,-2.561,0.9950309185,-0.0294367816,0.5632183908,-158.264,-0.0161818228,87,0,0.0,82,0.6259541985,152.981,1.5691659753,1.8656219512,0.6097560976,-68.01,2.2493897956,82,0,0.0,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,False,False,218.0735380285,passed
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__lr_balanced_c0_40,lr_balanced_c0_40,all58,native_fwd12_contract_label_class,12,long_only_margin,long_only_margin__validation_density_5_0,5.0,0.118584505251,0.3,0.1,single_position_fixed_horizon_skip_overlap,raw_m5_open_to_exact_future_open_single_position_fixed_horizon_not_mt5_strategy_tester,150,0.8196721311,-127.847,0.8452610774,-0.8523133333,0.5266666667,-218.636,-0.5847481659,150,0,0.0,138,1.0534351145,137.061,1.2782167948,0.9931956522,0.5942028986,-73.905,1.8545565253,138,0,0.0,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,False,False,125.0553409485,passed
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__lr_balanced_c0_40,lr_balanced_c0_40,all58,native_fwd12_contract_label_class,12,long_only_margin,long_only_margin__validation_density_8_0,8.0,0.070234528593,0.3,0.1,single_position_fixed_horizon_skip_overlap,raw_m5_open_to_exact_future_open_single_position_fixed_horizon_not_mt5_strategy_tester,229,1.2513661202,-184.469,0.8431105895,-0.8055414847,0.4890829694,-292.79,-0.6300385942,229,0,0.0,201,1.534351145,98.096,1.13732281,0.488039801,0.5422885572,-115.745,0.8475182513,201,0,0.0,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,False,False,48.422742925,passed
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__lr_balanced_c0_40,lr_balanced_c0_40,all58,native_fwd12_contract_label_class,12,long_only_margin,long_only_margin__validation_density_12_0,12.0,0.025562398809,0.3,0.1,single_position_fixed_horizon_skip_overlap,raw_m5_open_to_exact_future_open_single_position_fixed_horizon_not_mt5_strategy_tester,320,1.7486338798,-76.385,0.9458017558,-0.238703125,0.5125,-302.267,-0.2527070438,320,0,0.0,274,2.0916030534,-42.949,0.9605785135,-0.1567481752,0.5145985401,-143.563,-0.2991648266,274,0,0.0,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,False,False,-70.710774733,passed
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__lr_balanced_c0_40,lr_balanced_c0_40,all58,native_fwd12_contract_label_class,12,short_only_margin,short_only_margin__validation_density_3_0,3.0,0.156814075685,0.3,0.1,single_position_fixed_horizon_skip_overlap,raw_m5_open_to_exact_future_open_single_position_fixed_horizon_not_mt5_strategy_tester,120,0.6557377049,-254.022,0.6271154594,-2.11685,0.4583333333,-324.908,-0.7818274712,0,120,0.0,97,0.7404580153,120.861,1.2345472011,1.2459896907,0.5463917526,-76.95,1.5706432749,0,97,0.0,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,False,False,57.6452542085,passed
run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__lr_balanced_c0_40,lr_balanced_c0_40,all58,native_fwd12_contract_label_class,12,short_only_margin,short_only_margin__validation_density_5_0,5.0,0.110818852012,0.3,0.1,single_position_fixed_horizon_skip_overlap,raw_m5_open_to_exact_future_open_single_position_fixed_horizon_not_mt5_strategy_tester,172,0.9398907104,-113.865,0.8539939605,-0.662005814,0.488372093,-220.737,-0.5158401174,0,172,0.0,141,1.0763358779,56.142,1.0795318357,0.3981702128,0.4822695035,-128.485,0.43695373,0,141,0.0,research_development_direct_dense_m5_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,False,False,20.9359496735,passed
