branch_id,branch_name,payload_path,payload_exists,payload_sha256_manifest,payload_sha256_actual,payload_sha256_match,required_key_count,missing_key_count,missing_keys,schema_status
run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335D/branch_payloads/run335C_b01_cost_spread_slippage_grid_guard.json,true,c53492a0df1a5de639528bb861b83e645509b9490fbc8212943a6c16a7b5db4f,c53492a0df1a5de639528bb861b83e645509b9490fbc8212943a6c16a7b5db4f,true,17,0,[],passed
run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335D/branch_payloads/run335C_b02_curve_noncalendar_state_holdout.json,true,4248759a6ade0986271e4e2a63058b8de7be1ecdb2d923a05de1d62b0c663c09,4248759a6ade0986271e4e2a63058b8de7be1ecdb2d923a05de1d62b0c663c09,true,17,0,[],passed
run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335D/branch_payloads/run335C_b03_direction_symmetry_no_side_drop.json,true,488c797287f6a203ca113ccf106f1dee0ee50c2ed43367680d29bc5404e8cdb0,488c797287f6a203ca113ccf106f1dee0ee50c2ed43367680d29bc5404e8cdb0,true,17,0,[],passed
run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335D/branch_payloads/run335C_b04_drawdown_underwater_recovery_quality.json,true,41a1a8c705b1fce90fc3630cb1027eafb65147e8933fcce2d89e607437863fc7,41a1a8c705b1fce90fc3630cb1027eafb65147e8933fcce2d89e607437863fc7,true,17,0,[],passed
run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335D/branch_payloads/run335C_b05_regime_predeclared_macro_state.json,true,f365b3aad1ecd8be398820df684a6c65e16e2eb75261651c4caa8400a37544af,f365b3aad1ecd8be398820df684a6c65e16e2eb75261651c4caa8400a37544af,true,17,0,[],passed
run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335D/branch_payloads/run335C_b06_runtime_identity_strict_handoff.json,true,c00739a36f6472542dd2310dd096b3db25652541fa105454592f16287705ef43,c00739a36f6472542dd2310dd096b3db25652541fa105454592f16287705ef43,true,17,0,[],passed
run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335D/branch_payloads/run335C_b07_cp322a_exact_blocker_control.json,true,f6333685baaf76681af641921d8b0d049a10b992d52d9adb1688c5c4756a8ff6,f6333685baaf76681af641921d8b0d049a10b992d52d9adb1688c5c4756a8ff6,true,17,0,[],passed
run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335D/branch_payloads/run335C_b08_cost_curve_drawdown_interaction_guard.json,true,d8964e9a50f83d1928bc9b4e7b5f6c5946b89aaa2346a2b68a5547106e3f05b0,d8964e9a50f83d1928bc9b4e7b5f6c5946b89aaa2346a2b68a5547106e3f05b0,true,17,0,[],passed
run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335D/branch_payloads/run335C_b09_regime_direction_interaction_guard.json,true,5cff2728a624a0325ec5ac96723853becf305529f6b55f3ed100397d3ed0b0cd,5cff2728a624a0325ec5ac96723853becf305529f6b55f3ed100397d3ed0b0cd,true,17,0,[],passed
run335C_b10_subject_swap_negative_control,subject_swap_negative_control,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335D/branch_payloads/run335C_b10_subject_swap_negative_control.json,true,ac0c6cc2585c9f9bb0c14c47ae26a97c47045333813a8e9a55eb765db407ecfb,ac0c6cc2585c9f9bb0c14c47ae26a97c47045333813a8e9a55eb765db407ecfb,true,17,0,[],passed
run335C_b11_null_adjacent_period_control,null_adjacent_period_control,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335D/branch_payloads/run335C_b11_null_adjacent_period_control.json,true,746a4d3603fdaf98964f554bb01afe2789dcc2fb746dec10965d4ed4ea5a7392,746a4d3603fdaf98964f554bb01afe2789dcc2fb746dec10965d4ed4ea5a7392,true,17,0,[],passed
