run_id,queue_id,axis_id,queue_type,queue_rank,seed_variant_id,variant_id,short_probability_threshold,long_threshold,min_margin,entry_margin_floor,long_block_feature,long_block_min,max_hold_m5,bridge_policy,bridge_policy_value,materialized_policy,session_policy,side_policy,restore_policy,trade_splitting_status,top_n_status,proxy_boundary(프록시 경계),claim_boundary(주장 경계),validation_trade_count,validation_trade_per_business_day,validation_net_profit,validation_profit_factor,validation_expectancy,validation_max_drawdown,validation_recovery_factor,validation_long_count,validation_short_count,validation_long_short_balance,validation_business_days,oos_trade_count,oos_trade_per_business_day,oos_net_profit,oos_profit_factor,oos_expectancy,oos_max_drawdown,oos_recovery_factor,oos_long_count,oos_short_count,oos_long_short_balance,oos_business_days,combined_trade_count,combined_trade_per_business_day,combined_net_profit,combined_profit_factor,combined_expectancy,combined_max_drawdown,combined_recovery_factor,combined_long_count,combined_short_count,combined_long_short_balance,combined_business_days,net_delta_vs_run364AG_selected,pf_delta_vs_run364AG_selected,dd_delta_vs_run364AG_selected,density_delta_vs_run364AG_selected,candidate_status,selection_score
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,selected_control_full_session(선택 대조 전체 세션),control(대조),control(대조),1,selected_density_safe_control__ps0_45__floor0_0__hold8,selected_control_full_session_선택_대조_전체_세션__ps0_45__floor0_0__hold8,0.45,0.0,-0.000562137088,0.0,adx_14,40.0,8,restore_march_non_hour16_margin,0.10,baseline_replay(기준 재생),all_sessions(전체 세션),all_sides(전체 방향),none(없음),not_used(거래 쪼개기 없음),forbidden(금지),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,516,2.6597938144,339.043,1.2146673268,0.6570600775,-142.323,2.382208076,452,64,0.1415929204,194,485,3.4892086331,501.012,1.3368770697,1.033014433,-90.53,5.5342096543,430,55,0.1279069767,139,1001,3.006006006,840.055,1.2739357721,0.8392157842,-142.323,5.9024542765,882,119,0.1349206349,333,0.0,0.0,0.0,0.0,watch_density_safe_pf_below_reference(밀도 안전이나 PF 기준 미달 관찰),850.82288605
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,validation_pf_repair_selected_split_guard(선택 후보 검증 PF 수리 분할 가드),split_guardrail(분할 가드레일),control(대조),10,selected_density_safe_control__ps0_45__floor0_0__hold8,validation_pf_repair_selected_split_guard_선택_후보_검증_PF_수리_분할_가드__ps0_45__floor0_0__hold8,0.45,0.0,-0.000562137088,0.0,adx_14,40.0,8,restore_march_non_hour16_margin,0.10,validation_pf_drag_repair_without_oos_selection(표본외 선택 없는 검증 PF 끌림 수리),"all_sessions_with_validation_report(전체 세션, 검증 분리 보고)",all_sides(전체 방향),validation_loss_segments_as_report_only(검증 손실 세그먼트는 보고 전용),not_used(거래 쪼개기 없음),forbidden(금지),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,516,2.6597938144,339.043,1.2146673268,0.6570600775,-142.323,2.382208076,452,64,0.1415929204,194,485,3.4892086331,501.012,1.3368770697,1.033014433,-90.53,5.5342096543,430,55,0.1279069767,139,1001,3.006006006,840.055,1.2739357721,0.8392157842,-142.323,5.9024542765,882,119,0.1349206349,333,0.0,0.0,0.0,0.0,watch_density_safe_pf_below_reference(밀도 안전이나 PF 기준 미달 관찰),850.82288605
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,month_positive_pocket_observation_only(월 양수 포켓 관찰 전용),market_behavior_observation(시장 현상 관찰),candidate(후보),12,selected_density_safe_control__ps0_45__floor0_0__hold8,month_positive_pocket_observation_only_월_양수_포켓_관찰_전용__ps0_45__floor0_0__hold8,0.45,0.0,-0.000562137088,0.0,adx_14,40.0,8,restore_march_non_hour16_margin,0.10,"month_pocket_observation_no_filter(월 포켓 관찰, 필터 아님)",all_sessions(전체 세션),all_sides(전체 방향),"month_pockets_report_only_not_filter(월 포켓은 보고 전용, 필터 아님)",not_used(거래 쪼개기 없음),forbidden(금지),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,516,2.6597938144,339.043,1.2146673268,0.6570600775,-142.323,2.382208076,452,64,0.1415929204,194,485,3.4892086331,501.012,1.3368770697,1.033014433,-90.53,5.5342096543,430,55,0.1279069767,139,1001,3.006006006,840.055,1.2739357721,0.8392157842,-142.323,5.9024542765,882,119,0.1349206349,333,0.0,0.0,0.0,0.0,watch_density_safe_pf_below_reference(밀도 안전이나 PF 기준 미달 관찰),850.82288605
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,oos_locked_replay_control(표본외 잠금 재생 대조),split_guardrail(분할 가드레일),candidate(후보),11,selected_density_safe_control__ps0_45__floor0_0__hold8,oos_locked_replay_control_표본외_잠금_재생_대조__ps0_45__floor0_0__hold8,0.45,0.0,-0.000562137088,0.0,adx_14,40.0,8,restore_march_non_hour16_margin,0.10,oos_locked_control_replay(표본외 잠금 대조 재생),all_sessions(전체 세션),all_sides(전체 방향),no_oos_threshold_selection(표본외 임계값 선택 없음),not_used(거래 쪼개기 없음),forbidden(금지),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,516,2.6597938144,339.043,1.2146673268,0.6570600775,-142.323,2.382208076,452,64,0.1415929204,194,485,3.4892086331,501.012,1.3368770697,1.033014433,-90.53,5.5342096543,430,55,0.1279069767,139,1001,3.006006006,840.055,1.2739357721,0.8392157842,-142.323,5.9024542765,882,119,0.1349206349,333,0.0,0.0,0.0,0.0,watch_density_safe_pf_below_reference(밀도 안전이나 PF 기준 미달 관찰),850.82288605
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,block_premarket_short_only(프리마켓 숏만 차단),session_side_pf_lift(세션 방향 PF 상승),candidate(후보),2,selected_density_safe_control__ps0_45__floor0_0__hold8,block_premarket_short_only_프리마켓_숏만_차단__ps0_45__floor0_0__hold8,0.45,0.0,-0.000562137088,0.0,adx_14,40.0,8,restore_march_non_hour16_margin,0.10,block_premarket_short(프리마켓 숏 차단),all_sessions_except_premarket_short(프리마켓 숏 제외 전체),"long_all_short_no_premarket(롱 전체, 숏 프리마켓 제외)",none(없음),not_used(거래 쪼개기 없음),forbidden(금지),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,504,2.5979381443,305.662,1.1945720569,0.6064722222,-133.361,2.2919894122,452,52,0.1150442478,194,475,3.4172661871,499.56,1.3474472476,1.0517052632,-86.941,5.7459656549,429,46,0.1072261072,139,979,2.9399399399,805.222,1.2676271111,0.822494382,-133.361,6.0379121332,881,98,0.1112372304,333,-34.833,-0.006308661,8.962,-0.0660660661,fail_density_floor(밀도 하한 실패),730.37677141
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,selected_short0455_density_edge_recheck(선택 숏 0.455 밀도 경계 재검토),near_density_bridge(밀도 경계 연결),candidate(후보),9,selected_short0455_restore_margin010__ps0_455__floor0_0__hold8,selected_short0455_density_edge_recheck_선택_숏_0_455_밀도_경계_재검토__ps0_455__floor0_0__hold8,0.455,0.0,-0.000562137088,0.0,adx_14,40.0,8,restore_march_non_hour16_margin,0.10,near_density_repair_with_session_guard(밀도 근접 수리 + 세션 가드),all_sessions_except_premarket_short(프리마켓 숏 제외 전체),"long_all_short_no_premarket(롱 전체, 숏 프리마켓 제외)",recover_density_gap_0_04(밀도 격차 0.04 복원),not_used(거래 쪼개기 없음),forbidden(금지),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,497,2.5618556701,293.518,1.1900935903,0.5905794769,-133.361,2.2009283074,452,45,0.0995575221,194,470,3.381294964,496.071,1.3512591475,1.0554702128,-87.046,5.6989522781,429,41,0.0955710956,139,967,2.9039039039,789.589,1.2670836468,0.8165346432,-133.361,5.920688957,881,86,0.0976163451,333,-50.466,-0.0068521253,8.962,-0.1021021021,fail_density_floor(밀도 하한 실패),661.62158886
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,core_plus_premarket_long(핵심 세션 + 프리마켓 롱),session_side_pf_lift(세션 방향 PF 상승),candidate(후보),3,selected_density_safe_control__ps0_45__floor0_0__hold8,core_plus_premarket_long_핵심_세션_프리마켓_롱__ps0_45__floor0_0__hold8,0.45,0.0,-0.000562137088,0.0,adx_14,40.0,8,restore_march_non_hour16_margin,0.10,core_session_keep_premarket_long(핵심 세션 보존 + 프리마켓 롱),us_cash_core_plus_premarket_long(미국 현금장 핵심 + 프리마켓 롱),core_both_sides_premarket_long_only(핵심 양방향 + 프리마켓 롱만),none(없음),not_used(거래 쪼개기 없음),forbidden(금지),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,502,2.587628866,256.473,1.1629349678,0.5109023904,-133.361,1.9231484467,450,52,0.1155555556,194,475,3.4172661871,465.17,1.3234894046,0.9793052632,-86.941,5.3504100482,429,46,0.1072261072,139,977,2.9339339339,721.643,1.2395846959,0.7386315251,-133.361,5.4111996761,879,98,0.1114903299,333,-118.412,-0.0343510762,8.962,-0.0720720721,fail_density_floor(밀도 하한 실패),624.36815541
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,pfpass_block_premarket_short_restore_density(PF 통과 프리마켓 숏 차단 밀도 복원),pf_pass_density_bridge(PF 통과 밀도 연결),candidate(후보),8,pfpass_short050_restore_margin008__ps0_5__floor0_0__hold8,pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원__ps0_5__floor0_0__hold8,0.5,0.0,-0.000562137088,0.0,adx_14,40.0,8,block_march_long_restore_non_hour16_margin,0.08,pf_pass_seed_block_premarket_short_restore_density(PF 통과 씨앗 프리마켓 숏 차단 밀도 복원),all_sessions_except_premarket_short(프리마켓 숏 제외 전체),"long_all_short_no_premarket(롱 전체, 숏 프리마켓 제외)",restore_non_drag_sessions_from_selected(선택 후보에서 손실 끌림 외 세션 복원),not_used(거래 쪼개기 없음),forbidden(금지),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,453,2.3350515464,362.958,1.2765158326,0.8012317881,-120.303,3.0170319942,452,1,0.0022123894,194,434,3.1223021583,482.596,1.383183002,1.1119723502,-88.47,5.4549112694,429,5,0.0116550117,139,887,2.6636636637,845.554,1.3287468527,0.9532739572,-120.303,7.0285362792,881,6,0.0068104427,333,5.499,0.0548110806,22.02,-0.3423423423,fail_density_floor(밀도 하한 실패),433.607842402
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,core_plus_late_long(핵심 세션 + 후반 롱),session_density_restore(세션 밀도 복원),candidate(후보),5,selected_density_safe_control__ps0_45__floor0_0__hold8,core_plus_late_long_핵심_세션_후반_롱__ps0_45__floor0_0__hold8,0.45,0.0,-0.000562137088,0.0,adx_14,40.0,8,restore_march_non_hour16_margin,0.10,core_session_plus_late_long(핵심 세션 + 후반 롱),us_cash_core_plus_post_cash_late_long(핵심 + 현금장 후반 롱),core_both_sides_late_long(핵심 양방향 + 후반 롱),restore_sparse_late_long_watch(희소 후반 롱 관찰 복원),not_used(거래 쪼개기 없음),forbidden(금지),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,468,2.412371134,284.493,1.201047167,0.6078910256,-103.533,2.7478485121,415,53,0.1277108434,194,436,3.1366906475,441.077,1.3628011917,1.0116444954,-89.923,4.9050521001,390,46,0.1179487179,139,904,2.7147147147,725.57,1.2757971879,0.8026216814,-103.533,7.0081036964,805,99,0.1229813665,333,-114.485,0.0018614158,38.79,-0.2912912913,fail_density_floor(밀도 하한 실패),359.678347586
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,pfpass_core_plus_premarket_long_restore(PF 통과 핵심 + 프리마켓 롱 복원),pf_pass_density_bridge(PF 통과 밀도 연결),candidate(후보),7,pf_pass_density_fail_control__ps0_5__floor0_0__hold8,pfpass_core_plus_premarket_long_restore_PF_통과_핵심_프리마켓_롱_복원__ps0_5__floor0_0__hold8,0.5,0.0,-0.000562137088,0.0,adx_14,40.0,8,block_march_long,,pf_pass_seed_restore_core_and_premarket_long(PF 통과 씨앗 핵심 및 프리마켓 롱 복원),us_cash_core_plus_premarket_long(핵심 + 프리마켓 롱),core_both_sides_premarket_long_only(핵심 양방향 + 프리마켓 롱만),restore_core_and_premarket_long_from_selected(선택 후보에서 핵심/프리마켓 롱 복원),not_used(거래 쪼개기 없음),forbidden(금지),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,451,2.324742268,313.769,1.2384717754,0.6957184035,-120.303,2.6081560726,450,1,0.0022222222,194,434,3.1223021583,448.206,1.3558277728,1.0327327189,-88.47,5.0661919295,429,5,0.0116550117,139,885,2.6576576577,761.975,1.2958707973,0.8609887006,-120.303,6.3337988246,879,6,0.0068259386,333,-78.08,0.0219350252,22.02,-0.3483483483,fail_density_floor(밀도 하한 실패),303.163327494
