run_id,queue_id,variant_id,source_signal_count,bridge_final_signal_count,session_side_blocked_count,core_signal_count,premarket_signal_count,late_signal_count,final_signal_count_after_session,trade_count,claim_boundary(주장 경계)
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,selected_control_full_session(선택 대조 전체 세션),selected_control_full_session_선택_대조_전체_세션__ps0_45__floor0_0__hold8,5071,4648,0,4059,565,24,4648,1001,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,block_premarket_short_only(프리마켓 숏만 차단),block_premarket_short_only_프리마켓_숏만_차단__ps0_45__floor0_0__hold8,5071,4648,54,4059,511,24,4594,979,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,core_plus_premarket_long(핵심 세션 + 프리마켓 롱),core_plus_premarket_long_핵심_세션_프리마켓_롱__ps0_45__floor0_0__hold8,5071,4648,78,4059,511,0,4570,977,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,core_session_only_dual_side(핵심 세션 양방향만),core_session_only_dual_side_핵심_세션_양방향만__ps0_45__floor0_0__hold8,5071,4648,589,4059,0,0,4059,902,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,core_plus_late_long(핵심 세션 + 후반 롱),core_plus_late_long_핵심_세션_후반_롱__ps0_45__floor0_0__hold8,5071,4648,565,4059,0,24,4083,904,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,pfpass_core_restore(통과 PF 핵심 복원),pfpass_core_restore_통과_PF_핵심_복원__ps0_5__floor0_0__hold8,4802,4409,538,3871,0,0,3871,815,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,pfpass_core_plus_premarket_long_restore(PF 통과 핵심 + 프리마켓 롱 복원),pfpass_core_plus_premarket_long_restore_PF_통과_핵심_프리마켓_롱_복원__ps0_5__floor0_0__hold8,4802,4403,26,3866,511,0,4377,885,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,pfpass_block_premarket_short_restore_density(PF 통과 프리마켓 숏 차단 밀도 복원),pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원__ps0_5__floor0_0__hold8,4802,4403,2,3866,511,24,4401,887,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,selected_short0455_density_edge_recheck(선택 숏 0.455 밀도 경계 재검토),selected_short0455_density_edge_recheck_선택_숏_0_455_밀도_경계_재검토__ps0_455__floor0_0__hold8,5020,4604,44,4025,511,24,4560,967,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,validation_pf_repair_selected_split_guard(선택 후보 검증 PF 수리 분할 가드),validation_pf_repair_selected_split_guard_선택_후보_검증_PF_수리_분할_가드__ps0_45__floor0_0__hold8,5071,4648,0,4059,565,24,4648,1001,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,oos_locked_replay_control(표본외 잠금 재생 대조),oos_locked_replay_control_표본외_잠금_재생_대조__ps0_45__floor0_0__hold8,5071,4648,0,4059,565,24,4648,1001,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,month_positive_pocket_observation_only(월 양수 포켓 관찰 전용),month_positive_pocket_observation_only_월_양수_포켓_관찰_전용__ps0_45__floor0_0__hold8,5071,4648,0,4059,565,24,4648,1001,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
