run_id,queue_id,variant_id,materialized_policy,session_policy,side_policy,combined_net_profit,combined_profit_factor,combined_trade_per_business_day,pf_delta_vs_run364AG_selected,density_delta_vs_run364AG_selected,candidate_status,claim_boundary(주장 경계)
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,selected_control_full_session(선택 대조 전체 세션),selected_control_full_session_선택_대조_전체_세션__ps0_45__floor0_0__hold8,baseline_replay(기준 재생),all_sessions(전체 세션),all_sides(전체 방향),840.055,1.2739357721,3.006006006,0.0,0.0,watch_density_safe_pf_below_reference(밀도 안전이나 PF 기준 미달 관찰),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,validation_pf_repair_selected_split_guard(선택 후보 검증 PF 수리 분할 가드),validation_pf_repair_selected_split_guard_선택_후보_검증_PF_수리_분할_가드__ps0_45__floor0_0__hold8,validation_pf_drag_repair_without_oos_selection(표본외 선택 없는 검증 PF 끌림 수리),"all_sessions_with_validation_report(전체 세션, 검증 분리 보고)",all_sides(전체 방향),840.055,1.2739357721,3.006006006,0.0,0.0,watch_density_safe_pf_below_reference(밀도 안전이나 PF 기준 미달 관찰),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,month_positive_pocket_observation_only(월 양수 포켓 관찰 전용),month_positive_pocket_observation_only_월_양수_포켓_관찰_전용__ps0_45__floor0_0__hold8,"month_pocket_observation_no_filter(월 포켓 관찰, 필터 아님)",all_sessions(전체 세션),all_sides(전체 방향),840.055,1.2739357721,3.006006006,0.0,0.0,watch_density_safe_pf_below_reference(밀도 안전이나 PF 기준 미달 관찰),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,oos_locked_replay_control(표본외 잠금 재생 대조),oos_locked_replay_control_표본외_잠금_재생_대조__ps0_45__floor0_0__hold8,oos_locked_control_replay(표본외 잠금 대조 재생),all_sessions(전체 세션),all_sides(전체 방향),840.055,1.2739357721,3.006006006,0.0,0.0,watch_density_safe_pf_below_reference(밀도 안전이나 PF 기준 미달 관찰),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,block_premarket_short_only(프리마켓 숏만 차단),block_premarket_short_only_프리마켓_숏만_차단__ps0_45__floor0_0__hold8,block_premarket_short(프리마켓 숏 차단),all_sessions_except_premarket_short(프리마켓 숏 제외 전체),"long_all_short_no_premarket(롱 전체, 숏 프리마켓 제외)",805.222,1.2676271111,2.9399399399,-0.006308661,-0.0660660661,fail_density_floor(밀도 하한 실패),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,selected_short0455_density_edge_recheck(선택 숏 0.455 밀도 경계 재검토),selected_short0455_density_edge_recheck_선택_숏_0_455_밀도_경계_재검토__ps0_455__floor0_0__hold8,near_density_repair_with_session_guard(밀도 근접 수리 + 세션 가드),all_sessions_except_premarket_short(프리마켓 숏 제외 전체),"long_all_short_no_premarket(롱 전체, 숏 프리마켓 제외)",789.589,1.2670836468,2.9039039039,-0.0068521253,-0.1021021021,fail_density_floor(밀도 하한 실패),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,core_plus_premarket_long(핵심 세션 + 프리마켓 롱),core_plus_premarket_long_핵심_세션_프리마켓_롱__ps0_45__floor0_0__hold8,core_session_keep_premarket_long(핵심 세션 보존 + 프리마켓 롱),us_cash_core_plus_premarket_long(미국 현금장 핵심 + 프리마켓 롱),core_both_sides_premarket_long_only(핵심 양방향 + 프리마켓 롱만),721.643,1.2395846959,2.9339339339,-0.0343510762,-0.0720720721,fail_density_floor(밀도 하한 실패),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,pfpass_block_premarket_short_restore_density(PF 통과 프리마켓 숏 차단 밀도 복원),pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원__ps0_5__floor0_0__hold8,pf_pass_seed_block_premarket_short_restore_density(PF 통과 씨앗 프리마켓 숏 차단 밀도 복원),all_sessions_except_premarket_short(프리마켓 숏 제외 전체),"long_all_short_no_premarket(롱 전체, 숏 프리마켓 제외)",845.554,1.3287468527,2.6636636637,0.0548110806,-0.3423423423,fail_density_floor(밀도 하한 실패),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,core_plus_late_long(핵심 세션 + 후반 롱),core_plus_late_long_핵심_세션_후반_롱__ps0_45__floor0_0__hold8,core_session_plus_late_long(핵심 세션 + 후반 롱),us_cash_core_plus_post_cash_late_long(핵심 + 현금장 후반 롱),core_both_sides_late_long(핵심 양방향 + 후반 롱),725.57,1.2757971879,2.7147147147,0.0018614158,-0.2912912913,fail_density_floor(밀도 하한 실패),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,pfpass_core_plus_premarket_long_restore(PF 통과 핵심 + 프리마켓 롱 복원),pfpass_core_plus_premarket_long_restore_PF_통과_핵심_프리마켓_롱_복원__ps0_5__floor0_0__hold8,pf_pass_seed_restore_core_and_premarket_long(PF 통과 씨앗 핵심 및 프리마켓 롱 복원),us_cash_core_plus_premarket_long(핵심 + 프리마켓 롱),core_both_sides_premarket_long_only(핵심 양방향 + 프리마켓 롱만),761.975,1.2958707973,2.6576576577,0.0219350252,-0.3483483483,fail_density_floor(밀도 하한 실패),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,core_session_only_dual_side(핵심 세션 양방향만),core_session_only_dual_side_핵심_세션_양방향만__ps0_45__floor0_0__hold8,core_session_only(핵심 세션만),us_cash_core_only(미국 현금장 핵심만),core_long_and_short(핵심 롱/숏),645.703,1.2448583586,2.7087087087,-0.0290774135,-0.2972972973,fail_density_floor(밀도 하한 실패),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,pfpass_core_restore(통과 PF 핵심 복원),pfpass_core_restore_통과_PF_핵심_복원__ps0_5__floor0_0__hold8,pf_pass_seed_restore_core_session(PF 통과 씨앗 핵심 세션 복원),us_cash_core_restore(미국 현금장 핵심 복원),core_both_sides_restore(핵심 양방향 복원),615.722,1.2713337758,2.4474474474,-0.0026019963,-0.5585585586,fail_density_floor(밀도 하한 실패),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
