run_id,input_path,exists,sha256,input_role,created_at_utc,claim_boundary
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BV/final_decision.json,True,1395fb6656568ee87e89ef3449314d74ff9b30167060d0b1858ba14b99b4fd6b,BW runtime probe review source(BW 런타임 탐침 검토 원천),2026-06-04T17:35:47Z,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BV/strategy_tester_report_records.json,True,4360bb4c89bd06f2fa26960aa0e4786bb31c2ff00ad660eb8d4395a3dba91b72,BW runtime probe review source(BW 런타임 탐침 검토 원천),2026-06-04T17:35:47Z,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BV/runtime_output_validation.json,True,8d81f2438ba15361bfff7859220d8991d16d6afd08cf74fd232c7252ed254840,BW runtime probe review source(BW 런타임 탐침 검토 원천),2026-06-04T17:35:47Z,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BV/runtime_output_copy_manifest.csv,True,354c2db7a6c71198e33d66cd919f6b00635b462ad7db8048c2b4482a6c32577b,BW runtime probe review source(BW 런타임 탐침 검토 원천),2026-06-04T17:35:47Z,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BV/proxy_mt5_runtime_difference.csv,True,ed87f9884ae1353256b13fb75f32ff857dee866b607126d3c8c37700f563944a,BW runtime probe review source(BW 런타임 탐침 검토 원천),2026-06-04T17:35:47Z,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BV/tester_identity_contract.csv,True,aeb54d9ad7d48b2d35e5f50bffeac5c1a083216d3cfb6104a56e8d59f4c0b3f4,BW runtime probe review source(BW 런타임 탐침 검토 원천),2026-06-04T17:35:47Z,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BV/runtime_parity_contract.csv,True,135cc28dc33be1524325c29ed491b51df681b024087ec846325cfc7b5c2e5588,BW runtime probe review source(BW 런타임 탐침 검토 원천),2026-06-04T17:35:47Z,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BV/runtime_policy_config.json,True,012c305544574fcbda0f99a7f96e36d25c88211275238fdefd9a863a6b91ed2c,BW runtime probe review source(BW 런타임 탐침 검토 원천),2026-06-04T17:35:47Z,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BV/run_manifest.json,True,ee397ee362631acb51a12c72818162cb11f06e9fac769f97a0bc63d65e576e3c,BW runtime probe review source(BW 런타임 탐침 검토 원천),2026-06-04T17:35:47Z,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BS/selected_bs_candidate.json,True,adcec77bbf211d758e9466a994376d25a32cac06cb3e9321530a035ea4f00c39,BW runtime probe review source(BW 런타임 탐침 검토 원천),2026-06-04T17:35:47Z,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
