run_id,parent_run_id,open_time,close_time,direction,source_bucket,source_reason,volume,open_price,close_price,profit_column,swap,commission,net_profit,balance_after,hold_minutes,open_hour,close_hour,close_month,close_date,p_short,p_flat,p_long,claim_boundary
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,run364BV_materialize_synthetic_short_source_runtime_repair_without_db_v1,2025-01-02T17:00:00,2025-01-02T17:30:00,long,long_threshold,long_threshold_met,0.1,21139.02,21035.07,-10.4,0.0,0.0,-10.4,489.6,30.0,17,17,2025-01,2025-01-02,0.3827101886,0.2041354328,0.4131543338,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,run364BV_materialize_synthetic_short_source_runtime_repair_without_db_v1,2025-01-02T17:35:00,2025-01-02T18:10:00,long,long_threshold,long_threshold_met,0.1,21012.52,20974.94,-3.76,0.0,0.0,-3.76,485.84,35.0,17,18,2025-01,2025-01-02,0.3826957643,0.2228299826,0.394474268,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,run364BV_materialize_synthetic_short_source_runtime_repair_without_db_v1,2025-01-02T18:25:00,2025-01-02T18:55:00,long,long_threshold,long_threshold_met,0.1,21035.64,21052.69,1.71,0.0,0.0,1.71,487.55,30.0,18,18,2025-01,2025-01-02,0.3807926476,0.2353815734,0.3838257492,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,run364BV_materialize_synthetic_short_source_runtime_repair_without_db_v1,2025-01-02T19:00:00,2025-01-02T19:30:00,long,long_threshold,long_threshold_met,0.1,21064.27,20898.19,-16.61,0.0,0.0,-16.61,470.94,30.0,19,19,2025-01,2025-01-02,0.388086915,0.2170082033,0.3949050307,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,run364BV_materialize_synthetic_short_source_runtime_repair_without_db_v1,2025-01-02T19:40:00,2025-01-02T20:10:00,short,synthetic_short_overlay,"synthetic_short_source_overlay:hour=19,p_short=0.447045,margin_vs_long=0.083274|threshold_or_margin_not_met",0.1,20803.69,20821.64,-1.8,0.0,0.0,-1.8,469.14,30.0,19,20,2025-01,2025-01-02,0.4470454156,0.1891828179,0.3637718558,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,run364BV_materialize_synthetic_short_source_runtime_repair_without_db_v1,2025-01-02T20:40:00,2025-01-02T20:50:00,short,synthetic_short_overlay,"synthetic_short_source_overlay:hour=20,p_short=0.455205,margin_vs_long=0.092231|short_threshold_met",0.1,20765.82,20773.02,-0.72,0.0,0.0,-0.72,468.42,10.0,20,20,2025-01,2025-01-02,0.4552049339,0.1818209589,0.3629740179,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,run364BV_materialize_synthetic_short_source_runtime_repair_without_db_v1,2025-01-02T20:50:00,2025-01-02T21:20:00,long,long_threshold,long_threshold_met,0.1,20773.02,20824.57,5.16,0.0,0.0,5.16,473.58,30.0,20,21,2025-01,2025-01-02,0.3657931387,0.2664216757,0.3677851856,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,run364BV_materialize_synthetic_short_source_runtime_repair_without_db_v1,2025-01-03T16:40:00,2025-01-03T17:10:00,long,long_threshold,long_threshold_met,0.1,21161.86,21151.91,-1.0,0.0,0.0,-1.0,472.58,30.0,16,17,2025-01,2025-01-03,0.3620528281,0.2651500702,0.3727970719,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,run364BV_materialize_synthetic_short_source_runtime_repair_without_db_v1,2025-01-03T17:15:00,2025-01-03T17:45:00,long,long_threshold,long_threshold_met,0.1,21098.24,21123.54,2.53,0.0,0.0,2.53,475.11,30.0,17,17,2025-01,2025-01-03,0.3541457057,0.244043678,0.4018105865,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,run364BV_materialize_synthetic_short_source_runtime_repair_without_db_v1,2025-01-03T17:50:00,2025-01-03T18:20:00,long,long_threshold,long_threshold_met,0.1,21124.99,21127.91,0.29,0.0,0.0,0.29,475.4,30.0,17,18,2025-01,2025-01-03,0.3689465225,0.2443871051,0.3866663873,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,run364BV_materialize_synthetic_short_source_runtime_repair_without_db_v1,2025-01-03T18:25:00,2025-01-03T18:55:00,long,long_threshold,long_threshold_met,0.1,21146.36,21232.66,8.63,0.0,0.0,8.63,484.03,30.0,18,18,2025-01,2025-01-03,0.345202893,0.2731438279,0.3816533685,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,run364BV_materialize_synthetic_short_source_runtime_repair_without_db_v1,2025-01-03T19:00:00,2025-01-03T19:30:00,long,long_threshold,long_threshold_met,0.1,21213.24,21197.16,-1.61,0.0,0.0,-1.61,482.42,30.0,19,19,2025-01,2025-01-03,0.3211489916,0.3245929778,0.3542579114,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,run364BV_materialize_synthetic_short_source_runtime_repair_without_db_v1,2025-01-03T19:35:00,2025-01-03T20:10:00,long,long_threshold,long_threshold_met,0.1,21205.74,21217.66,1.19,0.0,0.0,1.19,483.61,35.0,19,20,2025-01,2025-01-03,0.3407499492,0.3118654191,0.3473846316,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,run364BV_materialize_synthetic_short_source_runtime_repair_without_db_v1,2025-01-03T20:25:00,2025-01-03T20:55:00,long,long_threshold,long_threshold_met,0.1,21226.86,21273.16,4.63,0.0,0.0,4.63,488.24,30.0,20,20,2025-01,2025-01-03,0.2996404171,0.349663347,0.3506962061,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,run364BV_materialize_synthetic_short_source_runtime_repair_without_db_v1,2025-01-03T21:05:00,2025-01-03T21:40:00,long,long_threshold,long_threshold_met,0.1,21272.36,21305.54,3.32,0.0,0.0,3.32,491.56,35.0,21,21,2025-01,2025-01-03,0.3043551445,0.3422448039,0.3534000218,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,run364BV_materialize_synthetic_short_source_runtime_repair_without_db_v1,2025-01-06T16:50:00,2025-01-06T17:25:00,long,long_threshold,long_threshold_met,0.1,21589.95,21618.12,2.82,0.0,0.0,2.82,494.38,35.0,16,17,2025-01,2025-01-06,0.3741960227,0.242121309,0.3836826086,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,run364BV_materialize_synthetic_short_source_runtime_repair_without_db_v1,2025-01-06T17:30:00,2025-01-06T18:05:00,long,long_threshold,long_threshold_met,0.1,21636.7,21636.5,-0.02,0.0,0.0,-0.02,494.36,35.0,17,18,2025-01,2025-01-06,0.3250966966,0.3074910045,0.3674122393,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,run364BV_materialize_synthetic_short_source_runtime_repair_without_db_v1,2025-01-06T18:15:00,2025-01-06T19:00:00,long,long_threshold,long_threshold_met,0.1,21641.57,21616.12,-2.55,0.0,0.0,-2.55,491.81,45.0,18,19,2025-01,2025-01-06,0.2936471403,0.3498857319,0.356467098,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,run364BV_materialize_synthetic_short_source_runtime_repair_without_db_v1,2025-01-06T19:20:00,2025-01-06T20:00:00,long,long_threshold,long_threshold_met,0.1,21592.32,21552.87,-3.95,0.0,0.0,-3.95,487.86,40.0,19,20,2025-01,2025-01-06,0.3376401365,0.301507622,0.3608522117,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
