direction,trade_count,net_profit,expectancy,win_count,loss_count,win_rate_percent,gross_profit,gross_loss,profit_factor,avg_hold_minutes
long,904,818.6,0.905531,485,419,53.650442,3013.18,-2194.58,1.37301,111.820336
short,114,147.72,1.295789,54,60,47.368421,517.64,-369.92,1.39933,118.903947
