run_id,queue_id,variant_id,review_status,source_candidate_status,combined_net_profit,combined_profit_factor,combined_trade_count,combined_trade_per_business_day,combined_max_drawdown,combined_recovery_factor,combined_long_count,combined_short_count,net_delta_vs_baseline_proxy,pf_delta_vs_baseline_proxy,density_delta_vs_baseline_proxy,dd_delta_vs_baseline_proxy,selection_score,claim_boundary(주장 경계)
run364AB_review_density_side_balance_cost_session_stress_scout_without_db_v1,stress_zone_3,stress_zone_3__ps0_45__adx40_0__hold8__entry_month2025_03,near_miss_density_bridge_seed(밀도 연결 수리 씨앗),fail_density_floor(밀도 하한 실패),840.192,1.2758061959,994.0,2.984984985,-142.323,5.9034168757,882.0,112.0,68.628,0.0539655456,-0.2612612612,12.684,882.4253864,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AB_review_density_side_balance_cost_session_stress_scout_without_db_v1,short050_hour16_soft_guardrail,short050_hour16_soft_guardrail__ps0_5__adx40_0__hold8__short_threshold_plus_hour16_soft_guard,reject_density_floor(밀도 하한 탈락),fail_density_floor(밀도 하한 실패),794.636,1.2706352591,957.0,2.8738738739,-172.391,4.6094981757,951.0,6.0,23.072,0.0487946088,-0.3723723723,-17.384,808.0346522,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AB_review_density_side_balance_cost_session_stress_scout_without_db_v1,stress_zone_4,stress_zone_4__ps0_45__adx40_0__hold8__entry_month2025_03_sidelong,near_miss_density_bridge_seed(밀도 연결 수리 씨앗),watch_pf_not_above_target(PF 목표 미만 관찰),808.044,1.2584924377,1013.0,3.042042042,-142.323,5.6775363083,882.0,131.0,36.48,0.0366517874,-0.2042042042,12.684,854.79399189,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AB_review_density_side_balance_cost_session_stress_scout_without_db_v1,short055_quality_probe,short055_quality_probe__ps0_55__adx40_0__hold8__short_only_threshold,reject_density_floor(밀도 하한 탈락),fail_density_floor(밀도 하한 실패),752.15,1.2573454567,951.0,2.8558558559,-172.391,4.3630467948,951.0,0.0,-19.414,0.0355048064,-0.3903903903,-17.384,761.0262016,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AB_review_density_side_balance_cost_session_stress_scout_without_db_v1,short050_quality_probe,short050_quality_probe__ps0_5__adx40_0__hold8__short_only_threshold,reject_density_floor(밀도 하한 탈락),fail_density_floor(밀도 하한 실패),749.025,1.2519477365,960.0,2.8828828829,-172.391,4.3449193983,952.0,8.0,-22.539,0.0301070862,-0.3633633633,-17.384,758.15177155,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AB_review_density_side_balance_cost_session_stress_scout_without_db_v1,adx38_density_counterfactual,adx38_density_counterfactual__ps0_45__adx38_0__hold8__none,density_only_watch(밀도만 관찰),watch_pf_not_above_target(PF 목표 미만 관찰),798.689,1.2345298327,1057.0,3.1741741742,-142.197,5.6167781317,927.0,130.0,27.125,0.0126891824,-0.072072072,12.81,855.167196504,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AB_review_density_side_balance_cost_session_stress_scout_without_db_v1,baseline_replay_control,baseline_replay_control__ps0_45__adx40_0__hold8__none,density_only_watch(밀도만 관찰),watch_pf_not_above_target(PF 목표 미만 관찰),771.564,1.2218406503,1081.0,3.2462462462,-155.007,4.9776074629,952.0,129.0,0.0,0.0,0.0,0.0,826.913549544,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AB_review_density_side_balance_cost_session_stress_scout_without_db_v1,hour16_soft_guardrail,hour16_soft_guardrail__ps0_45__adx40_0__hold8__soft_guard_entry_hour_16,density_only_watch(밀도만 관찰),watch_pf_not_above_target(PF 목표 미만 관찰),744.707,1.2194362013,1057.0,3.1741741742,-192.655,3.8654953155,951.0,106.0,-26.857,-0.002404449,-0.072072072,-37.648,786.807900904,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AB_review_density_side_balance_cost_session_stress_scout_without_db_v1,stress_zone_2,stress_zone_2__ps0_45__adx40_0__hold8__entry_hour16_sideshort,density_only_watch(밀도만 관찰),watch_pf_not_above_target(PF 목표 미만 관찰),744.707,1.2194362013,1057.0,3.1741741742,-192.655,3.8654953155,951.0,106.0,-26.857,-0.002404449,-0.072072072,-37.648,786.807900904,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AB_review_density_side_balance_cost_session_stress_scout_without_db_v1,maxhold6_density_control,maxhold6_density_control__ps0_45__adx40_0__hold6__none,density_only_watch(밀도만 관찰),watch_pf_not_above_target(PF 목표 미만 관찰),771.423,1.2175571938,1264.0,3.7957957958,-168.999,4.5646601459,1125.0,139.0,-0.141,-0.0042834565,0.5495495496,-13.992,894.718495496,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
