run_id,group_column,group_value,trade_count,net_profit_after_cost,gross_profit_after_cost,gross_loss_after_cost,profit_factor_after_cost,expectancy_after_cost,win_count_after_cost,loss_count_after_cost,win_rate_after_cost_percent,min_trade_after_cost,max_trade_after_cost,median_hold_m5_calendar,max_hold_m5_calendar,claim_boundary(주장 경계)
run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,exit_month,2025-01,76,-11.74,227.26,-239.0,0.950878661,-0.154474,41,35,53.947368,-29.32,16.32,8.0,1100,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,exit_month,2025-02,67,87.96,284.22,-196.26,1.448180984,1.312836,35,32,52.238806,-20.16,42.27,8.0,806,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,exit_month,2025-03,87,-68.65,379.55,-448.2,0.846831772,-0.78908,43,44,49.425287,-37.11,45.76,8.0,819,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,exit_month,2025-04,104,200.64,680.72,-480.08,1.417930345,1.929231,58,46,55.769231,-40.91,89.79,8.0,1094,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,exit_month,2025-05,64,38.87,186.38,-147.51,1.263507559,0.607344,36,28,56.25,-17.54,24.58,8.0,806,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,exit_month,2025-06,62,58.22,176.37,-118.15,1.492763436,0.939032,34,28,54.83871,-19.46,24.66,8.0,808,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,exit_month,2025-07,39,2.98,80.21,-77.23,1.038586042,0.07641,22,17,56.410256,-9.45,15.77,9.0,232,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,exit_month,2025-08,48,25.62,176.15,-150.53,1.170198632,0.53375,25,23,52.083333,-19.92,39.35,8.0,249,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,exit_month,2025-09,49,-32.61,115.79,-148.4,0.780256065,-0.66551,19,30,38.77551,-14.15,31.8,9.0,233,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,exit_month,2025-10,72,49.53,272.04,-222.51,1.222596737,0.687917,44,28,61.111111,-17.77,23.85,8.0,806,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
