run_id,group_column,group_value,trade_count,net_profit_after_cost,gross_profit_after_cost,gross_loss_after_cost,profit_factor_after_cost,expectancy_after_cost,win_count_after_cost,loss_count_after_cost,win_rate_after_cost_percent,min_trade_after_cost,max_trade_after_cost,median_hold_m5_calendar,max_hold_m5_calendar,claim_boundary(주장 경계)
run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,side,long,952,942.33,3733.39,-2791.06,1.337624415,0.989842,534,418,56.092437,-40.91,89.79,8.0,1100,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,side,short,129,46.89,587.48,-540.59,1.086738563,0.363488,59,70,45.736434,-23.0,42.27,8.0,806,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
