candidate_alias,candidate_id,candidate_role,test_count,strong_curve_clue_count,failure_memory_count,avg_net_profit,avg_net_delta_vs_base_2024,avg_profit_factor,avg_equity_drawdown_percent,avg_dd_delta_vs_base_2024,avg_trade_count,min_positive_month_ratio,max_negative_month_count,worst_month_floor,best_test_id,best_net_profit,best_profit_factor,best_equity_drawdown_percent,worst_test_id,worst_net_profit,candidate_read
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,5,3,0,306.874,219.804,1.235529,20.234,-16.666,328.4,0.5,6,-74.27,abl_volatility_bandwidth,408.29,1.347088,15.85,abl_trend_strength_direction,176.35,"broad_constructive_watch_no_selection(넓은 건설적 관찰, 선택 아님)"
s264_lc,s264_lowrank_control,defensive_control,5,2,1,383.422,312.082,1.160043,26.95,-10.57,370.4,0.5,6,-106.86,abl_gate_variant_rule,1227.99,1.240707,22.97,abl_gate_rank_bucket,-32.52,"contains_failure_memory_no_selection(실패 기억 포함, 선택 아님)"
s264_aih,s264_allow_inner_high_quarter,challenger_core,4,2,0,294.46,198.9,1.238505,20.685,-15.995,327.0,0.5,6,-74.27,abl_volatility_bandwidth,412.57,1.349864,15.9,abl_trend_strength_direction,176.35,"broad_constructive_watch_no_selection(넓은 건설적 관찰, 선택 아님)"
s258_stc,s258_short_tight_control,stress_challenger,5,1,0,283.232,180.342,1.189701,26.788,-13.642,350.4,0.583333,5,-122.87,abl_volatility_bandwidth,442.13,1.331409,19.33,abl_trend_strength_direction,195.44,"single_axis_clue_needs_more_pressure(단일 축 단서, 추가 압박 필요)"
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,5,1,1,141.518,97.028,1.113309,29.9,-10.23,337.6,0.416667,7,-121.22,rep_volatility_atr,380.99,1.327002,18.05,abl_gate_rank_bucket,-51.96,"contains_failure_memory_no_selection(실패 기억 포함, 선택 아님)"
