record_view,candidate_id,candidate_alias,candidate_role,test_id,test_type,materialization_boundary,route_role,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,report_equity_drawdown_percent,report_balance_drawdown_percent,report_recovery_factor,tier_b_fallback_used_count,tier_b_fallback_order_fill_count,positive_month_ratio,negative_month_count,worst_month,worst_month_net,best_month,best_month_net,chron_early_net,chron_mid_net,chron_late_net,source_chart_path,curve_read
mt5_ta_s264_aih_abl_volatility_bandwidth_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,314,412.57,1591.8,-1179.23,1.349864,1.313917,0.541401,9.363529,-8.189097,1.143414,114.63,15.195058,159,0.89172,5,3.599145,15.9,15.2,3.43,0,0,0.666667,4,2024-06,-32.73,2024-02,135.04,209.05,35.88,167.64,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_01_s264_aih_abl_volatility_bandwidth_ta_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_rt_s264_aih_abl_volatility_bandwidth_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,314,412.57,1591.8,-1179.23,1.349864,1.313917,0.541401,9.363529,-8.189097,1.143414,114.63,15.195058,159,0.89172,5,3.599145,15.9,15.2,3.43,0,0,0.666667,4,2024-06,-32.73,2024-02,135.04,209.05,35.88,167.64,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_01_s264_aih_abl_volatility_bandwidth_rt_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_ta_s264_aih_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,340,176.35,1563.34,-1386.99,1.127146,0.518676,0.511765,8.984713,-8.355361,1.075323,189.15,24.90028,265,0.944118,6,0.932329,25.47,24.9,0.91,0,0,0.5,6,2024-07,-74.27,2024-02,147.46,194.71,-65.88,47.52,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_02_s264_aih_abl_trend_strength_direction_ta_2024.png,"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)"
mt5_rt_s264_aih_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,340,176.35,1563.34,-1386.99,1.127146,0.518676,0.511765,8.984713,-8.355361,1.075323,189.15,24.90028,265,0.944118,6,0.932329,25.47,24.9,0.91,0,0,0.5,6,2024-07,-74.27,2024-02,147.46,194.71,-65.88,47.52,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_02_s264_aih_abl_trend_strength_direction_rt_2024.png,"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)"
mt5_ta_s264_aih_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,340,176.35,1563.34,-1386.99,1.127146,0.518676,0.511765,8.984713,-8.355361,1.075323,189.15,24.90028,265,0.944118,6,0.932329,25.47,24.9,0.91,0,0,0.5,6,2024-07,-74.27,2024-02,147.46,194.71,-65.88,47.52,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_03_s264_aih_rep_trend_strength_adx_ta_2024.png,"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)"
mt5_rt_s264_aih_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,340,176.35,1563.34,-1386.99,1.127146,0.518676,0.511765,8.984713,-8.355361,1.075323,189.15,24.90028,265,0.944118,6,0.932329,25.47,24.9,0.91,0,0,0.5,6,2024-07,-74.27,2024-02,147.46,194.71,-65.88,47.52,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_03_s264_aih_rep_trend_strength_adx_rt_2024.png,"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)"
mt5_ta_s264_aih_rep_volatility_atr_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,314,412.57,1591.8,-1179.23,1.349864,1.313917,0.541401,9.363529,-8.189097,1.143414,114.63,15.195058,159,0.89172,5,3.599145,15.9,15.2,3.43,0,0,0.666667,4,2024-06,-32.73,2024-02,135.04,209.05,35.88,167.64,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_04_s264_aih_rep_volatility_atr_ta_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_rt_s264_aih_rep_volatility_atr_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,314,412.57,1591.8,-1179.23,1.349864,1.313917,0.541401,9.363529,-8.189097,1.143414,114.63,15.195058,159,0.89172,5,3.599145,15.9,15.2,3.43,0,0,0.666667,4,2024-06,-32.73,2024-02,135.04,209.05,35.88,167.64,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_04_s264_aih_rep_volatility_atr_rt_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_ta_s264_lc_abl_gate_rank_bucket_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,abl_gate_rank_bucket,feature_category_ablation(피처 범주 제거),direct_runtime_surface_ablation(직접 런타임 표면 제거),tier_only_total,350,-32.52,1544.57,-1577.09,0.97938,-0.092914,0.497143,8.876839,-8.960739,0.990637,318.77,41.863,306,0.945714,6,-0.102017,42.67,41.86,-0.1,0,0,0.5,6,2024-07,-106.86,2024-02,132.59,153.45,-123.29,-62.68,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_05_s264_lc_abl_gate_rank_bucket_ta_2024.png,"fragile_or_negative_no_extension(취약 또는 음수, 확장 금지)"
mt5_rt_s264_lc_abl_gate_rank_bucket_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,abl_gate_rank_bucket,feature_category_ablation(피처 범주 제거),direct_runtime_surface_ablation(직접 런타임 표면 제거),routed_total,350,-32.52,1544.57,-1577.09,0.97938,-0.092914,0.497143,8.876839,-8.960739,0.990637,318.77,41.863,306,0.945714,6,-0.102017,42.67,41.86,-0.1,0,0,0.5,6,2024-07,-106.86,2024-02,132.59,153.45,-123.29,-62.68,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_05_s264_lc_abl_gate_rank_bucket_rt_2024.png,"fragile_or_negative_no_extension(취약 또는 음수, 확장 금지)"
