record_view,candidate_id,candidate_alias,candidate_role,test_id,test_type,materialization_boundary,route_role,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,slice_read
mt5_rt_s264_lc_abl_gate_variant_rule_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,abl_gate_variant_rule,feature_category_ablation(피처 범주 제거),direct_runtime_surface_ablation(직접 런타임 표면 제거),routed_total,session_report,session_07_12_report_time,6,-219.59,0,-219.59,0.0,-36.598333,0.0,,-36.598333,,219.59,43.918,6,1.0,6,-1.0,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_rt_s264_lc_abl_gate_variant_rule_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,abl_gate_variant_rule,feature_category_ablation(피처 범주 제거),direct_runtime_surface_ablation(직접 런타임 표면 제거),routed_total,close_hour_report,22,17,-150.91,293.83,-444.74,0.660678,-8.877059,0.235294,73.4575,-34.210769,2.147204,335.8,57.510833,14,0.882353,10,-0.449404,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_rt_s262_lih_abl_gate_rank_bucket_historical_2024_tier_a_train_era_stress,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_gate_rank_bucket,feature_category_ablation(피처 범주 제거),direct_runtime_surface_ablation(직접 런타임 표면 제거),routed_total,chron_segment,chron_mid,118,-137.62,420.1,-557.72,0.753245,-1.166271,0.483051,7.370175,-9.142951,0.806105,197.8,39.56,118,1.0,6,-0.695753,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_rt_s262_lih_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,chron_segment,chron_mid,113,-135.85,372.02,-507.87,0.73251,-1.202212,0.477876,6.889259,-8.607966,0.800335,171.64,34.328,113,1.0,6,-0.791482,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_rt_s262_lih_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,chron_segment,chron_mid,113,-135.85,372.02,-507.87,0.73251,-1.202212,0.477876,6.889259,-8.607966,0.800335,171.64,34.328,113,1.0,6,-0.791482,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_rt_s258_stc_abl_session_timing_historical_2024_tier_a_train_era_stress,s258_short_tight_control,s258_stc,stress_challenger,abl_session_timing,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,weekday,Monday,63,-130.54,269.83,-400.37,0.673952,-2.072063,0.492063,8.704194,-12.511563,0.695692,175.01,33.011412,54,0.904762,4,-0.7459,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_rt_s258_stc_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,s258_short_tight_control,s258_stc,stress_challenger,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,chron_segment,chron_mid,122,-130.18,509.75,-639.93,0.796572,-1.067049,0.467213,8.942982,-9.845077,0.908371,236.05,41.005107,118,0.983607,6,-0.551493,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_rt_s258_stc_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,s258_short_tight_control,s258_stc,stress_challenger,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,chron_segment,chron_mid,122,-130.18,509.75,-639.93,0.796572,-1.067049,0.467213,8.942982,-9.845077,0.908371,236.05,41.005107,118,0.983607,6,-0.551493,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_rt_s262_lih_abl_gate_rank_bucket_historical_2024_tier_a_train_era_stress,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_gate_rank_bucket,feature_category_ablation(피처 범주 제거),direct_runtime_surface_ablation(직접 런타임 표면 제거),routed_total,weekday,Friday,84,-129.13,291.47,-420.6,0.692986,-1.537262,0.440476,7.877568,-8.948936,0.88028,178.41,34.27534,74,0.964286,6,-0.723782,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_rt_s262_lih_abl_gate_rank_bucket_historical_2024_tier_a_train_era_stress,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_gate_rank_bucket,feature_category_ablation(피처 범주 제거),direct_runtime_surface_ablation(직접 런타임 표면 제거),routed_total,direction,sell,207,-126.83,1045.61,-1172.44,0.891824,-0.612705,0.47343,10.66949,-10.75633,0.991927,341.6,50.162264,177,0.94686,5,-0.371282,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
