run_number,threshold_quantile,subtype_filter,split,side,net_profit,profit_factor,trade_count,max_drawdown_amount,long_minus_short_net
run13S,0.9,all_tier_b_fallback,validation,long,195.2,1.23,248,148.38,465.59
run13S,0.9,all_tier_b_fallback,validation,short,-270.39,0.48,126,280.54,465.59
run13S,0.9,all_tier_b_fallback,oos,long,68.64,1.13,190,76.27,95.8
run13S,0.9,all_tier_b_fallback,oos,short,-27.16,0.92,105,115.01,95.8
run13AB,0.92,all_tier_b_fallback,validation,long,320.28,1.5,204,128.72,519.01
run13AB,0.92,all_tier_b_fallback,validation,short,-198.73,0.51,104,201.31,519.01
run13AB,0.92,all_tier_b_fallback,oos,long,37.12,1.09,142,71,92.49
run13AB,0.92,all_tier_b_fallback,oos,short,-55.37,0.84,89,118.03,92.49
run13AC,0.95,all_tier_b_fallback,validation,long,227.16,1.46,139,100.71,356.85
run13AC,0.95,all_tier_b_fallback,validation,short,-129.69,0.53,69,159.24,356.85
run13AC,0.95,all_tier_b_fallback,oos,long,-59.14,0.79,91,107.92,91.78
run13AC,0.95,all_tier_b_fallback,oos,short,-150.92,0.46,55,206.3,91.78
run13AE,0.9,B_mixed_partial_context,validation,long,188.31,1.22,246,153.66,457.97
run13AE,0.9,B_mixed_partial_context,validation,short,-269.66,0.47,122,277.85,457.97
run13AE,0.9,B_mixed_partial_context,oos,long,80.89,1.16,185,73.69,110.66
run13AE,0.9,B_mixed_partial_context,oos,short,-29.77,0.92,105,121.84,110.66
