run_number,run_id,hold_bars,split,segment_type,segment_value,record_view,trade_count,net_profit,win_rate_percent,avg_profit,max_drawdown_amount
run13O,run13O_ebm_q90_hold2_probe_v1,2,validation,all,all,mt5_routed_total,498,69.53,51.405622,0.13961847,288.99
run13O,run13O_ebm_q90_hold2_probe_v1,2,validation,month,2025-01,mt5_routed_total,78,-27.04,47.435897,-0.34666667,27.04
run13O,run13O_ebm_q90_hold2_probe_v1,2,validation,month,2025-02,mt5_routed_total,49,19.48,51.020408,0.39755102,20.31
run13O,run13O_ebm_q90_hold2_probe_v1,2,validation,month,2025-03,mt5_routed_total,111,-180.93,42.342342,-1.63,206.09
run13O,run13O_ebm_q90_hold2_probe_v1,2,validation,month,2025-04,mt5_routed_total,196,242.59,58.673469,1.2377041,115.43
run13O,run13O_ebm_q90_hold2_probe_v1,2,validation,month,2025-05,mt5_routed_total,25,-1.37,52,-0.0548,10.61
run13O,run13O_ebm_q90_hold2_probe_v1,2,validation,month,2025-06,mt5_routed_total,9,-22.51,33.333333,-2.5011111,27.35
run13O,run13O_ebm_q90_hold2_probe_v1,2,validation,month,2025-07,mt5_routed_total,6,-7.73,33.333333,-1.2883333,7.99
run13O,run13O_ebm_q90_hold2_probe_v1,2,validation,month,2025-08,mt5_routed_total,19,19.01,52.631579,1.0005263,7.55
run13O,run13O_ebm_q90_hold2_probe_v1,2,validation,month,2025-09,mt5_routed_total,5,28.03,80,5.606,0.87
run13O,run13O_ebm_q90_hold2_probe_v1,2,validation,direction,buy,mt5_routed_total,339,233.01,56.932153,0.68734513,195.8
run13O,run13O_ebm_q90_hold2_probe_v1,2,validation,direction,sell,mt5_routed_total,159,-163.48,39.622642,-1.0281761,195.42
run13O,run13O_ebm_q90_hold2_probe_v1,2,validation,volatility_regime,feature_missing,mt5_routed_total,14,-5.88,50,-0.42,8.83
run13O,run13O_ebm_q90_hold2_probe_v1,2,validation,volatility_regime,vol_high,mt5_routed_total,412,57.98,53.15534,0.14072816,284.81
run13O,run13O_ebm_q90_hold2_probe_v1,2,validation,volatility_regime,vol_low,mt5_routed_total,12,-19.29,16.666667,-1.6075,21.18
run13O,run13O_ebm_q90_hold2_probe_v1,2,validation,volatility_regime,vol_mid,mt5_routed_total,60,36.72,46.666667,0.612,17.2
run13O,run13O_ebm_q90_hold2_probe_v1,2,validation,session_slice,early,mt5_routed_total,240,-46.3,50.416667,-0.19291667,111.18
run13O,run13O_ebm_q90_hold2_probe_v1,2,validation,session_slice,late,mt5_routed_total,116,167.16,51.724138,1.4410345,131.84
run13O,run13O_ebm_q90_hold2_probe_v1,2,validation,session_slice,mid,mt5_routed_total,142,-51.33,52.816901,-0.36147887,85.67
run13O,run13O_ebm_q90_hold2_probe_v1,2,validation,trend_regime,downtrend,mt5_routed_total,396,104.28,51.262626,0.26333333,223.73
run13O,run13O_ebm_q90_hold2_probe_v1,2,validation,trend_regime,feature_missing,mt5_routed_total,14,-5.88,50,-0.42,8.83
run13O,run13O_ebm_q90_hold2_probe_v1,2,validation,trend_regime,range_or_weak_trend,mt5_routed_total,88,-28.87,52.272727,-0.32806818,97.54
run13O,run13O_ebm_q90_hold2_probe_v1,2,validation,trade_bucket,q1,mt5_routed_total,125,1.15,48.8,0.0092,27.04
run13O,run13O_ebm_q90_hold2_probe_v1,2,validation,trade_bucket,q2,mt5_routed_total,124,-194.33,42.741935,-1.5671774,218.26
run13O,run13O_ebm_q90_hold2_probe_v1,2,validation,trade_bucket,q3,mt5_routed_total,125,219.52,57.6,1.75616,115.43
run13O,run13O_ebm_q90_hold2_probe_v1,2,validation,trade_bucket,q4,mt5_routed_total,124,43.19,56.451613,0.34830645,47.09
run13O,run13O_ebm_q90_hold2_probe_v1,2,oos,all,all,mt5_routed_total,383,25.69,54.569191,0.067075718,100.58
run13O,run13O_ebm_q90_hold2_probe_v1,2,oos,month,2025-10,mt5_routed_total,36,-3.31,41.666667,-0.091944444,15.59
run13O,run13O_ebm_q90_hold2_probe_v1,2,oos,month,2025-11,mt5_routed_total,79,-13.8,54.43038,-0.17468354,100.58
run13O,run13O_ebm_q90_hold2_probe_v1,2,oos,month,2025-12,mt5_routed_total,27,4.02,66.666667,0.14888889,22.64
run13O,run13O_ebm_q90_hold2_probe_v1,2,oos,month,2026-01,mt5_routed_total,33,36.7,60.606061,1.1121212,20.15
run13O,run13O_ebm_q90_hold2_probe_v1,2,oos,month,2026-02,mt5_routed_total,86,18.79,56.976744,0.21848837,35.67
run13O,run13O_ebm_q90_hold2_probe_v1,2,oos,month,2026-03,mt5_routed_total,101,12.03,52.475248,0.11910891,40.51
run13O,run13O_ebm_q90_hold2_probe_v1,2,oos,month,2026-04,mt5_routed_total,21,-28.74,52.380952,-1.3685714,34.98
run13O,run13O_ebm_q90_hold2_probe_v1,2,oos,direction,buy,mt5_routed_total,247,91.25,55.870445,0.3694332,46.03
run13O,run13O_ebm_q90_hold2_probe_v1,2,oos,direction,sell,mt5_routed_total,136,-65.56,52.205882,-0.48205882,105.78
run13O,run13O_ebm_q90_hold2_probe_v1,2,oos,volatility_regime,feature_missing,mt5_routed_total,18,23.4,61.111111,1.3,7.67
run13O,run13O_ebm_q90_hold2_probe_v1,2,oos,volatility_regime,vol_high,mt5_routed_total,273,43.21,54.945055,0.15827839,85.35
run13O,run13O_ebm_q90_hold2_probe_v1,2,oos,volatility_regime,vol_low,mt5_routed_total,7,12.29,71.428571,1.7557143,7.79
run13O,run13O_ebm_q90_hold2_probe_v1,2,oos,volatility_regime,vol_mid,mt5_routed_total,85,-53.21,50.588235,-0.626,106.79
run13O,run13O_ebm_q90_hold2_probe_v1,2,oos,session_slice,early,mt5_routed_total,209,113.86,59.808612,0.54478469,68.92
run13O,run13O_ebm_q90_hold2_probe_v1,2,oos,session_slice,late,mt5_routed_total,55,-73.67,47.272727,-1.3394545,77.43
run13O,run13O_ebm_q90_hold2_probe_v1,2,oos,session_slice,mid,mt5_routed_total,119,-14.5,48.739496,-0.12184874,61.97
run13O,run13O_ebm_q90_hold2_probe_v1,2,oos,trend_regime,downtrend,mt5_routed_total,307,48.13,54.723127,0.15677524,73.96
run13O,run13O_ebm_q90_hold2_probe_v1,2,oos,trend_regime,feature_missing,mt5_routed_total,18,23.4,61.111111,1.3,7.67
run13O,run13O_ebm_q90_hold2_probe_v1,2,oos,trend_regime,range_or_weak_trend,mt5_routed_total,58,-45.84,51.724138,-0.79034483,55.02
run13O,run13O_ebm_q90_hold2_probe_v1,2,oos,trade_bucket,q1,mt5_routed_total,96,-65.6,47.916667,-0.68333333,96.78
run13O,run13O_ebm_q90_hold2_probe_v1,2,oos,trade_bucket,q2,mt5_routed_total,96,111.34,61.458333,1.1597917,26.12
run13O,run13O_ebm_q90_hold2_probe_v1,2,oos,trade_bucket,q3,mt5_routed_total,96,-20.13,54.166667,-0.2096875,37.21
run13O,run13O_ebm_q90_hold2_probe_v1,2,oos,trade_bucket,q4,mt5_routed_total,95,0.08,54.736842,0.00084210526,40.55
run13I,run13I_ebm_q90_hold4_probe_v1,4,validation,all,all,mt5_routed_total,372,-107.72,49.731183,-0.28956989,334.01
run13I,run13I_ebm_q90_hold4_probe_v1,4,validation,month,2025-01,mt5_routed_total,59,-86.09,44.067797,-1.4591525,86.2
run13I,run13I_ebm_q90_hold4_probe_v1,4,validation,month,2025-02,mt5_routed_total,42,20.59,57.142857,0.4902381,27.68
run13I,run13I_ebm_q90_hold4_probe_v1,4,validation,month,2025-03,mt5_routed_total,84,-101.94,46.428571,-1.2135714,124.91
run13I,run13I_ebm_q90_hold4_probe_v1,4,validation,month,2025-04,mt5_routed_total,134,78.48,52.985075,0.58567164,188.02
run13I,run13I_ebm_q90_hold4_probe_v1,4,validation,month,2025-05,mt5_routed_total,20,-1.05,60,-0.0525,11.93
run13I,run13I_ebm_q90_hold4_probe_v1,4,validation,month,2025-06,mt5_routed_total,8,-16.78,25,-2.0975,22.6
run13I,run13I_ebm_q90_hold4_probe_v1,4,validation,month,2025-07,mt5_routed_total,6,-15.04,16.666667,-2.5066667,15.44
run13I,run13I_ebm_q90_hold4_probe_v1,4,validation,month,2025-08,mt5_routed_total,14,2.74,42.857143,0.19571429,8.4
run13I,run13I_ebm_q90_hold4_probe_v1,4,validation,month,2025-09,mt5_routed_total,5,11.37,80,2.274,2.51
run13I,run13I_ebm_q90_hold4_probe_v1,4,validation,direction,buy,mt5_routed_total,248,134.92,56.048387,0.54403226,156.84
run13I,run13I_ebm_q90_hold4_probe_v1,4,validation,direction,sell,mt5_routed_total,124,-242.64,37.096774,-1.9567742,250.47
run13I,run13I_ebm_q90_hold4_probe_v1,4,validation,volatility_regime,feature_missing,mt5_routed_total,8,-1.18,62.5,-0.1475,7.24
run13I,run13I_ebm_q90_hold4_probe_v1,4,validation,volatility_regime,vol_high,mt5_routed_total,299,-103.69,50.501672,-0.3467893,317.66
run13I,run13I_ebm_q90_hold4_probe_v1,4,validation,volatility_regime,vol_low,mt5_routed_total,12,-23.18,25,-1.9316667,26.27
run13I,run13I_ebm_q90_hold4_probe_v1,4,validation,volatility_regime,vol_mid,mt5_routed_total,53,20.33,49.056604,0.38358491,26.86
run13I,run13I_ebm_q90_hold4_probe_v1,4,validation,session_slice,early,mt5_routed_total,174,-153.09,48.275862,-0.87982759,170.36
run13I,run13I_ebm_q90_hold4_probe_v1,4,validation,session_slice,late,mt5_routed_total,90,14.38,48.888889,0.15977778,169.3
run13I,run13I_ebm_q90_hold4_probe_v1,4,validation,session_slice,mid,mt5_routed_total,108,30.99,52.777778,0.28694444,116.78
run13I,run13I_ebm_q90_hold4_probe_v1,4,validation,trend_regime,downtrend,mt5_routed_total,301,-19.32,49.501661,-0.064186047,244.91
run13I,run13I_ebm_q90_hold4_probe_v1,4,validation,trend_regime,feature_missing,mt5_routed_total,8,-1.18,62.5,-0.1475,7.24
run13I,run13I_ebm_q90_hold4_probe_v1,4,validation,trend_regime,range_or_weak_trend,mt5_routed_total,63,-87.22,49.206349,-1.3844444,139.8
run13I,run13I_ebm_q90_hold4_probe_v1,4,validation,trade_bucket,q1,mt5_routed_total,93,-89.03,48.387097,-0.95731183,101.15
run13I,run13I_ebm_q90_hold4_probe_v1,4,validation,trade_bucket,q2,mt5_routed_total,93,-73.09,48.387097,-0.78591398,145.76
run13I,run13I_ebm_q90_hold4_probe_v1,4,validation,trade_bucket,q3,mt5_routed_total,93,-40.84,47.311828,-0.43913978,188.02
run13I,run13I_ebm_q90_hold4_probe_v1,4,validation,trade_bucket,q4,mt5_routed_total,93,95.24,54.83871,1.024086,50.72
run13I,run13I_ebm_q90_hold4_probe_v1,4,oos,all,all,mt5_routed_total,292,134.3,54.452055,0.45993151,76.71
run13I,run13I_ebm_q90_hold4_probe_v1,4,oos,month,2025-10,mt5_routed_total,28,-7.14,50,-0.255,47.7
run13I,run13I_ebm_q90_hold4_probe_v1,4,oos,month,2025-11,mt5_routed_total,57,73.54,59.649123,1.2901754,67.61
run13I,run13I_ebm_q90_hold4_probe_v1,4,oos,month,2025-12,mt5_routed_total,22,-38.49,54.545455,-1.7495455,47.25
run13I,run13I_ebm_q90_hold4_probe_v1,4,oos,month,2026-01,mt5_routed_total,26,58.32,65.384615,2.2430769,29.95
run13I,run13I_ebm_q90_hold4_probe_v1,4,oos,month,2026-02,mt5_routed_total,67,47.51,56.716418,0.70910448,76.71
run13I,run13I_ebm_q90_hold4_probe_v1,4,oos,month,2026-03,mt5_routed_total,76,26.25,48.684211,0.34539474,64.62
run13I,run13I_ebm_q90_hold4_probe_v1,4,oos,month,2026-04,mt5_routed_total,16,-25.69,43.75,-1.605625,33.18
run13I,run13I_ebm_q90_hold4_probe_v1,4,oos,direction,buy,mt5_routed_total,188,126.79,55.851064,0.67441489,73.02
run13I,run13I_ebm_q90_hold4_probe_v1,4,oos,direction,sell,mt5_routed_total,104,7.51,51.923077,0.072211538,99.4
run13I,run13I_ebm_q90_hold4_probe_v1,4,oos,volatility_regime,feature_missing,mt5_routed_total,17,19.77,64.705882,1.1629412,11.75
run13I,run13I_ebm_q90_hold4_probe_v1,4,oos,volatility_regime,vol_high,mt5_routed_total,202,60.11,51.980198,0.29757426,89.27
run13I,run13I_ebm_q90_hold4_probe_v1,4,oos,volatility_regime,vol_low,mt5_routed_total,7,-1.58,42.857143,-0.22571429,11.62
run13I,run13I_ebm_q90_hold4_probe_v1,4,oos,volatility_regime,vol_mid,mt5_routed_total,66,56,60.606061,0.84848485,58.12
run13I,run13I_ebm_q90_hold4_probe_v1,4,oos,session_slice,early,mt5_routed_total,164,207.86,56.707317,1.267439,87.99
run13I,run13I_ebm_q90_hold4_probe_v1,4,oos,session_slice,late,mt5_routed_total,38,-44.25,44.736842,-1.1644737,75.63
run13I,run13I_ebm_q90_hold4_probe_v1,4,oos,session_slice,mid,mt5_routed_total,90,-29.31,54.444444,-0.32566667,78.49
run13I,run13I_ebm_q90_hold4_probe_v1,4,oos,trend_regime,downtrend,mt5_routed_total,230,153.07,54.347826,0.66552174,68.22
run13I,run13I_ebm_q90_hold4_probe_v1,4,oos,trend_regime,feature_missing,mt5_routed_total,17,19.77,64.705882,1.1629412,11.75
run13I,run13I_ebm_q90_hold4_probe_v1,4,oos,trend_regime,range_or_weak_trend,mt5_routed_total,45,-38.54,51.111111,-0.85644444,61.51
run13I,run13I_ebm_q90_hold4_probe_v1,4,oos,trade_bucket,q1,mt5_routed_total,73,-4.13,52.054795,-0.056575342,67.61
run13I,run13I_ebm_q90_hold4_probe_v1,4,oos,trade_bucket,q2,mt5_routed_total,73,97.11,61.643836,1.330274,47.25
run13I,run13I_ebm_q90_hold4_probe_v1,4,oos,trade_bucket,q3,mt5_routed_total,73,67.62,56.164384,0.92630137,55.9
run13I,run13I_ebm_q90_hold4_probe_v1,4,oos,trade_bucket,q4,mt5_routed_total,73,-26.3,47.945205,-0.36027397,67.55
