run_number,subtype_filter,split,baseline_net_profit,candidate_net_profit,delta_net_profit,tier_b_fallback_used_count,trade_count,profit_factor,max_drawdown_amount
run13R,B_mixed_partial_context,validation,-107.72,-115.97,-8.25,215,366,0.92,350.12
run13R,B_mixed_partial_context,oos,134.3,143.94,9.64,228,287,1.18,83.67
run13Z,B_macro_missing,validation,-107.72,-107.7,0.02,2126,370,0.92,347.39
run13Z,B_macro_missing,oos,134.3,120.31,-13.99,809,283,1.15,83.88
run13AA,B_core_only,validation,-107.72,-122.68,-14.96,25,364,0.91,357.58
run13AA,B_core_only,oos,134.3,129.95,-4.35,24,278,1.16,83.67
