split,month,trade_count,net_profit,profit_factor,win_rate,expectancy,cost_stressed_expectancy,max_closed_trade_drawdown,mfe_mean,mae_mean,realized_over_mfe_mean,mfe_capture_ratio,net_share,quality_flag
validation_is,2025-01,162,-101.71,0.8441990135,0.4012345679,-0.6278395062,-1.124150257,216.86,7.420493827,7.878580247,-6.504336043,-0.08460885768,-0.1007099502,negative_month
validation_is,2025-02,142,278.78,1.63285737,0.5352112676,1.963239437,1.466928686,96.19,8.74278169,6.377693662,-2.1901792,0.2245554683,0.2760389334,acceptable_measurement_only
validation_is,2025-03,170,128.34,1.169734963,0.5058823529,0.7549411765,0.2586304254,206.81,9.747867647,9.584632353,-2.093578797,0.07744680209,0.1270781143,acceptable_measurement_only
validation_is,2025-04,203,664.58,1.652150021,0.5073891626,3.273793103,2.777482352,273.97,14.78166256,11.61477833,-6.454706721,0.2214766499,0.6580456071,single_month_profit_concentration
validation_is,2025-05,152,55.78,1.115579868,0.5,0.3669736842,-0.1293370669,167.14,7.702763158,6.435411184,-5.613320967,0.04764182368,0.0552315507,acceptable_measurement_only
validation_is,2025-06,144,-37.8,0.9098798398,0.5138888889,-0.2625,-0.7588107511,107.7,6.100069444,5.986163194,-3.754925963,-0.04303229699,-0.03742833662,negative_month
validation_is,2025-07,124,-47.65,0.86579733,0.4758064516,-0.3842741935,-0.8805849446,165.51,5.899092742,6.103225806,-6.001601852,-0.06514123618,-0.04718148783,negative_month
validation_is,2025-08,132,20.52,1.047494503,0.446969697,0.1554545455,-0.3408562056,168.26,6.700284091,6.216306818,-11.24759804,0.0232011872,0.02031823988,acceptable_measurement_only
validation_is,2025-09,129,49.09,1.122138734,0.4573643411,0.3805426357,-0.1157681154,76.93,6.252771318,6.160155039,-2.70034656,0.06085983579,0.04860732922,acceptable_measurement_only
oos,2025-10,162,-144.81,0.7839688507,0.475308642,-0.8938888889,-1.389391847,204.99,7.025432099,7.440108025,-4.181523621,-0.1272361438,-0.1380483899,negative_month
oos,2025-11,141,213.85,1.405279915,0.5673758865,1.516666667,1.021163708,94.41,10.76397163,9.303102837,-3.528890625,0.1409021427,0.2038647067,acceptable_measurement_only
oos,2025-12,151,43.9,1.078538715,0.5165562914,0.2907284768,-0.2047744818,138.9,7.779271523,7.069966887,-4.029589182,0.03737219815,0.04185017827,acceptable_measurement_only
oos,2026-01,154,68.74,1.129164396,0.4935064935,0.4463636364,-0.04913932224,82.5,7.693181818,7.182467532,-3.215231282,0.05802067947,0.0655303247,acceptable_measurement_only
oos,2026-02,157,243.28,1.482861283,0.5031847134,1.54955414,1.054051182,96.96,10.00057325,8.907452229,-2.793446734,0.1549465317,0.2319205323,acceptable_measurement_only
oos,2026-03,183,520.62,2.014952724,0.5573770492,2.844918033,2.349415074,63.82,9.685382514,8.019125683,-1.485877302,0.2937331622,0.4963107018,acceptable_measurement_only
oos,2026-04,66,103.4,1.51378882,0.5454545455,1.566666667,1.071163708,62.9,8.929924242,6.684469697,-2.634532203,0.1754400848,0.09857194608,acceptable_measurement_only
