profile,gate_family,gate_variant,threshold_name,threshold_value,provenance_tag,selection_role
all,archived_scaffold,f49_reference_event_model_context_score_sltp,archived_f49_scaffold,reference_only,archived_clue_no_selection,locked_reference_not_baseline
initial_repair,event_score,event_model_score_quantile,score_quantile,0.86,train_only_fit,candidate_admission_threshold
initial_repair,risk_sizing,first_hit_sltp,stop_take_quantiles,"stop=(0.24,)|take=(0.72,)|repair_stop=(0.24,)|repair_take=(0.72,)",train_only_fit,train_path_sltp_cap_source
initial_repair,risk_sizing,first_hit_sltp,rr_floor,1.2,fixed_design_constant,minimum_take_stop_ratio
initial,hygiene_gate_equals,hygiene_squeeze_off_vol5_le2p25,bb_squeeze,0.0,fixed_design_constant,fixed_hygiene_admission
initial,hygiene_gate_max,hygiene_squeeze_off_vol5_le2p25,historical_vol_5_over_20,2.25,fixed_design_constant,fixed_hygiene_admission
initial,hygiene_gate_equals,hygiene_atr_le2p25_cash_open,is_us_cash_open,1.0,fixed_design_constant,fixed_hygiene_admission
initial,hygiene_gate_max,hygiene_atr_le2p25_cash_open,atr_14_over_atr_50,2.25,fixed_design_constant,fixed_hygiene_admission
initial,hygiene_gate_max,hygiene_vol_atr_le2p5,historical_vol_5_over_20,2.5,fixed_design_constant,fixed_hygiene_admission
initial,hygiene_gate_max,hygiene_vol_atr_le2p5,atr_14_over_atr_50,2.5,fixed_design_constant,fixed_hygiene_admission
initial,hygiene_gate_equals,hygiene_no_squeeze_cash_open,bb_squeeze,0.0,fixed_design_constant,fixed_hygiene_admission
initial,hygiene_gate_equals,hygiene_no_squeeze_cash_open,is_us_cash_open,1.0,fixed_design_constant,fixed_hygiene_admission
repair,hygiene_gate_equals,hygiene_squeeze_off_vol5_le2p25,bb_squeeze,0.0,fixed_design_constant,fixed_hygiene_admission
repair,hygiene_gate_max,hygiene_squeeze_off_vol5_le2p25,historical_vol_5_over_20,2.25,fixed_design_constant,fixed_hygiene_admission
repair,hygiene_gate_equals,hygiene_atr_le2p25_cash_open,is_us_cash_open,1.0,fixed_design_constant,fixed_hygiene_admission
repair,hygiene_gate_max,hygiene_atr_le2p25_cash_open,atr_14_over_atr_50,2.25,fixed_design_constant,fixed_hygiene_admission
repair,hygiene_gate_max,hygiene_vol_atr_le2p5,historical_vol_5_over_20,2.5,fixed_design_constant,fixed_hygiene_admission
repair,hygiene_gate_max,hygiene_vol_atr_le2p5,atr_14_over_atr_50,2.5,fixed_design_constant,fixed_hygiene_admission
repair,hygiene_gate_equals,hygiene_no_squeeze_cash_open,bb_squeeze,0.0,fixed_design_constant,fixed_hygiene_admission
repair,hygiene_gate_equals,hygiene_no_squeeze_cash_open,is_us_cash_open,1.0,fixed_design_constant,fixed_hygiene_admission
repair,hygiene_gate_equals,repair_hygiene_squeeze_off_vol5_le2p75,bb_squeeze,0.0,fixed_design_constant,fixed_hygiene_admission
repair,hygiene_gate_max,repair_hygiene_squeeze_off_vol5_le2p75,historical_vol_5_over_20,2.75,fixed_design_constant,fixed_hygiene_admission
repair,hygiene_gate_max,repair_hygiene_atr_le2p75,atr_14_over_atr_50,2.75,fixed_design_constant,fixed_hygiene_admission
repair,hygiene_gate_equals,repair_hygiene_cash_open_only,is_us_cash_open,1.0,fixed_design_constant,fixed_hygiene_admission
