candidate_alias,candidate_id,candidate_role,source_test_id,repair_profile,repair_tier_scope,baseline_record_view,repair_record_view,baseline_net_profit,repair_net_profit,net_profit_delta,baseline_profit_factor,repair_profit_factor,profit_factor_delta,baseline_trade_count,repair_trade_count,trade_count_delta,baseline_equity_drawdown_percent,repair_equity_drawdown_percent,equity_drawdown_percent_delta,baseline_worst_month,baseline_worst_month_net,repair_worst_month,repair_worst_month_net,baseline_monday_net,repair_monday_net,baseline_december_net,repair_december_net,baseline_curve_read,repair_curve_read,monday_delta,december_delta,comparison_read
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_volatility_atr,aia_dual_replacement_state_guard_repair_v3,Tier A inferred from mt5_ta record_view,mt5_ta_s264_aia_rep_volatility_atr_followup_historical_2024_tier_a_train_era_stress,mt5_ta_s264_aia_rep_volatility_atr_repair_historical_2024_tier_a_train_era_stress,1080.68,1018.38,-62.3,1.640475,1.658251,0.017776,296,290,-6,13.77,12.38,-1.39,2024-12,-154.93,2024-12,-126.58,-234.18,-220.0,-154.93,-126.58,constructive_curve_watch_not_selection,constructive_curve_watch_not_selection,14.18,28.35,headline_survives_but_named_weak_slice_gate_incomplete
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_state_guard_repair_v3,Tier A inferred from mt5_ta record_view,mt5_ta_s264_aia_rep_trend_strength_adx_followup_historical_2024_tier_a_train_era_stress,mt5_ta_s264_aia_rep_trend_strength_adx_repair_historical_2024_tier_a_train_era_stress,1133.77,1017.11,-116.66,1.601406,1.594895,-0.006511,301,290,-11,14.73,14.02,-0.71,2024-12,-157.55,2024-12,-135.39,-289.75,-263.83,-157.55,-135.39,constructive_curve_watch_not_selection,constructive_curve_watch_not_selection,25.92,22.16,headline_survives_but_named_weak_slice_gate_incomplete
