followup_profile,source_test_id,candidate_count,test_count,constructive_curve_count,net_profit_mean,equity_drawdown_percent_worst,worst_month_net_min,repair_profile
aia_dual_replacement_state_guard_repair_v3,rep_volatility_atr,1,1,1,1018.38,12.38,-126.58,aia_dual_replacement_state_guard_repair_v3
aia_dual_replacement_state_guard_repair_v3,rep_trend_strength_adx,1,1,1,1017.11,14.02,-135.39,aia_dual_replacement_state_guard_repair_v3
