attempt_name,record_view,tier_scope,report_path,expected_trade_count,parsed_trade_count,trade_count_delta,parser_status
run267ak_q01a_s264_aia_rep_trend_strength_adx_repair_ta_2024,mt5_ta_s264_aia_rep_trend_strength_adx_repair_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AL/noncalendar_state_guard_repair_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AK_stage267_noncalendar_state_guard_repair_queue_materialization_v1_run267ak_q01a_s264_aia_rep_trend_strength_adx_repair_ta_2024.htm,290,290,0,matched
run267ak_q01a_s264_aia_rep_trend_strength_adx_repair_rt_2024,mt5_rt_s264_aia_rep_trend_strength_adx_repair_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AL/noncalendar_state_guard_repair_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AK_stage267_noncalendar_state_guard_repair_queue_materialization_v1_run267ak_q01a_s264_aia_rep_trend_strength_adx_repair_rt_2024.htm,290,290,0,matched
run267ak_q01b_s264_aia_rep_volatility_atr_repair_ta_2024,mt5_ta_s264_aia_rep_volatility_atr_repair_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AL/noncalendar_state_guard_repair_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AK_stage267_noncalendar_state_guard_repair_queue_materialization_v1_run267ak_q01b_s264_aia_rep_volatility_atr_repair_ta_2024.htm,290,290,0,matched
run267ak_q01b_s264_aia_rep_volatility_atr_repair_rt_2024,mt5_rt_s264_aia_rep_volatility_atr_repair_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AL/noncalendar_state_guard_repair_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AK_stage267_noncalendar_state_guard_repair_queue_materialization_v1_run267ak_q01b_s264_aia_rep_volatility_atr_repair_rt_2024.htm,290,290,0,matched
