candidate_id,candidate_label,split,session_feature_set,session_bucket_definitions,model_family_or_rule_family,thresholds,train_session_counts,validation_session_counts,oos_session_counts,tier_a_used_count,tier_b_fallback_used_count,actual_routed_total_count,validation_trade_count,oos_trade_count,long_count,short_count,no_trade_rate,trade_count_thinning_vs_reference,session_activation_rate,per_session_trade_count,session_concentration_share,worst_session_bucket,best_session_bucket,weakest_train_session_bucket,strongest_train_session_bucket,candidate_rejection_reason
c01_reference_no_session_structure,reference runtime signal without session structure,oos,reference,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",score_table_rule,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",1636,159,1795,,1795,894,901,0.7923895442979413,0,0.20761045570205874,"{""cash_open_0_30"": 304, ""early_cash_30_60"": 219, ""late_cash_240_330"": 356, ""midday_lull_120_240"": 559, ""morning_60_120"": 357}",0.31142061281337047,early_cash_30_60,midday_lull_120_240,midday_lull_120_240,cash_open_0_30,mt5_pending
c01_reference_no_session_structure,reference runtime signal without session structure,validation_is,reference,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",score_table_rule,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",2198,309,2507,2507,,1253,1254,0.7946764946764947,0,0.20532350532350532,"{""cash_open_0_30"": 411, ""early_cash_30_60"": 337, ""late_cash_240_330"": 512, ""midday_lull_120_240"": 783, ""morning_60_120"": 464}",0.31232548863183085,early_cash_30_60,midday_lull_120_240,midday_lull_120_240,cash_open_0_30,mt5_pending
c02_session_feature_low_complexity,low-complexity model with session features included,oos,session feature model,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",session_reliability_score_table,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",0,0,0,,0,0,0,1.0,-1795,0.0,{},0.0,none,none,midday_lull_120_240,cash_open_0_30,mt5_pending
c02_session_feature_low_complexity,low-complexity model with session features included,validation_is,session feature model,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",session_reliability_score_table,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",0,0,0,0,,0,0,1.0,-2507,0.0,{},0.0,none,none,midday_lull_120_240,cash_open_0_30,mt5_pending
c03_cash_open_only_reliability,cash-open reliability candidate,oos,cash open reliability,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",score_table_rule,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",272,32,304,,304,143,161,0.9648392320148045,-1491,0.09090909090909091,"{""cash_open_0_30"": 304}",1.0,cash_open_0_30,cash_open_0_30,midday_lull_120_240,cash_open_0_30,mt5_pending
c03_cash_open_only_reliability,cash-open reliability candidate,validation_is,cash open reliability,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",score_table_rule,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",374,37,411,411,,199,212,0.9663390663390663,-2096,0.09090909090909091,"{""cash_open_0_30"": 411}",1.0,cash_open_0_30,cash_open_0_30,midday_lull_120_240,cash_open_0_30,mt5_pending
c04_early_cash_session_reliability,first 60 minutes / early session candidate,oos,early cash reliability,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",score_table_rule,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",458,65,523,,523,249,274,0.9395095998149433,-1272,0.18181818181818182,"{""cash_open_0_30"": 304, ""early_cash_30_60"": 219}",0.5812619502868069,early_cash_30_60,cash_open_0_30,midday_lull_120_240,cash_open_0_30,mt5_pending
c04_early_cash_session_reliability,first 60 minutes / early session candidate,validation_is,early cash reliability,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",score_table_rule,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",665,83,748,748,,377,371,0.9387387387387387,-1759,0.18181818181818182,"{""cash_open_0_30"": 411, ""early_cash_30_60"": 337}",0.5494652406417112,early_cash_30_60,cash_open_0_30,midday_lull_120_240,cash_open_0_30,mt5_pending
c05_mid_session_reliability,mid-session candidate,oos,mid-session reliability,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",score_table_rule,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",617,45,662,,662,349,313,0.9234328012953967,-1133,0.4393939393939394,"{""late_cash_240_330"": 103, ""midday_lull_120_240"": 559}",0.8444108761329305,late_cash_240_330,midday_lull_120_240,midday_lull_120_240,cash_open_0_30,mt5_pending
c05_mid_session_reliability,mid-session candidate,validation_is,mid-session reliability,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",score_table_rule,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",808,125,933,933,,457,476,0.9235872235872236,-1574,0.4393939393939394,"{""late_cash_240_330"": 150, ""midday_lull_120_240"": 783}",0.8392282958199357,late_cash_240_330,midday_lull_120_240,midday_lull_120_240,cash_open_0_30,mt5_pending
